Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
United Way of Dane County,First Business,≤100,5
Waterfront Thrift Stores,Waterfront Thrift Stores,≤100,2
Amanda Sawyer for Denver City Council District 5,Sawyer for Denver City Council,≤100,6
Moshe Schulman,Moshe Schulman,≤100,2
One Florida Foundation,One Florida Foundation,≤100,1
Kind to Kids Foundation,Kind to Kids Foundation,≤100,2
Protect The Harvest,Protect The Harvest,≤100,3
Piphany Paradigm business page,These ads ran without a disclaimer,≤100,1
Suzanne Atwell Show,"Atwell Media, LLC",≤100,1
Minnesota RollerGirls,These ads ran without a disclaimer,≤100,1
Nicholas Glover,"Nicholas Glover for Tampa City Council, District 2, Non-Partisan.",≤100,4
"The Lesbian, Gay, Bisexual & Transgender Community Center","The Lesbian, Gay, Bisexual & Transgender Community Center",≤100,3
Northeastern University,Northeastern University,≤100,2
Copyright Alliance,the Copyright Alliance,≤100,3
A Wider Bridge,A Wider Bridge,≤100,4
Free the People,Free the People,≤100,2
The Ripon Society,The Ripon Society,≤100,1
South Florida Wildlands Association,South Florida Wildlands Association,≤100,5
St. Joe County Right To Life,St. Joseph County Right to Life,≤100,3
Mass Torts Made Perfect,These ads ran without a disclaimer,≤100,1
Saybrook University,Saybrook University,≤100,1
LeVette Fuller for City Council District B,LeVette Fuller for City Council,≤100,6
WITN22Wilm,Wilmington City Council,≤100,5
Rubin Museum of Art,Rubin Museum of Art,≤100,3
Friends of Worcester,Friends of Worcester,≤100,2
Looking Glass,Looking Glass Community Services,≤100,4
The Mars Generation,These ads ran without a disclaimer,≤100,3
Commonwealth Insurance Advantage,Commonwealth Insurance Advantage,≤100,1
NPR's Latino USA,NPR's Latino USA,≤100,3
"Wender & Roberts Pharmacy of Dallas, GA",These ads ran without a disclaimer,≤100,1
Troy Odom for Chancery Judge,The Friends of Troy Odom,≤100,6
Amazon Watch,Amazon Watch,≤100,2
Dynamick,These ads ran without a disclaimer,≤100,8
Bulletin of the Atomic Scientists,Bulletin of the Atomic Scientists,≤100,1
RepresentUs,RepresentUs,≤100,20
Perspective Wealth Planning,Perspective Wealth Planning,≤100,3
Mo Cann Trade,MoCannTrade,≤100,2
PREP BOY$,The Prep Boys,≤100,9
Targetpro Inc.,Targetpro Inc.,≤100,1
Mark Batinick for State Representative,Friends of Mark Batinick,≤100,1
We Raise Foundation,These ads ran without a disclaimer,≤100,17
Bronco Clothing,Bronco Clothing,≤100,1
Support the Cornerstone at Lynbrook Proposal,Cornerstone at Lynbrook,≤100,1
American Heart Association - Florida,American Heart Association,≤100,6
Rural Progress,Rural Progress PAC,≤100,2
American Heart Association - Tennessee,American Heart Association,≤100,6
Yahoo,These ads ran without a disclaimer,≤100,1
OZY After Dark,OZY Media,≤100,18
TRUTHORFICTION.COM,What's True,≤100,2
Seth for NF,Piccirillo for Niagara Falls,≤100,3
Political and Civic Involvement Opportunities Inc.,Political and Civic Involvement Opportunities of Mass. Inc Nonprofit,≤100,2
Blue Chip Insurance Triad,Blue Chip Health Insurance Triad,≤100,1
Signature Seas,Signature Seas,≤100,16
Monique Burr Foundation,Monique Burr Foundation,≤100,3
Vamos4PR Action,SEIU 32BJ.,≤100,1
DeSmogBlog,DeSmog,≤100,1
The VOTE DECK,Preston Malcolme Vaan-Horne,≤100,16
Ryan Gatti for State Senator District 36,Ryan Gatti Campaign,≤100,1
Speaker Sara Gideon,Gideon Leadership PAC,≤100,3
Cedar Falls Public Safety,City of Cedar Falls,≤100,1
Roque Vela Jr. For Mayor,Janie Coss Martinez - Treasurer,≤100,2
The Baltimore Post,"The Baltimore Post, LLC",≤100,9
Bank Street College of Education,Bank Street Graduate School of Education,≤100,2
Milken Educator Awards,the Milken Family Foundation,≤100,2
Fair Districts PA,Fair Districts PA,≤100,8
The Balance of Power,jorgea hernando,≤100,1
Equitas Health,These ads ran without a disclaimer,≤100,1
Seguros de Salud  en Florida para Hispanos,David F Suarez,≤100,1
Capitalism In Crisis,Capitalism in Crisis,≤100,4
She's The Ticket,Topic,≤100,1
WPA Intelligence,WPA Intelligence,≤100,1
Brian Ratledge for Wake County District Court Judge,the Brian Ratledge Committee,≤100,1
Place Matters Oregon,Place Matters Oregon,≤100,1
Clergy for a New Drug Policy,Clergy for a New Drug Policy,≤100,11
"ART Risk Financial and Insurance Solutions, Inc.",Emprezo,≤100,2
"Central Union Mission, DC",These ads ran without a disclaimer,≤100,3
Save the Stan,South San Joaquin & Oakdale Irrigation Districts,≤100,1
FINCA,FINCA International,≤100,2
Amherst Forward,Amherst Forward,≤100,1
Equal Citizens,Equal Citizens,≤100,7
Intellegere Project,Intellegere Project,≤100,1
Wu for West Covina,Tony Wu,≤100,2
Apex Clean Energy,Apex Clean Energy,≤100,6
Minnesota Bio-Fuels Association,Minnesota Bio-Fuels Association,≤100,1
North Carolina PIRG,These ads ran without a disclaimer,≤100,1
802 Musicians for Change,Musicians for Change,≤100,5
Paleo Life,Paleo Life LLC,≤100,1
Apollo Theater,Apollo Theater,≤100,1
Resist Trump's agenda,"Diana Arezzo, Ph.D., concerned private citizen, solely for the purpose of increasing post reach",≤100,39
VOCA,VOCA,≤100,1
The Law Office of Carolina C. Gomez,The Law Office of Carolina C. Gomez,≤100,1
Travel Ban: Make America Laugh Again,These ads ran without a disclaimer,≤100,1
Milwaukee Pride,"Milwaukee Pride, Inc.",≤100,4
Tarbell,"To Be Fair, Inc.",≤100,1
Surfrider Foundation,Surfrider Foundation,≤100,66
TriMet,TriMet,≤100,1
Missouri Farm Bureau Insurance,These ads ran without a disclaimer,≤100,1
Arizona Nature Conservancy,Arizona Nature Conservancy,≤100,11
KCET City Rising,KCET City Rising,≤100,1
Ohio Nature Conservancy,The Nature Conservancy,≤100,1
Repower REC,Solar United Neighbors,≤100,1
Kern Cast,Denice Gary-Pandol,≤100,7
PlayCleanGo: Stop Invasive Species In Your Tracks,Minnesota Department of Natural Resources,≤100,1
UNRWA USA,UNRWA USA National Committee,≤100,2
Kentucky Farm Bureau,Kentucky Farm Bureau Federation,≤100,1
Bradley Impact Fund,Bradley Impact Fund,≤100,2
OAF Nation,"OAF Nation, Inc",≤100,17
Smithfield Foods,Smithfield Foods,≤100,3
Doug Arnold,"Authority: Friends of Doug Arnold, William Arnold, Treasurer",≤100,6
United Way of the Capital Region,United Way of the Capital Region,≤100,1
Peter McLaughlin,"Paid and Prepared by Friends of Peter McLaughlin  3425 Sixteenth Ave S, Mpls, MN 55407",≤100,1
Jungle of Jewels,Jungle Of Jewels,≤100,21
Carolyn Dupont for KY Senate,Carolyn Dupont for KY Senate,≤100,1
"Cordasco & Company, P.C.",Cordasco & Company CPAs,≤100,1
Sandro Galea,Boston University School of Public Health,≤100,4
Colorado Rural Electric Association,Colorado Rural Electric Association,≤100,2
Pan-Florida Challenge for Hungry Kids,Pan-Florida Challenge,≤100,2
MO Electric Co-ops,Association of Missouri Electric Cooperatives,≤100,3
Trump the Great,Trump The Great,≤100,2
Sustainable Alliance,Sustainable Alliance,≤100,1
Giftima,These ads ran without a disclaimer,≤100,23
Truthout,Truthout,≤100,14
World Concern,World Concern,≤100,5
Covenant House Texas,Covenant House Texas,≤100,2
Great Public Schools for US,Great Public Schools for US,≤100,8
HomeAid Orange County,"HomeAid Orange County, non-profit organization.",≤100,3
The Comedy Works,The Make Comedy Great Again Tour,≤100,5
The Right Side,RIGHT SIDE,≤100,4
ThermaSeat,ThermaSeat,≤100,1
New Spire Arts,"New Spire Arts, Inc",≤100,3
Chicago Humanities Festival,Chicago Humanities Festival,≤100,1
Cultivate Culinary School & Catering,Cultivate,≤100,7
Nicole Hickman James,Nicole Hickman James,≤100,2
NCJW Los Angeles,National Council of Jewish Women | Los Angeles,≤100,2
SVR Productions,Rich Richmond,≤100,2
Fed of American Hospitals,These ads ran without a disclaimer,≤100,1
Ken King,Ken King for State Representative,≤100,1
Suzanne Downing,Must Read Alaska LLC,≤100,2
Vernon Township Democrats,Vernon Township Democrats,≤100,4
Mayor Glenn Brasseaux,Mayor Glenn Brasseaux,≤100,5
Lois Kolkhorst,Lois W. Kolkhorst Campaign,≤100,6
Cafe con Leche con AARP,Cafe con Leche con AARP Florida,≤100,2
Friends of Animals,Friends of Animals,≤100,3
350 Action,350 Action,≤100,2
Sweeney Julian Personal Injury Trial Attorneys,Sweeney Julian Personal Injury Trial Attorneys.  Not intended to be legal advice.,≤100,2
Created Equal,Created Equal,≤100,4
"Bob Wing, Towards Racial Justice",Bob Wing,≤100,1
Nashville Rescue Mission,These ads ran without a disclaimer,≤100,7
Wolf Defenders,Lunar Digital Marketing,≤100,1
American Solar Power Solutions,American Solar Power Solutions,≤100,5
Rep. John Bell,John Bell Committee,≤100,1
Chris Paddie For Texas,Texans for Chris Paddie,≤100,1
The Economic Club of Southwestern Michigan,The Mendel Center at Lake Michigan College,≤100,1
Vote Yes for Mental Health BR,Baton Rouge Area Foundation,≤100,2
Economic Policy Institute,the Economic Policy Institute.,≤100,1
John Rieley for 5th District County Council,Friends of John Rieley,≤100,2
Yes Union Can,Advancing Accountability in Good Government,≤100,1
Houston Airport Marriott at George Bush Intercontinental,Houston Airport Marriott,≤100,2
Elizabeth for the 44,Neighbors for Shydlowski,≤100,6
America's Health Insurance Plans (AHIP),AHIP,≤100,1
My Child. My Choice.,My Child. My Choice.,≤100,5
Modern Medicaid Alliance,Modern Medicaid Alliance,≤100,1
Corkscrew Donald,Eagleview USA,≤100,6
Engage Iowa,Engage Iowa,≤100,3
MRC Latino,Media Research Center,≤100,2
Westminster John Knox Press,WJK Press and Flyaway Books,≤100,1
Healthcare Supply Chain Association,Healthcare Supply Chain Association,≤100,2
Blue Market Fiction,Christine Cadiz-Borglum,≤100,2
Let's Grow Kids,Let's Grow Kids,≤100,3
Dorothy Brown for Mayor,Friends of Dorothy Brown,≤100,7
Here for America,Here for America,≤100,2
Refugee Sunday,Refugee Sunday,≤100,2
Teralytic,Teralytic,≤100,1
Rice Divorce Team - Dedicated to Solving Family Law Issues,Larry Rice of the Rice Divorce Team,≤100,3
Senator Rob Standridge,Senator Rob Standridge,≤100,3
CHNGE,These ads ran without a disclaimer,≤100,3
Bertling Law Group,Bertling Law Group,≤100,3
Senator Michael F.Q. San Nicolas,Michael F.Q. San Nicolas For Congress,≤100,2
Quinebaug Valley Community College,These ads ran without a disclaimer,≤100,1
Idaho DLCC,IDLCC,≤100,4
The Freaking Feminist,"Christine Gutierrez-Boswell, private citizen",≤100,2
AARP en Español,AARP,≤100,6
Arizona Right to Life,Arizona Right to Life,≤100,5
Healthy Me PA,The Hospital & Healthsystem Association of Pennsylvania,≤100,1
California School Boards Association,the California School Boards Association,≤100,1
Colorado Threads,These ads ran without a disclaimer,≤100,2
UNICEF USA,These ads ran without a disclaimer,≤100,3
5 Towns Jewish Times,The Five Towns Jewish Times,≤100,8
Christopher Rosario for State Representative,Rosario 2018. Erin McDonough Treasurer. Approved by Christopher Rosario.,≤100,1
The Hollywood Gossip,These ads ran without a disclaimer,≤100,1
Sox Place,These ads ran without a disclaimer,≤100,3
Ora Organic,Ora Organic,≤100,74
Los Angeles Property Management Group,Los Angeles Property Management Group,≤100,2
Detroit Wants 2 Know,Steve Hood,≤100,2
Wild Olympics Campaign,Wild Olympics Campaign,≤100,1
Random House,Random House,≤100,2
"Booth Law, PLLC","Booth Law, PLLC",≤100,1
Stretch The Truth,Stretch The Truth Toys,≤100,124
Circa Pop Live,Circa,≤100,2
Victory Disability,Victory Disability,≤100,1
Bridgeport Generation Now,Bridgeport Generation Now,≤100,4
ChristianPlans,These ads ran without a disclaimer,≤100,2
The FIVE FIFTHS,"Willoughby Avenue, LLC.",≤100,1
New Mexico Voices for Children,New Mexico Voices for Children,≤100,10
Lucien Smith,Friends of Lucien Smith,≤100,1
The Capitolist,The Capitolist,≤100,1
Kevin Lopez for Texas Senate District 30,The Kevin Lopez Campaign,≤100,1
Billie Sutton,Sutton for South Dakota,≤100,1
Ryan For Ward 4,"Ryan For Ward 4: Christopher Smith, Treasurer.",≤100,3
Andy Kostielney for County Commissioner,Kostielney for Commissioner Committee,≤100,1
Schneck Medical Center,Schneck Medical Center,≤100,2
Restore Justice,Re:store Justice,≤100,2
Experience Matters with Drew Berquist,CRTV LLC,≤100,26
Barstool Sports,These ads ran without a disclaimer,≤100,5
Friends of the North Branch Park & Nature Preserve,Friends of the North Branch Park & Nature Preserve,≤100,11
Convergence Media,Convergence Media LLC,≤100,24
30A,30A,≤100,1
Getmehealthinsurance.org,These ads ran without a disclaimer,≤100,1
Dewey Arthur,Friends of Dewey Arthur,≤100,3
"Jay Case, Your State Representative","Case 2018, Dustin Bingham, Treasurer. Approved by Jay Case.",≤100,1
EquityWise,EquityWise Home Loans,≤100,2
Colorado Fiscal Institute,Colorado Fiscal Institute,≤100,1
CHAPublicWorks,City of Chattanooga Public Works,≤100,1
The Moore Charitable Foundation,The Moore Charitable Foundation,≤100,2
New York Civil Liberties Union - NYCLU,New York Civl Liberties Union - NYCLU,≤100,5
Semi-Automatic Gun Owners of America,Semi-Automatic Gun Owners of America,≤100,1
"A4 Wealth Advisors, LLC","Investment Advisory Services Offered through A4 Wealth Advisors, LLC, a Registered Investment Advisor. Insurance products and services offered through licensed professionals of A4 Capital Management. The aforementioned companies are affiliated. NC Insurance License #1341818.",≤100,6
Fine USA,Fine Usa,≤100,6
The Hill,The Hill,≤100,7
Jennifer Harris for Fullerton School Board 2018,Committee to Elect Jennifer Harris to Fullerton School Board,≤100,2
The Clark Law Office,The Clark Law Office,≤100,1
Accidental Talmudist,The Accidental Talmudist,≤100,5
Piper for Senate,John Piper,≤100,1
Congressman Daniel Webster,Congressman Daniel Webster,≤100,2
WeWork,These ads ran without a disclaimer,≤100,1
Stand With Our Checkers,These ads ran without a disclaimer,≤100,2
Peaks to People Water Fund,Peaks to People Water Fund,≤100,2
Janice for Congress 2018,Janice Arnold-Jones for Congress,≤100,6
Vote Pranjal for County Board,Committee To Elect Pranjal Vachaspati,≤100,1
Today's Real Talk,Ckezepis,≤100,1
Fast Cash For Your House,These ads ran without a disclaimer,≤100,1
Save the Dells,Save the Dells Political Action Committee,≤100,2
Avacad,EquityWise,≤100,1
Metrus Energy,Metrus Energy,≤100,2
American Bail Agent Coalition,American Bail Coalition,≤100,1
Laura for Illinois - Senate District 9,Friends of Laura Fine,≤100,9
HealthPartners UnityPoint Health,These ads ran without a disclaimer,≤100,1
High Claims Grifter,High Claims Grifter,≤100,2
David McSweeney,David McSweeney for State Representative,≤100,1
First Circuit District Attorney's Office - John Weddle,John Weddle for District Attorney,≤100,1
faithit,FaithIt,≤100,1
Unseen,Unseen,≤100,3
Las Vegas Energy Experts,Las Vegas Energy Experts,≤100,20
Apps Without Code,These ads ran without a disclaimer,≤100,16
Boston Young Healthcare Professionals,Boston Young Healthcare Professionals,≤100,1
Americans for Tax Fairness,Americans for Tax Fairness,≤100,4
Pacific Grove Neighbors United,Pacific Grove Neighbors United,≤100,2
Conscious Step,Conscious Step,≤100,2
Nursing Workers Strong,Monheit Marketing,≤100,1
Diaz Campaigns,DCG - Diaz Campaigns,≤100,7
Malcolm For PA,Malcolm For PA PAC,≤100,2
Virginians for Jobs & the Economy,Coalition for Jobs and Economy,≤100,1
Vote Fred Johnson,Friends of Fred Johnson,≤100,1
The Philosopher's Shirt,These ads ran without a disclaimer,≤100,7
Charles A. Banker III,Charles A. Banker III,≤100,2
Mark for Manassas,Mark for Manassas,≤100,3
AFPM,Jo Co Impact,≤100,1
Realty by Chérie,These ads ran without a disclaimer,≤100,1
America Adapts - The Climate Change Podcast,Doug Parsons,≤100,1
Certified Green Carpet Cleaning,Certified Green Carpet Cleaning,≤100,1
Center for Animal Law Studies,Center for Animal Law Studies,≤100,2
Modesto Irrigation District,Modesto Irrigation District,≤100,2
Stony Brook Foundation,Stony Brook Foundation,≤100,1
Erica Davis - Bradley County Commission District 6,Erica Davis for County Commission,≤100,3
Movement for a People's Party,MPP,≤100,3
Common Ground Committee,Common Ground Committee,≤100,8
Bring It Home NYS,"Association for Community, Inc.",≤100,2
Sgt. Fun Gun,Sgt. Fun Gun,≤100,16
Libby Fischer Hellmann,Libby Fischer Hellmann,≤100,7
Indiana/Kentucky/Ohio Regional Council of Carpenters,Indiana Kentucky Ohio Regional Council of Carpenters,≤100,1
Athlete Ally,Athlete Ally,≤100,2
Unite America,Unite America Inc.,≤100,24
New England Clean Energy Connect,New England Clean Energy Connect,≤100,2
Clarksville Safe and Strong,Clarksville Safe & Strong,≤100,5
Joan Poston,joanforcolorado,≤100,1
Madison County (IL) Democratic Party,the Madison County Democratic Central Committee,≤100,1
AARP Nueva Jersey,AARP New Jersey,≤100,1
The Center for Community Change Action,Community Change Action,≤100,1
WinDem,Win Dem PAC,≤100,1
Univista Insurance Orlando,These ads ran without a disclaimer,≤100,1
Jay Livingstone,Committee to Elect Jay Livingstone,≤100,1
Sarasota citizen Martin Hyde,Sarasota Citizen Martin Hyde,≤100,14
"Milbank, Tweed, Hadley & McCloy LLP",Milbank Law,≤100,1
City of Winston-Salem City Government,City of Winston-Salem,≤100,4
360Daily.net,360 News Las Vegas,≤100,7
Cohen Veterans Network,Cohen Veterans Network,≤100,2
Cook County Record,The Record,≤100,5
TrumpRussia2018 .com,"Sassan K. Darian - A private citizen concerned about basic human decency, liberal democracy and the sovereignty of our democratic process.",≤100,14
ACLU of New Mexico,ACLU of New Mexico,≤100,3
The Little Gym of Arlington/Mansfield,The Little Gym of Arlington/Mansfield,≤100,2
National "Be a Gentleman and Be a Lady Month" Proclamation,FRATIRE PUBLISHING,≤100,1
Foundation for Puerto Rico,These ads ran without a disclaimer,≤100,1
National Cooperative Bank,These ads ran without a disclaimer,≤100,1
Voice Your Choice,Voice Your Choice Emerson College,≤100,3
Free Or Die,"Free Or Die Clothing, a company owned by PGH Retailers LLC",≤100,1
CVIIC,Central Valley Immigrant Integration Collaborative,≤100,1
Treva Hodges,Committee to Elect Treva Hodges,≤100,2
Joseph Hollander & Craft Law Firm,"Joseph, Hollander & Craft Law Firm",≤100,1
Lee Saunders,AFSCME,≤100,1
Invested TX,InvestEdTx.,≤100,2
Missioncleanwater,MissionCleanWater,≤100,1
Aleksy Belcher,Aleksy Belcher,≤100,2
Patriot Productions,"Patriot Productions, LLC",≤100,1
Phil Mendiola-Long,Phillip Thomas Mendiola Long,≤100,5
Life Changing Videos,Kinder World,≤100,2
Marathon Strategies LLC,Marathon Strategies,≤100,4
POZ Magazine,"POZ Magazine, a Smart + Strong publication",≤100,2
Sunpro Solar,SunPro Solar,≤100,2
Doctors Hospital of Augusta,These ads ran without a disclaimer,≤100,1
First National Bank,First National Bank,≤100,6
Always Home,Always Home,≤100,6
Florida Department of Economic Opportunity,These ads ran without a disclaimer,≤100,2
Working Texans for Paid Sick Time,Working Texans for Paid Sick Time,≤100,3
USADefend Immigration,USADefend Immigration,≤100,1
Shaiya LLC,Shaiya,≤100,1
Dine with Dems,a City Precinct Captain for Sandy Springs under the North Fulton Democrats,≤100,2
"Alex Lama for Commissioner Sunny Isles Beach, FL","Alex Lama for Sunny Isles Beach Commissioner, Seat 2",≤100,2
Chris Winslow,Friends of Chris Winslow,≤100,5
Baker Precision Planter Works,Baker Precision Planter Works,≤100,4
The Epoch Times Los Angeles,The Epoch Times - Los Angeles,≤100,5
Quest Diagnostics,These ads ran without a disclaimer,≤100,1
Republican Party of Sharp County,Republican Party of Sharp County,≤100,1
Housing Solutions of Northern Arizona,"Housing Solutions of N. Arizona, Inc.",≤100,2
The Rick & Bubba Show,CRTV,≤100,7
Israel365,Friends of Meir Panim,≤100,1
The City Magazine El Paso,THECITY Magazine El Paso,≤100,3
Human EQ ”No Race Petition”,Rich Coffin,≤100,9
Lessons from Military History,Military History Working Group at the Hoover Institution,≤100,140
The Salvation Army Chicago Metropolitan Division,These ads ran without a disclaimer,≤100,6
Nancy Mace,Nancy Mace For The House,≤100,2
Palmer College of Chiropractic,Palmer College of Chiropractic,≤100,6
Scribol,These ads ran without a disclaimer,≤100,11
Silver Empire,Silver Empire Publishing,≤100,4
Do Good Institute,Do Good Institute,≤100,3
Commit,The Commit Partnership,≤100,2
Mid-America Regional Council,Mid-America Regional Council,≤100,1
Economic Opportunity Institute,The Economic Opportunity Institute,≤100,2
WP Presents! - William Paterson University of New Jersey,William Paterson University,≤100,1
TraffickingMatters,The Human Trafficking Institute,≤100,6
Barzizza for Mayor,Friends of John Barzizza for Mayor,≤100,1
Fred Akshar,Fred Akshar For Our Future,≤100,10
Fraser - Minnesota,These ads ran without a disclaimer,≤100,2
Columbus Public Health,Columbus Public Health,≤100,1
Josh Shapiro,Shapiro for Pennsylvania.,≤100,3
Indiana Democratic Party,the Indiana Democratic Party. Not authorized by a candidate or candidate's committee.,≤100,2
Jay Patel Buy Houses,Jay Patel Buy Houses,≤100,5
Global Orphan Prevention,These ads ran without a disclaimer,≤100,1
Tampa Immigration Attorney Neil F. Lewis,"Immigration Attorney Neil Lewis, Tampa FL (813) 226-2144. The hiring of a lawyer is an important decision that should not be based solely upon advertisements. Before you decide, ask us to send you free written information about our qualifications and experience.",≤100,1
Capitol Ministries,Capitol Ministries,≤100,2
Gay Vegas,LGBTQ Vegas,≤100,1
Moms Against Poverty,momsagainstpoverty,≤100,3
Doug Goodman for Magistrate,Citizens for Doug Goodman,≤100,1
Miami Beach Commissioner Michael Góngora,Michael Góngora,≤100,2
Chakisse Newton for Council,Newton for Council,≤100,2
Dear Koch Brothers - A Letter from a Ballerina,These ads ran without a disclaimer,≤100,2
Rush System for Health,Rush System for Health,≤100,3
E2 - Environmental Entrepreneurs,E2 (Environmental Entrepreneurs),≤100,1
Thunder106,"Press Communications, LLC",≤100,2
Senator Andy Vidak,Senator Andy Vidak,≤100,2
Our York Media,Our York Media,≤100,2
Rick Laurel for Laredo City Council Dist. 6,"Elsa Laurel, Treasurer",≤100,1
"Office of Economic Empowerment, Massachusetts State Treasury",The Office of Economic Empowerment,≤100,2
Better Care for New Hampshire,Better Care for New Hampshire,≤100,1
大紀元&新唐人－舊金山（EpochTimes & NTDTV - San Francisco）,Paid for by Ellen Lee Zhou for Mayor 2018 FPPC #1400965,≤100,30
Virginia Constitutional Conservatives,Virginia Constitutional Conservatives,≤100,2
CRTV,These ads ran without a disclaimer,≤100,5
Bevi,Bevi,≤100,4
Don Blankenship,Don Blankenship,≤100,4
Recycling Partnership,The Recycling Partnership,≤100,3
CSEA Local 1000,CSEA Local 1000,≤100,25
NAIS -- National Association of Independent Schools,National Association of Independent Schools,≤100,6
The Ben Shapiro Show,The Daily Wire,≤100,5
Kevin McCarthy,Rep. Kevin McCarthy,≤100,1
Orphan Relief and Rescue,Orphan Relief Rescue,≤100,6
Discovery Institute,Discovery Institute,≤100,2
Modern Print Artwork,Modern Print Artwork,≤100,2
Kira Fonteneau - Attorney,Kira Fonteneau - The Fonteneau Firm LLC,≤100,1
Blue Chip Insurance Wilmington,Blue Chip Insurance Wilimington,≤100,2
MHAction.org,MHAction,≤100,3
Team Villard,"Paule Villard Campaign for North Miami Beach Commissioner, Group 2",≤100,2
Alachua County Republican Party,Tammy Sanders Prince,≤100,1
Soldier Boy Beef Jerky,These ads ran without a disclaimer,≤100,1
AllSides,AllSides,≤100,6
"Eric William Carter for JP - Precinct 1, Place 1","Eric William Carter Campaign, Melanie Carter, Treasurer",≤100,1
Chris Wineland,Pittwine Productions,≤100,3
Jack Jablonski BEL13VE in Miracles Foundation,Bel13ve in Miracles Foundation,≤100,1
Conversations with Bill Kristol,The Foundation for Constitutional Government,≤100,1
Westwood Family Dental,These ads ran without a disclaimer,≤100,2
Merorandum,Paul Mero,≤100,1
Moore County Republican Men's Club,The Moore County Republican Men's Club,≤100,2
New Bedford Coalition to Save Our Schools,New Bedford Coalition to Save Our Schools,≤100,2
The Islamic Society of Brevard County,These ads ran without a disclaimer,≤100,1
Flip Texas-32,Flip Texas - 32,≤100,3
Long Beach Transportation And Parking Solutions,Transportation And Parking Solutions,≤100,1
McLennan County Republican Club,McLennan County Republican Club,≤100,1
Christopher Mills Hobbs City Commissioner District 2,Christopher Mills,≤100,2
Waterfront Rescue Mission,Waterfront Rescue Mission,≤100,1
LaVar Christensen Utah House,LaVar Christensen,≤100,1
Tonantzin Society,Tonantzin Society,≤100,2
Maryland Consumer Rights Coalition,Maryland Consumer Rights Coalition,≤100,2
Martin Zilber - Circuit Court Judge,Martin Zilber Judge,≤100,2
Georgia Farm Monitor,The Farm Monitor,≤100,1
Hungry Harvest,Hungry Harvest,≤100,1
CultureMap Dallas,CultureMap Dallas,≤100,1
Cranford Co.,Cranford Co.,≤100,2
New Prensa,NewPublica,≤100,1
Will Ainsworth,"Friends of Will Ainsworth  7520 Browns Valley Rd. Guntersville, AL 35976",≤100,1
Earthjustice,Earthjustice,≤100,2
City of Danbury,City of Danbury,≤100,2
Save the Lower Snake River Dams,Save the Lower Snake River Dams,≤100,21
Frontera Radio,Frontera Radio,≤100,4
Jewlish,Jewlish,≤100,1
United Democratic Club,The United Democratic Club,≤100,8
Midtown Scholar Bookstore,Midtown Scholar Bookstore,≤100,1
New Orleans Baptist Theological Seminary,New Orleans Baptist Theological Seminary,≤100,1
Heading Home NM,Heading Home NM,≤100,5
The Oxygen Project,The Oxygen Project,≤100,6
Fish Eye Guy Photography,Orvis,≤100,2
Federal Employee Retirement Planning,Zack Hamric,≤100,2
American Military News,American Military News LLC,≤100,1
"Law Office of Michael D.J. Eisenberg, Attorney and Counselor at Law",Law Office of Michael D.J. Eisenberg,≤100,2
Florida Strong,"Florida Strong, 115 East Park Avenue Unit 1 Tallahassee FL 32301. Paid Electioneering Communication.",≤100,1
United Way of Metropolitan Nashville,These ads ran without a disclaimer,≤100,3
Brown for Vallejo City Council,Brown for City Council 2018 FPPC#1399493,≤100,1
Connecticut Explored,Connecticut Explored,≤100,1
Coalition for Humane Immigrant Rights,Coalition for Humane Immigrant Rights,≤100,4
The Professor Is In.,These ads ran without a disclaimer,≤100,1
Jane's Due Process,Jane's Due Process,≤100,1
Laboratory to Combat Human Trafficking,Laboratory to Combat Human Trafficking,≤100,2
Marcus Murphy,"Dr. Marcus A. Murphy, MBA/JD",≤100,9
Goodnight Trump,"Little, Brown and Company",≤100,1
The Law Office of Eduardo Z. Herrera LLC.,"Law Office of Eduardo Z. Herrera, LLC",≤100,1
One Earth,These ads ran without a disclaimer,≤100,1
The GOD'S CHILD Project,These ads ran without a disclaimer,≤100,3
"Peter Aguilera for Alderman, Aurora's 1st Ward","Citizens for Peter Aguilera - For Alderman, Aurora's First Ward",≤100,1
UW Streak,These ads ran without a disclaimer,≤100,1
Erie County Democratic Committee,Erie County Democratic Committee,≤100,4
Edgar Montes for Rialto School Board 2018,Montes for Rialto School Board - 2018 FPPC# 1410879,≤100,1
Concerned Citizen,Concerned Citizen,≤100,2
Brut,Brut,≤100,109
Waking Dream - ination Media,iNation Media,≤100,1
Boston Public Library,Boston Public Library,≤100,5
Northeast Ohio Progressives,Medina County Progressives,≤100,3
Justice for Our Neighbors-Michigan,Justice for Our Neighbors-Michigan,≤100,1
Matt McCoy,Committee to Elect Matt McCoy,≤100,3
FASTSIGNS of Holland,These ads ran without a disclaimer,≤100,1
Unite the People,"We the People Org, Inc.",≤100,1
The Yerman Group,The Yerman Group,≤100,2
Fight4Moms,seweryn zaman,≤100,3
"Keep America Great, TRUMP 2020",JAAR LEGACY HOLDINGS,≤100,7
Organic Valley,These ads ran without a disclaimer,≤100,1
Gun of Fire,These ads ran without a disclaimer,≤100,1
San Francisco Tenants Union,"San Francisco Tenants Union PAC, FPPC # 1391749. Advertisements are not authorized by a candidate or a committee controlled by a candidate. Financial disclosures are available at sfethics.org.",≤100,2
Committee for Green Foothills,Committee for Green Foothills,≤100,1
