Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Action Against Hunger USA,Action Against Hunger,9271,22
Home Professionals,Home Professionals,9264,589
Pacific Garden Mission,Pacific Garden Mission,9136,13
United States Constitution,Keep and Bear,9100,39
Plan International USA,Plan International USA,9039,50
Union of Concerned Scientists,Union of Concerned Scientists,8996,76
Compassion in World Farming (USA),CIWF,8994,37
Ben Shapiro,Daily Wire,8989,87
STAND League,STAND League,8986,5
"I'll go ahead and keep my guns, Thanks",STAND FLAG POLES,8885,5
UNICEF USA,UNICEF USA,8862,36
Gavin Newsom,Newsom for California Governor 2018,8715,300
Coalition to Protect America's Health Care,Coalition to Protect America's Health Care,8622,18
Conservation International,Conservation International,8539,78
AARP Advocates,AARP,8534,5
Compare Medicare Quotes,"Benepath, Inc.",8479,8
Thrasher Coffee,Thrasher Coffee,8400,24
NumbersUSA,NumbersUSA,8340,3
Fight Back,Fight Back Fund,8264,11
Yosemite Conservancy,Yosemite Conservancy,8199,208
California Water Service,California Water Service,7964,28
People United for Privacy,People United for Privacy,7894,9
"I'll go ahead and keep my guns, Thanks",2A4LIFELLC,7891,11
Ocean & Co.,Ocean And Co,7798,11
National Health Insurance Savings,National Health Insurance Savings,7744,25
Donald Trump Dog Poop Bags,Donald Trump Dog Poop Bags,7735,7
UAW International Union,"the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW). Not authorized by any candidate.",7632,37
New Direction New Jersey,New Direction NJ,7462,3
PRJKT RUBY,PRJKT RUBY,7384,24
Proud To Be A Republican,Agency Consulting LLC,7352,3
Bird + Stone,Bird + Stone,7280,39
Defend My America,Defend My America,7272,53
Jewish Democratic Council of America,Jewish Democratic Council of America,7260,6
Women for Trump,Proud Right Winger,7165,214
HIAS,HIAS,7097,48
AIPAC,AIPAC,7032,22
The Secret Life of Muslims,The Doris Duke Charitable Foundation,7025,168
RALI Minnesota,Rx Abuse Leadership Initiative,6985,3
Texas Public Policy Foundation,Texas Public Policy Foundation,6940,61
Dan McCready for Congress,McCready for Congress,6923,175
Jay Sekulow,American Center for Law and Justice,6910,13
NICA - National Infusion Center Association,National Infusion Center Association,6883,145
Awareness Amongst Americans,Awareness Amongst Americans,6833,6
Wounded Warrior Project,Wounded Warrior Project,6797,52
Make America Great Again - Republican,Agency Consulting LLC,6796,3
Michael Bennet,Bennet for Colorado,6786,16
T-Mobile,These ads ran without a disclaimer,6781,4
"Union Mission Ministries, Norfolk",Union Mission Norfolk,6774,19
CARE Action,CARE,6766,99
Every State For Israel,Chosen People,6720,6
45th President Donald J. Trump,OuterGoods LLC,6613,186
2nd Amendment Depot,2nd Amendment Depot,6601,129
Parks Project,Parks Project,6510,46
For Michigan's Future,For Our Future Action Fund,6489,7
National Association of Manufacturers,National Association of Manufacturers,6452,10
World Animal Protection US,World Animal Protection,6411,13
International Planned Parenthood Federation/Western Hemisphere Region,International Planned Parenthood Federation/Western Hemisphere Region,6368,16
Building New York's Best,Building New York's Best,6352,86
Concerned Women For America LAC,CONCERNED WOMEN FOR AMERICA,6347,17
Congressional Black Caucus PAC,Congressional Black Caucus PAC,6300,3
Kialo,Kialo,6274,42
Adam Schiff,Adam Schiff for Congress,6254,26
Nine Line Apparel,Nine Line Apparel,6227,44
Indiana Senate Democratic Caucus,Indiana Senate Democratic Caucus,6187,6
Shaun King,Shaun King,6161,11
Home Energy Guide,Home Energy Guide,6153,733
Chesapeake Bay Foundation,Chesapeake Bay Foundation,6146,47
Keep and Bear,Keep and Bear,6124,28
Emerge America,Emerge America,6109,61
National Democratic Training Committee,the National Democratic Training Committee,6055,14
Jewish Voice Ministries International,JVMI,6047,168
New Jersey Education Association,the New Jersey Education Association.,6047,5
National Council on Aging,the National Council on Aging,6027,25
Family Survival,Family Survival,6004,28
Cityteam,Cityteam,5940,45
Consumer Energy Alliance,Consumer Energy Alliance,5932,22
Define American,Define American,5918,21
American Medical Association (AMA),American Medical Association,5906,3
Americares,These ads ran without a disclaimer,5819,4
NO New Oklahoma TAXES,No New Oklahoma Taxes,5813,4
Phoenix Rescue Mission,Phoenix Rescue Mission,5778,17
Shareblue Media,Shareblue Media,5776,28
PATH,"PATH, a global non-profit organization.",5729,8
The Committee to Defend the President,The Committee to Defend The President,5722,12
NC Conservation Network,the North Carolina Conservation Network,5713,4
Special Olympics,Special Olympics,5707,48
Ready 4 Garcetti,Ready4Garcetti,5640,21
Brady Campaign,The Brady Campaign,5619,90
Strong Women Society,"Sky Took, LLC",5570,265
Solar Solutions,"Solar Solutions A Solar Energy Company Based In Los Angeles, CA.",5380,10
Great America PAC,Great America PAC,5350,129
Medi-Share,These ads ran without a disclaimer,5296,3
Campaign for Sustainable Rx Pricing,the Campaign for Sustainable Rx Pricing,5289,65
Larry Elder,Citizens for Truth in Drug Pricing,5289,4
Eckerd Connects,Eckerd Connects,5257,8
Wildlife Conservation Society,WCS,5215,36
Human Rights Campaign,Human Rights Campaign,5177,42
Texans for Natural Gas,Texans for Natural Gas,5076,21
Thad Michael is Senior Benefits,Thad Michael is Senior Benefits,5048,90
AARP AAPI Community,AARP,5015,6
Upworthy,Good Media Group,5000,134
TisBest Philanthropy,TisBest,4982,2
United to End Homelessness,United to End Homelessness,4973,56
Clean Virginia,Clean Virginia,4927,3
Hello Resistance,Hello Resistance,4915,11
Theodore Roosevelt Conservation Partnership,the Theodore Roosevelt Conservation Partnership,4899,216
WaterAid America,WaterAid,4845,11
The Fighting Forces,The Fighting Forces,4842,228
LG&E and KU,LG&E and KU,4795,12
American Cancer Society Cancer Action Network - ACS CAN,the American Cancer Society Cancer Action Network.,4781,26
Center for Union Facts,Center for Union Facts,4765,1
CreditRepair.com,CreditRepair,4760,27
Axios,Axios Partner,4758,21
Utah Violence & Injury Prevention Program,Utah Department of Health,4736,8
Human Coalition,Human Coalition,4721,60
Purdue University,Purdue University,4719,10
American Humane,American Humane,4663,27
UPROXX News,UPROXX,4662,5
It Gets Better Project,It Gets Better Project,4604,185
Home Saving Net,National Solar Rebate,4589,95
Fair Fight Georgia,Fair Fight Action,4585,18
DonorsChoose.org,DonorsChoose.org,4583,15
Ali Forney Center,Ali Forney Center,4582,23
Mike Gallagher,Citizens for Truth in Drug Pricing,4550,3
Elizabeth Esty,Friends of Elizabeth Esty,4549,9
National Parks Conservation Association,National Parks Conservation Association,4515,91
"Imprimis, a Publication of Hillsdale College",Hillsdale College,4504,33
We The People Holsters,WeThePeopleHolsters,4496,148
Advocate Alliance Group,Advocate Alliance Group,4479,5
Americans for Prosperity Foundation,Americans for Prosperity Foundation,4466,49
Save the Storks,Save The Storks,4460,13
Congressman Jason Smith,Congressman Jason Smith,4439,4
DiversityInc,"DiversityInc Media, LLC",4403,51
NRA - National Rifle Association of America,NRA,4390,117
Gery Chico,Gery Chico for Mayor,4326,1
Hope for America,Puppy Dogs & Ice Cream Publishing,4303,175
Everyone in LA,United Way of Greater L.A.,4302,13
"Raja Krishnamoorthi - Congressman, IL-8",official funds authorized by the House of Representatives,4290,6
Winning For Women,"Winning For Women, Inc.",4271,97
Save the Storks,Save the Storks,4253,9
Moms Demand Action for Gun Sense in America,Everytown for Gun Safety Action Fund,4253,77
Energy In Depth,Energy in Depth,4200,5
Jeanne Shaheen,Shaheen for Senate,4200,5
African Community & Conservation Foundation,African Community & Conservation Foundation,4198,5
KevinMD.com,"KevinMD, LLC",4186,5
AARP Vermont,AARP Vermont,4173,2
SEAL PAC,SEAL PAC Supporting Electing American Leaders PAC,4163,19
Media Research Center,Media Research Center,4147,7
New Health Plans,Shop Insurance Plans,4120,59
Jeff Merkley,Jeff Merkley for Oregon,4062,825
Ben & Jerry's,Ben & Jerry's,4040,18
Friends Committee on National Legislation,Friends Committee on National Legislation,4029,18
National Audubon Society,National Audubon Society,4025,52
Citizens Energizing Michigan's Economy,CITIZENS FOR ENERGIZING MICHIGAN'S ECONOMY,4019,22
Tiffany & Co.,Tiffany & Co.,4019,8
Likewise,Likewise National,4000,1
Stop & Shop,Ahold USA,3995,3
Ohio Education Association,Ohio Education Association,3990,6
PETA (People for the Ethical Treatment of Animals),PETA,3968,115
Gospel for Asia,Gospel for Asia,3966,75
Planted for People,America's Corn Farmers,3909,15
US Lending Marketplace,US Lending Marketplace,3905,5
Service Pet Verified,Service Pet Verified,3898,48
Crooked Media,Crooked Media,3897,85
Spectrum News NY1,Spectrum News,3884,108
Grunt Style,Grunt Style,3884,8
Turning Point USA,Turning Point USA,3884,109
USA Proud Veterans,Proud USA Veterans Team,3881,3
Howstuffworks,HowStuffWorks,3874,4
Conservation Voters of Pennsylvania,Conservation Voters of Pennsylvania,3863,26
The LIBRE Initiative,The LIBRE Initiative,3849,12
Stop the Corridor,"Stop the Corridor, PO Box 98, Westbrook ME 04098",3835,14
Amy Poehler's Smart Girls,Focus Features,3830,3
ReBuild USA,ReBuild USA,3830,7
Sungrade Solar,Sungrade Solar,3811,12
"Zion Oil and Gas, Inc.",Zion Oil & Gas,3775,2
Michigan Families for Opportunity,Michigan Families for Opportunity,3752,155
NYC Mayor's Office,the City of New York.,3743,13
Valley Air District,Valley Air District,3737,28
Kamala Harris,Kamala Harris for Senate,3700,4937
Stop The HIT,Stop The HIT Coalition,3685,28
Americans for Prosperity,Americans for Prosperity,3680,18
Speak Up For Education and Kids,the National Education Association,3654,102
Allied Progress,Allied Progress Action,3648,9
Kirsten Gillibrand,Gillibrand for Senate,3623,37
Lumina Foundation,Lumina Foundation,3622,125
Patriot Depot,Patriot Depot,3583,222
Convention of States,Convention of States Action,3557,20
Republican Merchandise,Republican Merchandise,3541,21
Patriot News Alerts,Patriot News Alerts,3500,9
"The GEO Group, Inc.",The GEO Group,3500,4
Consumer Protection Coalition,Paid for by the Consumer Protection Coalition,3497,8
APWU - The American Postal Workers Union,APWU - American Postal Workers Union,3493,1
Lambda Legal,Lambda Legal,3446,6
American Friends Service Committee,The American Friends Service Committee (AFSC),3438,7
Tetra Pak - USA,Tetra Pak,3433,8
Consumers for Quality Care,Consumers for Quality Care,3433,18
Care Net,Care Net,3415,28
Brave Response,Brave Response,3396,4
PolicyEd,Hoover Institution,3365,57
National Wildlife Federation,National Wildlife Federation,3342,4
The Leadership Conference on Civil and Human Rights,The Leadership Conference on Civil and Human Rights,3335,28
Free Together,State Policy Network,3334,3
ATTN:,ATTN:,3324,7
Climate Reality,The Climate Reality Project,3323,80
National Audubon Society,These ads ran without a disclaimer,3316,16
Equality PAC,Equality PAC,3293,3
CREDO Energy,"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, CREDO Mobile, Inc.",3288,27
Restore Public Trust,Restore Public Trust,3275,10
Air Force One Experience,Air Force One Experience,3265,7
Bronx Zoo,Wildlife Conservation Society,3218,18
Compassion International,Compassion International,3179,9
Team Trump,Trump Make America Great Again Committee,3163,170
Respect Our Waters,Respect Our Waters,3142,2
CBN News,"The Christian Broadcasting Network, Inc.",3134,78
Barnes & Noble,Barnes & Noble,3108,25
We Want Warren,Democratscom LLC,3105,8
Citizens for Tobacco Rights,Citizens for Tobacco Rights,3070,197
Rep. Pete Aguilar,official funds authorized by the House of Representatives.,3068,9
Patients For Affordable Drugs NOW,Patients for Affordable Drugs NOW,3063,12
Military Officers Association of America (MOAA),Military Officers Association of America (MOAA),3059,17
US Health Marketplace,Healthy Living Initiative,3057,15
Taryn Teutsch,Justice4mom,3035,5
The Greater Boston Food Bank,The Greater Boston Food Bank,3020,5
Rant Nation with Graham Allen,CRTV,3003,7
Coalition to Stop Internet Gambling,Coalition to Stop Internet Gambling,2999,2
SC Club for Growth,SC Club for Growth,2996,47
Jerry Joyce for Mayor of Chicago,Jerry Joyce for Mayor,2981,3
Daley for Mayor,Daley for Mayor,2960,2
Peter G. Peterson Foundation,Peter G. Peterson Foundation,2950,43
Minnesota Ag-Energy Alliance,Minnesota Ag Energy Alliance,2949,6
The Voice of the Martyrs - USA,The Voice of the Martyrs - USA,2947,20
ASMDSS,"ASMDSS, Inc",2936,47
Beau Biden Foundation for the Protection of Children,Beau Biden Foundation for the Protection of Children,2934,26
Tee Shirt Palace,Tee Shirt Palace,2926,3
National Veteran Loan Programs,National Veteran Programs,2911,36
The Presidential Coalition,The Presidential Coalition,2908,11
Enhance Our Energy Infrastructure,New Jersey Laborers-Employers Cooperation and Education Trust,2887,232
Rainforest Trust,Rainforest Trust,2878,5
Oil Change International,Oil Change International,2866,3
The Salvation Army USA,These ads ran without a disclaimer,2847,2
Conservative Gear,Conservative Gear,2842,103
NRSC,NRSC,2818,9
New Health Plans,New Health Plans,2804,49
Cover Virginia,Commonwealth of Virginia,2794,37
Middlesex County NJ,Middlesex County NJ,2786,35
National Park Foundation,National Park Foundation,2781,15
Association of American Railroads,Association of American Railroads,2774,18
Proud Right Winger,Proud Right Winger,2745,160
NewDemPAC,the New Democrat Coalition Political Action Committee and not authorized by any candidate or candidate's committee.,2739,49
Rite Aid,Rite Aid,2730,2
All Pro Dad,Florida Department of Educations,2728,3
AFT - American Federation of Teachers,American Federation of Teachers,2715,57
Til Valhalla Project,Til Valhalla Project,2708,52
Fish Eye Guy Photography,Orvis,2704,2
The Commonwealth Museum,Office of the Secretary of the Commonwealth,2700,1
Warrior 12,Warrior 12,2691,13
Environmental Working Group,the Environmental Working Group,2629,63
Pennsylvania State Treasurer Joe Torsella,Pennsylvania Taxpayers Dollars,2621,9
Industry City,Industry City,2600,10
Blue Cross NC,Blue Cross NC,2594,18
First Lady Chirlane McCray,the City of New York,2580,12
Mayor Bill de Blasio,the City of New York,2564,12
African Wildlife Foundation,African Wildlife Foundation,2558,25
Friends of Manufacturing,Friends of Manufacturing,2557,22
Republicans for the Rule of Law,Republicans for the Rule of Law,2545,5
Truth in Politics,"Truth In Politics, Inc.",2516,1
Joe Kennedy III,Joe Kennedy for Congress.,2507,317
Rockefeller Foundation,The Rockefeller Foundation,2489,8
National Women's Law Center,the National Women's Law Center,2483,24
EMILY's List,EMILY's List,2468,6
Free Press Action Fund,Free Press Action Fund,2455,6
Progressive Caucus,Progressive Caucus PAC,2454,5
U.S. PIRG,U.S. PIRG Education Fund,2450,35
NILC Immigrant Justice Fund,NILC Immigrant Justice Fund,2446,2
Cambria,Cambria,2444,2
Democratic Climate Action,the Democratic Governors Association,2444,10
Save BIG On Insurance,USAuto Insurance Program,2444,6
We Raise Foundation,We Raise Foundation,2441,158
Marsy's Law for Pennsylvania,"Marsy’s Law for Pennsylvania, LLC",2438,6
UNFPA,These ads ran without a disclaimer,2427,7
Dan Newlin,Dan Newlin Injury Attorneys,2420,1
"AARP Medicare Supplement Plans, insured by UnitedHealthcare Insurance Co.",UnitedHealthcare,2408,4
Catholic Charities of Saint Paul and Minneapolis,Catholic Charities of Saint Paul and Minneapolis,2404,6
Community Coffee,"Community Coffee Company, L.L.C.",2387,4
GreaterHalf.com,Greater Half,2383,39
AMA Patients Action Network,American Medical Association,2366,19
Premier Health,Premier Health,2363,2
Victory Disability,Victory Disability,2361,5
Polaris,Polaris,2353,16
PCCC - BoldProgressives.org,the Progressive Change Campaign Committee PAC and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,2352,40
This Bar Saves Lives,These ads ran without a disclaimer,2340,10
Women's March,Women's March,2323,18
Association for Accessible Medicines,Association for Accessible Medicines,2323,26
Patagonia,Patagonia,2303,21
CREDO Mobile,"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.",2301,178
"New Orleans Abortion Fund, Inc.","New Orleans Abortion Fund, Inc.",2301,334
Marsy's Law for Idaho,"Marsy's Law for Idaho, L.L.C",2281,7
Team Trump Fan Club,I Love My Freedom,2279,13
Alzheimer's Association - Northern California and Northern Nevada,Alzheimer's Association,2274,11
North Dakotans for Comprehensive Energy Solutions,North Dakotans for Comprehensive Energy Solutions,2270,4
Invest in Education IN,Indiana State Teachers Association,2255,32
Connect Americans Now,Connect Americans Now.,2251,9
National Partnership for Women & Families,National Partnership for Women & Families,2249,33
No Nuke Bailout,Citizens Against Nuclear Bailouts,2246,14
Marsy's Law for Wisconsin,"Marsy’s Law for Wisconsin, LLC",2236,9
I Am Essential,the I Am Essential Coalition,2230,122
The Alliance for Solar Choice,The Alliance for Solar Choice,2224,20
Vera Institute of Justice,Vera Institute of Justice (501c3),2214,25
Bank of America,Bank of America,2207,16
Utah Food Bank,Utah Food Bank,2198,11
Precious Retirement Strategies,Precious Retirement Strategies,2188,8
Illinois Policy,Illinois Policy,2187,25
Nexamp,Nexamp,2185,39
MoveOn,MoveOn.org Civic Action.,2181,269
SmartNews,"SmartNews International, Inc.",2180,459
Indiana Commission for Higher Education,Indiana Commission for Higher Education,2163,7
FreightWaves,FreightWaves,2160,5
Leadership Institute,Leadership Institute,2157,47
ReThink Energy NJ,ReThink Energy New Jersey,2154,62
Charlie Kirk,Charlie Kirk,2152,12
Guns Down America,Guns Down,2147,5
Larry Elder,Salem Media Group,2140,3
Jobs for Minnesotans,Jobs for Minnesotans,2109,18
TonyBuzbee,These ads ran without a disclaimer,2100,1
"Main Street Law Firm, PLLC","Main Street Law Firm, PLLC",2100,1
Senator Ron Wyden,Wyden for Senate.,2082,141
First Liberty,First Liberty Institute,2059,54
Father Joe's Villages,Father Joe's Villages,2057,19
Erase The Hate,These ads ran without a disclaimer,2053,23
Wisconsin Alliance for Women's Health,the Wisconsin Alliance for Women's Health,2044,149
Tate Reeves,Friends of Tate Reeves for Mississippi,2037,2
New Way California,New Way California,2036,20
Kansas State Treasurer Jake LaTurner,Kansas State Treasurer Jake LaTurner,2024,3
SEIU Local 2015,SEIU Local 2015,2016,9
WorkingNation,WorkingNation,2010,2
Stand Up America,Stand Up America,2005,731
Military Wellness,Military Wellness Initiative,2000,4
Jemar Tisby,Zondervan,1996,20
Dan Forest,Committee to Elect Dan Forest,1996,14
Friends of the IDF (FIDF),Friends of the IDF,1992,563
Kansas Health Foundation,Kansas Health Foundation,1975,1
Virginians for Better Transportation,the Virginia Transportation Construction Alliance,1970,11
Association of Young Americans,Association of Young Americans,1969,26
"Congressman Roger Marshall, M.D.",the Office of Congressman Roger Marshall,1962,6
KevinMD.com,MedPage Today,1962,9
C-SPAN,C-SPAN,1947,3
Root-Pike Watershed Initiative Network,Root-Pike Watershed Initiative Network,1944,2
I Love My Freedom,I Love My Freedom,1919,22
The Atlas Society,The Atlas Society,1917,35
Democrats,DCCC,1885,65
AMERIPAC,AMERIPAC,1885,1
John 3:16 Mission,John 3:16 Mission,1883,8
Need To Impeach,Tom Steyer,1881,3
"The Citizens Foundation, USA",The Citizens Foundation - USA,1867,44
Congressman Andy Biggs,The Office of Congressman Andy Biggs,1852,2
National Taxpayers Union,National Taxpayers Union,1852,15
Catholic Charities of New York,Catholic Charities Archdiocese of New York,1839,22
Campus Reform,Campus Reform,1839,3
Phone2Action,Phone2Action,1838,195
350.org,350,1828,23
Compassion Experience,"Compassion International, Inc.",1821,3
Seventh Generation,Seventh Generation,1810,1
U.S. Representative Val Demings,the Office of Congresswoman Demings,1806,7
Children's Defense Fund,Children's Defense Fund,1804,46
Earthjustice,Earthjustice,1802,6
Build With Strength,Build With Strength,1802,35
Consumers for Sensible Energy,Consumers for Sensible Energy,1796,3
Sesame Workshop,Sesame Workshop,1796,31
Congressman Steven Palazzo,the Office of Congressman Steven Palazzo,1786,3
Americans for Limited Government,Americans for Limited Government,1783,1
The BL TV,The Beauty of Life,1767,16
Action New Orleans,Action New Orleans PAC,1748,4
The Beer Institute,The Beer Institute,1744,12
John Catsimatidis,John Catsimatidis,1740,7
War Against Racism,War Against Racism,1738,10
Wellness.com,"Beachside Media, Inc.",1718,40
Chan Zuckerberg Initiative,The Chan Zuckerberg Initiative,1716,12
Curzio Research,Curzio Research,1713,31
Power In Cooperation,ConocoPhillips Company,1702,22
Publicsquare.net,Public Square Net,1699,7
AACR Foundation,The American Association for Cancer Research (AACR),1697,14
Olivela,Olivela,1678,37
Jane Velez-Mitchell,Jane Velez-Mitchell,1676,9
UUSC: Unitarian Universalist Service Committee,Unitarian Universalist Service Committee,1671,98
Volunteers of America,Volunteers of America,1670,6
SAMMinistries-Overcoming Homelessness,SAMMinistries,1655,5
Lincoln Land Wind,Lincoln Land Wind,1632,52
stasher,stasher,1630,8
Reform Austin,"Reform Austin, Inc.",1629,67
TriMet,TriMet,1624,3
Consumer Technology Association (CTA),Consumer Technology Association,1604,6
Maryland Food Bank,the Maryland Food Bank,1600,26
Americans For Better Infrastructure,Americans For Better Infrastructure,1595,269
G.I. Jobs Magazine,G.I. Jobs Magazine,1595,40
Construimos,Construimos,1592,4
Hearing Aid Reviews,Hearing Aid Reviews,1584,14
Ours To Change Mississippi,Ours to Change,1577,4
Donald Trump For President 2020,Donald Trump Collectables,1575,7
Mary's Place,Mary's Place,1572,7
Virginians for Jobs & the Economy,Coalition for Jobs and Economy,1554,4
Sunday Breakfast Mission,Sunday Breakfast Mission,1546,9
Compassion & Choices - New Jersey,Compassion and Choices New Jersey,1544,40
Penguin Kids,Penguin Young Readers,1540,22
Steve Bullock,Big Sky Values PAC,1527,11
The Commonwealth Fund,"The Commonwealth Fund, a nonpartisan organization",1526,11
