Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Independence USA,Independence USA. Not authorized by any candidate or candidate's committee.,110416,627
Secure Ohio's Future,"Securing Ohio’s Future Action Fund, Inc. Not authorized by any candidate or candidate’s committee.",108507,21
Voto Latino,Voto Latino,107271,297
Financial Security Today,Financial Security Today,104866,33
California Secretary of State,California Secretary of State,103674,23
Vote With Me,The New Data Project,102196,282
No Prop 6,No on Prop 6: Stop the Attack on Bridge & Road Safety,101761,16
NRCC Legal Defense,the NRCC and not authorized by any candidate or candidate's committee. www.nrcc.org,99511,4
Richard Cordray for Ohio,Ohio Democratic Party,98321,21
Finish the Ballot,"PACRONYM. 611 Pennsylvania Ave SE #143 Washington, DC 20003. Not authorized by any candidate or candidate’s committee.",97503,999
Kamala Harris,Kamala Harris for Senate,95462,7824
New York City Charter Revision Commission,2018 NYC Charter Revision Commission,92444,20
Voters - Not Politicians,"Voters Not Politicians | PO Box 8362 Grand Rapids, MI 49518",91709,143
Greg Abbott,Pol. Ad Texans for Greg Abbott,91390,80
Knock The Vote,Knock The Vote,90030,39
Republican Women for Progress PAC,Republican Women For Progress PAC,89892,26
Claire McCaskill,McCaskill for Missouri,89686,188
Michigan Republican Party,"the Michigan Republican Party Not authorized by any candidate or candidates committee. 520 Seymour Ave. Lansing, MI 48933",88196,301
Shareblue Media,Shareblue Media,88133,575
America First Policies,America First Policies,87647,7116
Vote NO on 1631,"NO on 1631 (Sponsored by Western States Petroleum Association), P.O. Box 7035, Olympia, WA 98507 Top 5 Contributors: BP America, Phillips 66, Andeavor LLC (now owned by Marathon Petroleum Corporation), American Fuel and Petrochemical Manufacturers, Valero Energy Corporation",87049,59
Microsoft,Microsoft,86790,33
Marsha Blackburn,Marsha for Senate,85638,63
ExxonMobil,ExxonMobil,84341,145
NumbersUSA,NumbersUSA,84314,44
Tim Kaine,Kaine for Virginia,83410,57
Pennsylvania Values,"PA VALUES, PO BOX 644, HARRISBURG, PA 17108. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",83099,56
Missouri Rising Action,Missouri Rising Action. Not authorized by any candidate or candidate committee.,82504,54
Tony's Track Record,EdVoice,80797,66
NRCC IE,the NRCC and not authorized by any candidate or candidate’s committee.,79357,212
Human Rights Campaign,Human Rights Campaign PAC,79126,66
Swing Left,Swing Left. Not authorized by any candidate or candidate's committee.,77488,693
FreedomWorks,FreedomWorks for America. Not authorized by any candidate or candidate's committee.,77226,366
Ted Cruz,Ted Cruz for Senate,76044,38
Accountability in Government,"Accountability In Government, Inc. 115 E Park Avenue, Suite 1, Tallahassee, Fl",75801,16
AARP Advocates,AARP,75557,36
County Solar Program,County Solar Programs,75106,152
Tennessee True,Majority Forward,73957,17
Kyrsten Sinema,Sinema for Arizona,73850,235
The Front Runner,Sony Pictures,73413,14
Priorities USA Action,Priorities USA Action. (302) 469-3772. Not authorized by any candidate or candidate's committee.,72996,207
High Ground Action Fund,High Ground Action Fund,72831,12
NRDC Action Fund,NRDC Action Fund,72622,378
BallotReady,BallotReady,72617,416
International Rescue Committee,International Rescue Committee,72194,456
Alliance for Retired Americans,the Alliance for Retired Americans 888-373-6497. Not authorized by any candidate or any candidate's committee.,71899,13
Coalition For a Safe Secure America - Missouri,Coalition for a Safe Secure America,71810,25
Bob Hugin,"Bob Hugin for Senate, Inc.",71806,18
AFL-CIO,AFL-CIO,71789,145
High Ground,"High Ground Political Fund. Not authorized by any candidate, candidate's agent or committee.",69760,540
"Students, Parents, and Teachers Supporting Marshall Tuck for Superintendent",EdVoice,68387,71
Health Care Voter,Change Now and not authorized by any candidate or candidate’s committee.,68237,85
AFP Action,AFP Action,68059,98
Missouri Democratic Party,Missouri Democratic State Committee,67367,31
Everytown for Gun Safety,Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,66534,654
Ohio Voters in the Know,Ohio Democratic Party,66493,5
Nevada Voting Alerts,the Nevada State Democratic Party not authorized by any candidate or candidate’s committee.,65808,123
Restoration PAC,Restoration PAC,65245,115
Majority Forward,Majority Forward. Not authorized by any candidate or candidate’s committee.,65144,807
4ocean,"4Ocean, LLC",65008,52
Sierra Club,Sierra Club,65005,328
NO on 3,the Coalition to Defeat Question 3,64864,97
Judicial Watch,Judicial Watch,64546,52
Care2,Care2,64256,408
National Domestic Workers Alliance,National Domestic Workers Alliance,63575,258
California Democratic Party,the California Democratic Party,63541,28
The Humane Society of the United States,The Humane Society of the United States,63494,38
When We All Vote,When We All Vote,62037,44
iAmerica Action,United We Can. Not authorized by any candidate or candidate’s committee.,61391,41
Dan McCready for Congress,McCready for Congress,61087,145
FutureinAmerica,Future in America,60584,326
Dishonest Dean Heller,SMP. (202) 871-9255. Not authorized by any candidate or candidate's committee.,60212,118
Erase The Hate,"NBCUniversal Media, LLC",60013,59
Marsy's Law for Florida,Marsy’s Law for Florida,60000,29
Everytown for Florida,Everytown for Gun Safety Victory Fund Florida; not approved by any candidate.,59892,101
Our Lives Our Vote,Our Lives Our Vote,59312,26
Larry Hogan,"Larry Hogan for Governor, R. Christopher Rosenthal, Treasurer",57593,76
35th PAC,Paid for by 35th Inc. Not Authorized by any Candidate or Candidate’s Committee.,57008,174
Solar Energy Today,SOLAR ENERGY TODAY,56214,207
Mic,Mic,56189,57
America First Action,"America First Action, Inc.",55805,899
Nelson for U.S. Senate,Bill Nelson for U.S. Senate,54905,141
New York State Democratic Party,New York State Democratic Committee,54260,12
PragerU,PragerU,52827,125
Fight for $15,United We Can,52749,58
Alliance for a Better Minnesota,Alliance for a Better Minnesota Action Fund,51952,493
Do You Have A Plan To Vote On November 6th?,Kaine for Virginia,49206,67
Ben & Jerry's,Ben & Jerry's,48698,142
ACLU of Florida,"Committee to Advance Constitutional Values, 4343 West Flagler Street, Suite 400, Miami, FL 33134",48689,110
Progress NC Votes,Progress NC Action IE PAC,47970,748
Yes 4 Proposition 4,"Yes 4 Children's Hospitals, Yes on Proposition 4, sponsored by California Children's Hospital Association, committee major funding from Children's Hospital Los Angeles, Valley Children's Hospital, Children's Hospital of Orange County",47392,40
Everytown for Gun Safety,Everytown for Gun Safety Action Fund,46794,157
Faith and Freedom Coalition,The Faith and Freedom Coalition,46630,11
Jacky Rosen for Nevada,Rosen for Nevada,46272,279
End Citizens United,End Citizens United,46035,196
CRTV,CRTV,45599,267
Change California Now,Change California Now,45238,23
Sandy Hook Promise,Sandy Hook Promise,44957,264
Ohio Republican Party,The Ohio Republican Party,44646,5
MomsRising.org,MomsRising Together,44627,205
Be A Hero,Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,44229,46
Democratic Party,the Democratic National Committee,44171,4085
Ricardo Lara,Ricardo Lara for Insurance Commissioner 2018,43871,12
Senior Healthcare Direct,MedicareBob,43592,3
Powerpac GA,PowerPAC Georgia,42481,49
Fred Hubbell,Hubbell for Governor,42248,33
Kansas Values Institute,the Kansas Values Institute,42172,31
People Power,the ACLU,41986,96
Planned Parenthood,Planned Parenthood Federation of America,41597,255
Job Creators Network,Job Creators Network,41577,35
No on Prop 10 - Too Many Flaws,"No on Prop 10 – A Flawed Initiative That Will Make The Housing Crisis Worse, a coalition of housing advocates, renters, large and small businesses, taxpayer groups, and veterans. ID# 1406422",41424,36
Alliance for a Better Minnesota,Alliance for a Better Minnesota Action Fund. Not Coordinated With Or Approved By Any Candidate Nor Is Any Candidate Responsible For It.,41253,1175
Arkansans for a Fair Wage,Arkansans for a Fair Wage,41252,36
Working Michigan,"Working Michigan PAC with regulated funds, 419 Washington Sq. S, Suite 200, Lansing, MI 48933. Not authorized by any candidate or candidate committee.",40915,163
The Humane Farming Association,"Californians Against Cruelty, Cages, and Fraud – No on Prop 12 – Sponsored by Humane Action Fund",40697,19
Ammar Campa for Congress,Ammar Campa-Najjar for Congress.,40619,49
Kate Brown,Kate Brown Committee,40516,323
"Vote for Better Paychecks, Not Dean Heller",UNITE HERE TIP State & Local Fund,40437,4
DefendArizona,Defend Arizona.,40167,46
LCV Victory Fund,LCV Victory Fund,40038,57
Cisneros for Congress,Cisneros for Congress,39752,29
Nuestra Florida,Priorities USA Action and SMP. (302) 469-3772. (202) 871-9255. Not authorized by any candidate or candidate's committee.,39498,147
"Dr. Ed Hernandez, O.D.",Paid for by Dr. Ed Hernandez for California – Lt. Governor 2018,39083,3
Patients For Affordable Drugs Action,Patients For Affordable Drugs Action and not authorized by any candidate or candidate’s committee.,38930,137
Families for Alaska's Future,Families for Alaska's Future,38919,41
Freedom Finance Group,Freedom Finance Group,38738,40
Amy McGrath,Amy McGrath for Congress,38726,236
Working America,Working America,38240,185
Marsy's Law for North Carolina,Marsy’s Law for North Carolina LLC,37574,9
Marsy's Law for Nevada,Marsy’s Law for Nevada LLC,37541,30
Abigail Spanberger,Spanberger for Congress,37459,89
Justice for All - Michigan,Justice for All - Michigan,37167,673
North Dakota Democratic-NPL,North Dakota Democratic-NPL,37147,82
SEIU,SEIU,36863,137
Communications Workers of America,Communications Workers of America Working Voices,36707,112
"I Love You, America",Hulu,36636,18
Samuel Bagenstos for Justice,"Samuel Bagenstos for Justice, 2370 E. Stadium Blvd., No. 310 Ann Arbor, MI  48104",36292,236
Republican Party of Texas,Republican Party of Texas and not authorized by any candidate or candidates committee.,36068,80
Massachusetts Republican Party,the Massachusetts Republican Party,35890,53
Republican State Leadership Committee,the Republican State Leadership Committee,35853,66
For Our Future Ohio,For Our Future (ForOurFuturePAC.org). Not authorized by any candidate or candidate’s committee.,35838,51
Levi's,Levi Strauss & Co.,35412,26
Rauner Failed Me,JB for Governor,35410,28
Our Flag Our Country,News For Democracy,34995,36
Friends of the Earth U.S.,"Friends of the Earth (Action), Inc.",34863,108
American Conservative Union,AMERICAN CONSERVATIVE UNION,34585,74
Dan Patrick,Texans For Dan Patrick,34336,3
NRDC,NRDC,34222,201
Republican Party of Florida,the Republican Party of Florida.  Not authorized by any candidate or candidate's committee.,34086,36
Jon Tester,Montanans for Tester,33994,69
Advisement For Financial Security,Advisement for Financial Security,33853,34
Marsy's Law for Georgia,"Marsy’s Law for Georgia, LLC Henry T Nicholas, Chair",33575,5
Heidi Heitkamp,Heidi for North Dakota,33551,311
Dr. Kim Schrier,Dr. Kim Schrier for Congress,33184,47
Color Of Change PAC,"Color of Change PAC, not authorized by any candidate or candidate’s committee.",33112,49
Richard Cordray,Cordray/Sutton Committee,33064,31
No On 127: Arizonans 4 Affordable Electricity,No AZ Energy Tax,32362,194
Minnesota Values Project,"The DFL House Caucus, 255 E. Plato Blvd, St. Paul, MN 55107.",32232,964
Feeding America,Feeding America,32177,54
Matt Caldwell,"Matt Caldwell, Republican, for Commissioner of Agriculture",31561,16
Change PAC,Change PAC. This message was made independent of any candidate or political party. Top donors are Republican Governors Association. Additional information about Change PAC may be found on the State Elections Enforcement Commission’s Internet website.,31426,4
Texas Democratic Party,the Texas Democratic Party,31345,76
Today's Nation,American Engagement Technologies,31328,30
Finance Watchdogs,Finance Watch Dogs,31219,119
Planned Parenthood Advocates of Ohio,"Planned Parenthood Votes Ohio (206 E. State St. Columbus, OH 43215), and not authorized by any candidate, committee or party.",31115,69
American Federation for Children Action Fund - Wisconsin IE Committee,the American Federation for Children Action Fund - Wisconsin IE Committee,31098,29
Charlie Baker,The Baker Committee,31086,20
Brady PAC,Brady PAC,30936,95
Lauren Underwood for Congress,Lauren Underwood for Congress,30887,148
Marsy's Law for Kentucky,"Marsy’s Law for Kentucky, LLC",30709,9
Progressive Action for America,Paction PAC,30429,126
People For the American Way,People For the American Way,30412,58
Brian Kemp,Kemp for Governor,30330,12
Colorado Rising - YES on 112,Colorado Rising for Health and Safety,30211,81
SmartNews,"SmartNews International, Inc.",30138,604
Kevin McCarthy,Kevin McCarthy for Congress,30029,156
Tim Walz for Governor,Tim Walz for Governor,30000,49
The Motley Fool,These ads ran without a disclaimer,29844,1
Corazon Coqui,News For Democracy,29803,10
Civiqs,Civiqs,29397,225
No on Measure G,No on Measure G: Stop the Oil and Gas Shutdown,29395,186
David Young,"Young for Iowa, Inc.",29211,26
Tom Wolf,Tom Wolf for Governor,28829,14
Bill Schuette is Bad for Healthcare,A Stronger Michigan. Authorized by Gretchen Whitmer.,28829,36
Vamos4PR Action,SEIU 32BJ.,28817,27
Mel Hall,Mel Hall for Congress,28126,37
Colorado Resistance,Coloradans for Fairness,28060,212
Uber,"Uber Technologies, Inc",28021,9
Center for Biological Diversity,Center for Biological Diversity,27943,52
Andrew Janz,Andrew Janz for Congress,27902,37
Marsy's Law for Oklahoma SQ 794,"Marsy’s Law for Oklahoma, LLC, 15 Enterprise, STE 550, Aliso Viejo, CA 92656",27809,12
The Collective PAC,The Collective PAC; not authorized by any candidate or any candidate's committee.,27771,98
Elizabeth Warren,Elizabeth for MA,27740,228
MI Senate Republican Campaign Committee,"Senate Republican Campaign Committee, P.O. Box 12023, Lansing, MI 48901. Not authorized by any candidate or candidate’s committee.",27549,13
Planned Parenthood Texas Votes,Planned Parenthood Texas Votes,27396,21
Pure West Virginia,SMP. (202) 871-9255. Not authorized by any candidate or candidate's committee.,27225,21
Progress News Network,Progress News Network,27023,15
Martha McSally,"McSally For Senate, Inc.",27004,35
National Horizon Action,National Horizon. Not authorized by any candidate or candidate's committee.,26905,79
Duty & Country,Duty and Country. Not authorized by any candidate or candidate's committee.,26712,10
Florida Conservation Voters,"Florida Conservation Voters Action Fund, 1700 N. Monroe St., #11-286, Tallahassee, FL 32303 independently of any candidate.  Not approved by any candidate.",26711,20
Mike Bloomberg,Independence USA. Not authorized by any candidate or candidate's committee.,26660,3
Mike Braun,Mike Braun for Indiana,26592,41
Arizonans Vote,"the Arizona Democratic Party. Not authorized by any candidate or candidate's committee. 2910 N Central Ave, Phoenix AZ, 85012.",26528,13
Healthy Montana Campaign,"Healthy Montana, Dr. Steven Bailey, Treasurer, PO Box 1614, Helena, MT 59624",26455,245
Progress Michigan,Progress Michigan,26410,3322
Elect Karl Dean,Karl Dean for Governor,26392,23
Joe Donnelly,Donnelly for Indiana,26333,49
Democratic Senatorial Campaign Committee (DSCC),the DSCC,26297,152
Oregon League of Conservation Voters,and authorized by OLCV PAC,26210,2
John James,"John James for Senate, inc.",26169,292
Michigan Republican Party,"Michigan Republican Party Not authorized by any candidate or candidates committee. 520 Seymour Ave. Lansing, MI 48933",26154,10
United States Constitution,Keep and Bear,26079,133
NO on 105,Oregonians United Against Profiling,26067,28
Amnesty International USA,Amnesty International USA,25855,238
NC House Republicans,North Carolina Republican Party,25781,23
The Leadership Conference on Civil and Human Rights,The Leadership Conference Education Fund,25747,45
"We Support Buffy Wicks for Assembly: Progressive, Proven Leadership","Coalition for East Bay Health Care Access, Affordable Housing And Quality Public Schools, Supporting Buffy Wicks For Assembly 2018",25686,15
Planned Parenthood Action,Planned Parenthood Action Fund.,25181,175
UAW International Union,"the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW).  Not authorized by any candidate.",25152,195
Latino Victory,Latino Victory and not authorized by any candidate or candidate committee,25070,16
Yes on One,Ohio Safe & Healthy Communities Campaign,24968,868
Brian 'BAM' McClendon,"Brian McClendon for Kansas Committee, Sandy Praeger, Treasurer.",24726,38
Learn Our History,Learn Our History,24674,144
MasterClass,MasterClass,24615,133
Rebuild Maine,Rebuild Maine PAC,24486,42
North Carolina Democratic Party,North Carolina Democratic Party. Not authorized by any candidate or candidate's committee.,24367,170
The Voter Participation Center,the Voter Participation Center,24338,39
Freedom for All Massachusetts,Freedom for All Massachusetts,24317,38
Congressional Leadership Fund,Congressional Leadership Fund,24303,130
Coloradans for Fairness,Coloradans for Fairness,24261,249
Moms Power Elections,"MomsRising Together, 3717 Boston St #374, Baltimore, MD, 21224, not authorized by any candidate or candidate’s committee.",24214,86
Humane Society Legislative Fund,Humane Society Legislative Fund,24194,23
No On Measure J,"No on Measure J, Sponsored by California American Water.",24170,74
Ohio Newswire,Cordray/Sutton Committee,24099,15
AT&T,These ads ran without a disclaimer,23903,62
No Prop 8 - Stop the Dangerous Dialysis Prop,No A La Propuesta 8,23808,16
Vote NO on 5,"FLORIDIANS FOR TAX FAIRNESS, 2633 CENTENNIAL BOULEVARD #200, TALLAHASSEE, FL 32308",23797,408
PAC+,"PowerPACPlus, not authorized by any candidate or candidate's committee",23760,18
Everytown for Lucy McBath,Everytown for Gun Safety Victory Fund and not authorized by any candidate or candidate’s committee,23732,78
New Hampshire Republican State Committee,New Hampshire Republican State Committee,23703,34
Securing Ohio,"Securing Ohios Future, INC.",23612,10
Dean Heller,Heller for Senate,23588,27
Giffords,Giffords PAC,23477,74
Dr. Knute Buehler,Knute for Governor.,23294,117
New York Republican State Committee,THE NEW YORK REPUBLICAN STATE COMMITTEE,23133,12
Jared Polis,Polis for Colorado,23051,59
Just Vote No On 13,Say No to 13,23010,31
Mikie Sherrill,Mikie Sherrill for Congress,22688,33
Susie Lee,Susie Lee for Congress,22586,187
KateSquad,Our Oregon,22583,28
NY Health Care Voter,1199SEIU Federal Political Action Fund,22382,11
HIAS,HIAS,22372,328
Sherrod Brown,Friends of Sherrod Brown,22358,32
Maryland Matt Rosendale,SMP. Not authorized by any candidate or candidate's committee.,22250,60
Arizona Democratic Legislative Campaign Committee,"Arizona Democratic Legislative Campaign Committee, a project of the Arizona Democratic Party. Not authorized by any candidate or candidates campaign committee.",22105,570
EZ Insure,"Benepath, Inc.",22050,6
Fight For Reform,End Citizens United Nonfederal. Not authorized by any candidate or candidate’s agent or committee.,21967,83
PLAN Action Fund,Community Change Voters,21905,27
ATTN:,ATTN:,21871,8
Choose Me Not 3,"Citizens for Truth About Amendment 3, Inc., 610 S. Boulevard, Tampa, FL 33606",21830,20
Michael Knowles,Daily Wire,21829,102
Gretchen Whitmer: She's tough. She's Tested.,A Stronger Michigan. Authorized by Gretchen Whitmer.,21817,60
Kim Reynolds,The Kim Reynolds For Iowa Committee,21652,6
American AF,"AAF Nation, LLC",21582,95
New York Working Families Party,Working Families Party,21497,146
Wrong for Us,the NRCC and not authorized by any candidate or candidate's committee.,21396,66
Bob Casey,Bob Casey for Senate,21352,22
The Nature Conservancy,The Nature Conservancy,21335,44
Dissent Pins,Dissent Pins,21288,60
Ocean Conservancy,Ocean Conservancy,21169,2005
CFGA Montana,CFG Action Montana,20960,47
Working Families Party,Working Families Party,20861,136
NO a la 3,la Coalición para derrotar La Pregunta 3,20808,12
Income Loopholes,Money Map Press,20771,48
Indivisible Guide,Indivisible Project and not authorized by any candidate or candidate's committee.,20585,40
Yes on 74 - Committee for Colorado’s Shared Heritage,Committee for Colorado's Shared Heritage,20554,5
Winning For Women,"Winning For Women, Inc.",20488,185
The Trump-McSally Agenda,Sinema for Arizona,20451,52
United Food and Commercial Workers International Union,"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION WORKING FAMILIES ADVOCACY PROJECT, 1775 K STREET, NW, WASHINGTON, DC 20006. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",20393,591
Jeff Denham,Denham for Congress. Approved by Jeff Denham.,20250,22
Brian Fitzpatrick,Brian Fitzpatrick for Congress,20056,19
"Every Child, Every Classroom, Every School",EdVoice,19995,7
Kirsten Gillibrand,Gillibrand for Senate,19930,177
Oklahomans Against 793,Oklahomans Against SQ 793,19925,15
California Deserves Innovative Public Schools,EdVoice,19922,7
Home Ownership Matters,the National Association of REALTORS®,19854,91
North Dakota Republican Party,The North Dakota Republican Party,19828,24
Andy Kim for Congress,Andy Kim for Congress,19741,75
Tish James,James for NY,19690,128
West Virginia Republican Party,West Virginia Republican Party.  Not authorized by any candidate or candidate's committee.,19641,2
Minnesota Values,SMP. (202) 871-9255. Not authorized by any candidate or candidate's committee.,19592,13
Jay Gonzalez for Governor,The Gonzalez Committee,19481,455
BOLD PAC,CHC BOLD PAC,19470,18
Montana True,SMP. (202) 871-9255. Not authorized by any candidate or candidate's committee,19453,18
Michigan Families for Economic Prosperity,Change Now and not authorized by any candidate or candidate’s committee.,19326,40
Michigan Democratic Party,the Michigan Democratic State Central Committee. Authorized by Stabenow for U.S. Senate.,19238,9
Clean Arizona Corporation Commission,Chispa AZ PAC. Major funding by LCV Victory Fund and Clean Energy for a Healthy Arizona Committee. Not authorized by any candidate.,19102,53
Public Voting Record,Public Voting Record,19017,4
With Honor,"With Honor Fund, Inc.",18995,26
Scholten4Iowa,Scholten4Iowa Campaign Committee,18974,29
National Democratic Training Committee,the National Democratic Training Committee,18974,53
Florida House Victory,Florida Democratic Party,18953,8
Rodney Glassman,GLASSMAN FOR CORPORATION COMMISSION,18871,33
Proud Right Winger,Proud Right Winger,18808,490
Americans for Freedom LC,"Americans for Freedom LC, Not authorized by any candidate or committee",18721,12
Jeff Merkley,Jeff Merkley for Oregon,18671,739
Clean Missouri,Clean Missouri,18660,28
Bruce Rauner,"Citizens for Rauner, Inc.",18639,51
"I'll go ahead and keep my guns, Thanks",2A4LIFELLC,18577,24
Justin Nelson,Nelson for Texas,18429,29
DAGA Ohio People's Lawyer Project,DAGA People's Lawyer Project,18419,2
Randy Hultgren,Randy Hultgren for Congress,18376,32
Mike Espy,Mike Espy for Senate Committee,18267,57
Carl DeMaio,Reform California,18257,33
Jessica Morse,Jessica Morse for Congress,18210,7
Save Animals Facing Extinction,Save Animals Facing Extinction,18152,48
MyRoar,"Winning for Women, Inc.",18119,91
Jewish Democratic Council of America,Jewish Democratic Council of America,18098,202
"Walker Stapleton: Wasteful, Incompetent","Good Jobs Colorado; Donna Johnson, Registered Agent; Not Authorized by Any Candidate",18008,12
Instant HealthQuotes,Instant HealthQuotes,18000,8
Cheddar,Cheddar,17993,17
Heritage Action for America,Heritage Action for America and not authorized by any candidate or candidate’s committee,17969,73
Josh Gottheimer for Congress,Josh Gottheimer for Congress,17957,55
Chad Benson Show,Chad Benson,17946,442
PAC for a Change,PAC For A Change. Not authorized by any candidate or candidate's committee.,17945,59
Conservative Gear,Conservative Gear,17871,620
Scott Walker,Friends of Scott Walker,17797,10
Democratic Climate Action,the Democratic Governors Association,17687,10
Minnesota Votes,End Citizens United. Not authorized by any candidate or candidate’s committee.,17617,30
CARE,CARE,17606,114
Patagonia,Patagonia,17516,34
Republican State Leadership Committee,Republican State Leadership Committee,17461,9
We The People Holsters,WeThePeopleHolsters,17440,173
Voz Boricua,News For Democracy,17400,7
No On Prop 5,"No on Prop 5, Sponsored by Educators, Public Safety, Health Care and Local Government Organizations. Committee major funding from SEIU California State Council, California Teachers Association, and American Federation of State, County and Municipal Employees.",17154,52
Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez 2018,17137,116
Joe Kennedy III,Joe Kennedy for Congress.,17116,604
NC for the Future,EDF Action,17097,28
Congressman Peter King,Pete King for Congress.,17050,51
Heifer International,Heifer International,17029,620
Washington State Democratic Party,Washington State Democratic Party,16966,31
Indivisible Guide,Indivisible Project,16957,72
Stand Up for Ohio,Stand Up for Ohio,16883,9
Stop Deceptive Amendments,Stop Deceptive Amendments,16789,8
Yes On 10,AIDS Healthcare Foundation,16762,9
Gretchen Whitmer,Gretchen Whitmer for Governor,16753,21
Nelson for U.S. Senate,DSCC and Bill Nelson for Senate,16739,2
Vote No Arizona,Vote No Arizona with major funding from Grand Canyon State Electric Cooperative Association.,16586,13
Antonio Delgado,Delgado for Congress,16578,60
Democratic Party of Georgia,the Democratic Party of Georgia.,16568,15
Grunt Style,Grunt Style,16376,31
Alertas de Nevada Para Votar,the Nevada State Democratic Party not authorized by any candidate or candidate’s committee.,16345,44
Maryland State Education Association,the Maryland State Education Association,16229,94
YES on C - Our City Our Home SF,"Our City, Our Home 2018, Yes on C",16192,60
Raise Up Missouri,Raise Up Missouri,16170,10
Anthony Brindisi For Congress,Brindisi for Congress,16098,53
AFT - American Federation of Teachers,American Federation of Teachers,16055,156
AFT - American Federation of Teachers,"AFT - American Federation of Teachers, not authorized by any candidate or candidates committee.",16029,18
U.S. Chamber of Commerce,U.S. Chamber of Commerce,15995,89
ACLU of Northern California,ACLU of Northern California,15931,358
Americans for Prosperity - North Carolina,Americans for Prosperity,15923,31
Henry McMaster,McMaster for Governor,15875,30
New Mexico’s 2nd Congressional District - Get the Facts,"WOMEN VOTE!, 855-667-5900. Not authorized by any candidate or candidate's committee.",15866,50
FAIR,Federation for American Immigration Reform,15788,14
New Hampshire Democratic Party,New Hampshire Democratic Party,15750,39
Citizens United Political Victory Fund,Citizens United Political Victory Fund. Not authorized by any candidate or candidate's committee.,15730,4
Millionaire Claire,Senate Leadership Fund,15680,16
Cory Booker,Cory Booker for Senate,15657,20
Scott Taylor,Scott Taylor for US Congress,15647,18
Susan B. Anthony List,Women Speak Out PAC,15489,18
"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,15486,36
Maine Matters,Priorities USA Action. Not paid for or authorized by any candidate.,15442,32
National Security Action,National Security Action,15405,337
Noble Energy Colorado,Noble Energy,15360,13
Bridge Project,American Bridge 21st Century PAC,15321,28
Dale Kooyenga - Wisconsin Values,State Government Leadership Foundation,15208,8
Morrisey's Record,SMP. (202) 871-9255. Not authorized by any candidate or candidate's committee.,15206,74
Ending Spending Action Fund,ESAFund and not authorized by any candidate or candidate's committee.,15168,34
