Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Environmental Working Group,the Environmental Working Group,4864,81
Jeff Merkley,Jeff Merkley for Oregon,4859,403
SELC,The Southern Environmental Law Center,4800,35
Seventh Generation,Seventh Generation,4783,3
The BL,The Beauty of Life,4753,34
Proud Right Winger,Proud Right Winger,4752,178
Ben Shapiro,Daily Wire,4749,57
Building New York's Best,Building New York's Best,4712,34
Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),4692,31
Patriot News Alerts,Patriot News Alerts,4657,9
The Fighting Forces,The Fighting Forces,4634,245
Mercy Corps,Mercy Corps,4614,31
Conservative Gear,Conservative Gear,4610,51
I Love My Freedom,I Love My Freedom,4570,106
Chad Benson Show,Chad Benson,4532,203
Congressional Black Caucus PAC (CBC PAC),Congressional Black Caucus PAC,4462,4
Family Protection Association,The Family Protection Association,4454,29
Save the Storks,Save The Storks,4450,13
The Jim Jefferies Show,Comedy Central,4445,16
Association of Young Americans,Association of Young Americans,4381,109
Solar Programs In Ca Counties,Solar Programs In Ca Counties,4374,50
Naked Turtle White Rum,Diageo,4369,2
SmartNews,"SmartNews International, Inc.",4361,383
Newest Gadgets,These ads ran without a disclaimer,4347,28
PETA (People for the Ethical Treatment of Animals),PETA,4346,116
Generation 180,Generation 180,4282,24
PrintedKicks,PrintedKicks,4253,128
Trenton Don't Touch My Insurance Rates,Trenton Don’t Touch My Insurance,4238,29
NumbersUSA,NumbersUSA,4200,1
Plan International USA,Plan International USA,4196,43
Greg Laurie,Harvest Christian Fellowship,4195,3
National Park Foundation,National Park Foundation,4173,189
Kialo,Kialo,4114,26
Stanford Health Care,Stanford Health Care,4111,21
Energy In Depth,Energy in Depth,4106,4
Clean Ocean Movement,Clean Ocean Movement,4031,2
Center for Union Facts,Center for Union Facts,4023,2
Turning Point USA,Turning Point USA,3988,119
Mapp-Potter,Friends of Ken Mapp,3946,34
Bill Gates,Bill Gates,3926,22
IFAW,International Fund for Animal Welfare,3880,57
Everyone in LA,United Way of Greater L.A.,3848,16
Institute for Veterans and Military Families - IVMF,The Institute for Veterans and Military Families,3832,2
Patagonia,Patagonia,3822,25
President Donald Trump Fan Club,I Love My Freedom,3820,13
Truth About ADF,Friends of Truth About ADF,3778,6
Earth Tomorrow,Earth Tomorrow Inc,3771,27
People United for Privacy,People United for Privacy,3760,8
Ana Hernandez for Texas Senate,the Ana Hernandez Campaign,3750,4
PATH,"PATH, a global non-profit organization.",3741,3
Out2Enroll,Out 2 Enroll,3729,42
Compassion in World Farming (USA),CIWF,3703,12
Kirsten Gillibrand,Gillibrand for Senate,3663,56
Facing History and Ourselves,Facing History and Ourselves,3652,55
International Planned Parenthood Federation/Western Hemisphere Region,International Planned Parenthood Federation/Western Hemisphere Region,3651,16
GreaterHalf.com,Greater Half,3636,110
Your Energy,American Gas Association,3598,28
Save the Storks,Save the Storks,3590,18
National Partnership for Women & Families,National Partnership for Women & Families,3563,34
APWU - The American Postal Workers Union,These ads ran without a disclaimer,3560,9
Smarter Faster,Axios Partner,3532,15
NICA - National Infusion Center Association,National Infusion Center Association,3529,125
Strong Women Society,"Sky Took, LLC",3521,130
PepsiCo Recycling,PepsiCo Recycling,3500,4
Make Penny Stocks Great Again,Link Media,3486,2
Senator Ron Wyden,Wyden for Senate.,3480,134
Hearing Loss Association,Hearing Loss Association,3419,35
Ben & Jerry's,Ben & Jerry's,3382,40
Trusted Conservative,Liberty Digest,3351,6
Minnesota Ag-Energy Alliance,Minnesota Ag Energy Alliance,3349,6
Texas Oil and Gas Association,Texas Oil and Gas Association,3325,128
Dr. Robert Jeffress,Pathway to Victory,3310,9
FreightWaves,FreightWaves,3308,9
Home Ownership Matters,the National Association of REALTORS®,3305,6
TisBest Philanthropy,TisBest,3297,1
Fight Back,Fight Back Fund,3281,11
"Imprimis, a Publication of Hillsdale College",Hillsdale College,3225,28
Topic,Topic,3222,32
Open Doors USA,Open Doors USA,3184,18
Nine Line Apparel,Nine Line Apparel,3122,45
Israeli American Council - IAC,Israeli American Council (IAC),3120,38
U.S. Chamber of Commerce,U.S. Chamber of Commerce,3120,3
CBN News,"The Christian Broadcasting Network, Inc.",3117,78
We Won't Be Silenced,Kettner Law,3112,8
Michigan Talent Investment Agency,Michigan Talent Investment Agency,3099,11
Crime Survivors for Safety and Justice,Alliance for Safety and Justice,3084,19
ASMDSS,"ASMDSS, Inc",3064,42
Free Together,State Policy Network,3060,5
Ohio Education Association,Ohio Education Association,3035,9
Sherrod Brown,Friends of Sherrod Brown,3020,21
Military Officers Association of America (MOAA),Military Officers Association of America (MOAA),3015,15
Home Improvement Deals,Home Improvement Deal,3012,49
Indivisible Guide,Indivisible Project,3004,40
Wildlife Conservation Society,WCS,2986,48
Premier Health,Premier Health,2976,5
Progressive Impact,Brigade,2975,3
Brady Campaign,The Brady Campaign,2974,74
Yosemite Conservancy,Yosemite Conservancy,2972,48
Power Past Impossible,Power Past Impossible,2964,64
NYC Mayor's Office,the City of New York.,2936,16
Smartwool,Smartwool,2933,14
Keep and Bear,Keep and Bear,2929,19
The BL TV,The Beauty of Life,2923,19
Care Net,Care Net,2909,26
Marsy's Law for Wisconsin,"Marsy’s Law for Wisconsin, LLC",2894,4
ARISE,ARISE,2888,1
Warrior 12,Warrior 12,2864,27
St. Martin's Press,St. Martin's Press,2829,6
Headline Shirts,Headline Shirts,2820,49
National Geographic Society,National Geographic Society,2804,48
Conservative Corps,Brigade,2800,2
PolicyEd,Hoover Institution,2795,35
Earthjustice,Earthjustice,2792,10
Brad Raffensperger,The Candidate,2792,2
Consumer Technology Association (CTA),Consumer Technology Association,2791,4
Pelican Institute for Public Policy,Pelican Institute for Public Policy,2773,3
Happy Earth Apparel,Happy Earth,2744,6
Young America's Foundation,Young America's Foundation,2729,52
Conservation Minnesota,Conservation Minnesota,2728,5
Eric Bolling,CRTV,2727,22
Jane Velez-Mitchell,Jane Velez-Mitchell,2715,12
Ro Khanna,Ro for Congress,2688,24
Klean Kanteen,Klean Kanteen,2686,29
SimonBooks,Simon & Schuster,2670,3
Pennsylvania State Treasurer Joe Torsella,Pennsylvania Taxpayers Dollars,2641,9
Wind Solar Alliance,The Wind Energy Foundation,2639,3
Joe Kennedy III,Joe Kennedy for Congress.,2630,338
Bird + Stone,Bird + Stone,2600,15
Wholesome Culture,These ads ran without a disclaimer,2594,25
Greenpeace USA,Greenpeace USA,2564,48
The News and Why It Matters,TheBlaze,2556,92
Daily Kos,Kos Media LLC.,2553,59
Marsy's Law for Idaho,"Marsy's Law for Idaho, L.L.C",2528,14
Tillamook,These ads ran without a disclaimer,2523,1
AMERIPAC,AMERIPAC,2505,1
Melinda Gates,Melinda Gates,2500,2
"Access Reproductive Care-Southeast, Inc.","Access Reproductive Care-Southeast, Inc.",2497,33
Energy Transfer,Energy Transfer,2472,4
All I want is Christmas,These ads ran without a disclaimer,2456,31
Stop The HIT,Stop The HIT Coalition,2445,24
North Dakotans for Comprehensive Energy Solutions,North Dakotans for Comprehensive Energy Solutions,2437,4
NowThis Her,Planned Parenthood,2382,9
National Wildlife Federation,National Wildlife Federation,2380,7
Providence St. Joseph Health,Providence St Joseph Health,2374,16
CharterStrong,New Jersey Charter Schools Association,2357,16
Concerned Women For America LAC,CONCERNED WOMEN FOR AMERICA,2356,25
Smart Health Choice,Smart Health Choice,2354,29
ABC15 Arizona,ABC15 Arizona,2347,10
Marsy's Law for Pennsylvania,"Marsy’s Law for Pennsylvania, LLC",2340,8
Mayor Bill de Blasio,the City of New York,2337,8
Vera Institute of Justice,Vera Institute of Justice (501c3),2334,27
First Lady Chirlane McCray,the City of New York,2309,7
Campaign for Sustainable Rx Pricing,the Campaign for Sustainable Rx Pricing,2295,40
702 Gifts,GearBubble LLC,2265,43
Live Action,Live Action,2262,28
Texans for Natural Gas,Texans for Natural Gas,2255,76
Consumer Energy Alliance,Consumer Energy Alliance,2254,349
Better Care for Florida,Better Care for Florida,2251,4
Blue Cross NC,Blue Cross NC,2237,6
Stand Up America,Stand Up America,2233,693
The Commonwealth Fund,"The Commonwealth Fund, a nonpartisan organization",2230,15
LG&E and KU,LG&E and KU,2227,3
Human Rights Watch,Human Rights Watch,2218,263
NO New Oklahoma TAXES,No New Oklahoma Taxes,2216,3
National Loan Advisors,National Loan Programs,2215,14
Convention of States,Convention of States Action,2213,20
Virginians for Better Transportation,the Virginia Transportation Construction Alliance,2213,5
SEIU Local 2015,SEIU Local 2015,2209,7
Elizabeth Dole Foundation,the Elizabeth Dole Foundation,2209,7
Jobs for Minnesotans,Jobs for Minnesotans,2203,18
GreaterGood.org,GreaterGood,2198,3
Barasch & McGarry - Lawyers For The 9/11 Community,These ads ran without a disclaimer,2174,1
African Wildlife Foundation,African Wildlife Foundation,2171,100
Indiana Commission for Higher Education,Indiana Commission for Higher Education,2163,7
The Tylt,The Tylt,2159,1
Mercy For Animals,Mercy For Animals,2151,113
State Representative Carol Alvarado,the Carol Alvarado Campaign,2132,8
County Solar Program,County Solar Programs,2132,55
AMA Patients Action Network,American Medical Association,2130,17
Rocket Mortgage by Quicken Loans,These ads ran without a disclaimer,2128,3
"Main Street Law Firm, PLLC","Main Street Law Firm, PLLC",2122,4
Pfizer,Pfizer,2120,7
Brigade,Brigade,2100,3
EmblemHealth,EmblemHealth,2086,8
Catholic Charities of New York,Catholic Charities Archdiocese of New York,2083,6
CREDO Energy,"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, CREDO Mobile, Inc.",2075,41
Conservative Christmas,Conservative Christmas,2068,20
The BL Stories,The Beauty of Life,2065,9
WorkingNation,WorkingNation,2058,3
Lincoln Land Wind,Lincoln Land Wind,2047,40
AARP AAPI Community,AARP,2025,3
AFT - American Federation of Teachers,American Federation of Teachers,2000,2
AMVETS Thrift Stores,AMVETS National Service Foundation,2000,3
Alliance for Climate Education,Alliance for Climate Education,2000,6
Chesapeake Bay Foundation,Chesapeake Bay Foundation,1981,18
Seeker,Seeker,1973,4
Dallas Safari Club,DSC Foundation,1971,3
Charlie Kirk,Charlie Kirk,1963,13
Aspen Snowmass,Aspen Snowmass,1955,26
Shawnee Mission Health,Shawnee Mission Health,1947,8
Til Valhalla Project,Til Valhalla Project,1946,50
"Important, Not Important","Important, Not Important LLC",1946,29
Progressive Policy Institute,Progressive Policy Institute,1945,8
Collaborative for Student Success,Collaborative for Student Success,1941,3
MasterClass,MasterClass,1939,35
Jefferson County Teachers Association (JCTA),Jefferson County Teachers Association,1938,20
Liberty Watch Magazine,Liberty Watch Magazine,1919,3
Forward Together,Forward Together,1908,12
Oh Politics,OhPolitics Etsy Store,1904,75
Home Professionals,Home Professionals,1892,1076
ReThink Energy NJ,ReThink Energy New Jersey,1889,45
The Palestine Institute for Public Diplomacy,The Palestine Institute for Public Diplomacy,1887,68
Save the Children Action Network,Save the Children Action Network,1873,20
Patients For Affordable Drugs NOW,Patients for Affordable Drugs NOW,1869,52
NRA Women,NRA Women,1857,18
Protect Our Workers' Earned Retirement Coalition,Protect Our Workers Earned Retirement,1853,10
BESE,BESE,1851,13
Mississippi Republican Party,the Mississippi Republican Party. Not authorized by a candidate or candidate committee.,1850,5
Michigan Wildlife Council,Michigan Wildlife Council,1847,18
DiversityInc,"DiversityInc Media, LLC",1839,41
Toad&Co,Toad&Co,1831,31
12 News,12 News,1831,9
forestproud,#forestproud,1829,102
Make HIM Great,Spiritual Endeavors LLC,1826,50
The Nature Conservancy in WA,The Nature Conservancy,1817,34
On Your 6 Designs,On Your 6 Designs,1799,5
Curzio Research,Curzio Research,1799,12
Conservative Tribune,Conservative Tribune,1794,40
Mejores ofertas solares,Mejores ofertas solares,1788,18
Congress of Tomorrow,Democracy Fund Voice.,1785,10
San Francisco-Marin Food Bank,San Francisco-Marin Food Bank,1777,4
Friends of Mike Dickinson,Committee To Elect Mike Dickinson,1774,4
Home Energy Guide,Home Energy Guide,1769,187
GOP World,GOP Gifts,1767,29
AACR Foundation,The American Association for Cancer Research (AACR),1749,15
Operation Smile,Operation Smile,1748,16
Civiqs,Civiqs,1744,176
Paycheckology,Paycheckology,1743,6
War Against Racism,War Against Racism,1740,4
National Veteran Loan Programs,National Veteran Programs,1729,24
Build Gateway Coalition,Regional Plan Association,1722,6
Manhattan Neighborhood Network - MNN,Manhattan Neighborhood Network,1704,12
Save Our Air Medical Resources,Save Our Air Medical Resources,1697,12
Washington Conservation Voters,Washington Conservation Voters,1690,12
Trump Care 2019,SIVA Marketing,1681,2
Alliance & Associates,These ads ran without a disclaimer,1676,6
Ed Markey,The Markey Committee,1670,12
Mighty Earth,Mighty Earth,1650,24
Freethink,Freethink Media,1647,6
Sunrise Movement,Sunrise PAC,1646,3
Alzheimer's Association - Northern California and Northern Nevada,Alzheimer's Association,1645,23
Open The Books,OpenTheBooks,1635,47
"Zito Media - High Speed Internet, Digital Cable TV, & Digital Voice","Zito Media. We are a Cable, Phone and Internet Provider. Pricing, equipment availability, services available, and internet speeds vary based on location.",1632,52
Donald Trump For President 2020,Donald Trump Collectables,1631,17
Silicon Valley Rising,Silicon Valley Rising,1628,4
The Patriotic Mint,Patriotic Mint Inc.,1624,5
Independent Voter,IVN News,1612,16
Solar Programs In AZ Counties,Solar Programs In AZ Counties,1610,40
Olivela,Olivela,1607,22
Right Now USA Superpac,Right Now USA,1601,2
Student Education Center,These ads ran without a disclaimer,1599,1
Innocence Project,The Innocence Project,1594,44
Educated Earthling,Educated Earthling,1592,41
The Beer Institute,The Beer Institute,1591,14
Road to Repair,ELEC825,1584,2
Mic Dispatch,Mic,1580,3
Team Trump,Trump Make America Great Again Committee,1572,100
Conversations with Bill Kristol,the Foundation for Constitutional Government,1572,57
Clarion Project,Clarion Project,1566,9
Coalition for Medicare Choices,The Coalition for Medicare Choices,1559,7
CREDO Mobile,"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.",1531,166
Paris to Pittsburgh,Bloomberg Philanthropies,1531,4
Flippable,Flippable,1522,41
Modernize Texas Spirits,The Distilled Spirits Council,1521,19
EMILY's List,EMILY's List,1519,50
Airport Workers United,Service Employees International Union,1515,4
Our Health Oregon,Our Health Oregon,1513,4
Construimos,Construimos,1506,7
Aaron P. Bean,"Aaron Bean, Republican, for State Senate",1500,3
Oklahoma Health Action,OK Health Action,1491,5
Carnegie Institution for Science,Carnegie Institution for Science,1490,19
Reclaim NY Now,RNY Initiative,1488,16
Build With Strength,Build With Strength,1480,18
Hope for America,These ads ran without a disclaimer,1476,2
POET,POET.,1470,5
Oregon Forests Forever,Paid for by Oregon Forests Forever,1454,5
Blumenthal Performing Arts,Blumenthal Performing Arts,1451,9
ReBuild USA,ReBuild USA,1446,4
National Automobile Dealers Association,National Automobile Dealers Association,1439,1
8 Billion Trees,8BillionTrees Inc,1438,15
South Dakotans for Comprehensive Energy Solutions,South Dakotans for Comprehensive Energy Solutions,1428,2
Mercedes Monitor,Mercedes Monitor,1426,20
Free Press Action Fund,Free Press Action Fund,1423,3
Shen Yun,These ads ran without a disclaimer,1418,3
The Western Journal,The Western Journal,1417,56
No Labels,No Labels. Not Authorized by Any Candidate or Candidate Committee.,1416,74
Restore Public Trust,Restore Public Trust,1410,2
Theodore Roosevelt Conservation Partnership,the Theodore Roosevelt Conservation Partnership,1410,81
DiversityInc,Diversity Incorporated,1407,16
Congressman Buddy Carter,by the Office of Congressman Buddy Carter,1407,4
Choice Regional Health Network,CHOICE Regional Health Network,1404,7
Hearing Aid News,Hearing Aid News,1400,8
Need To Impeach,Tom Steyer,1400,1
Puerto Rico Securities Lawsuits,"Levin, Papantonio, Thomas, Mitchell, Rafferty & Proctor, P.A",1398,2
No Nuke Bailout,Citizens Against Nuclear Bailouts,1395,10
Women NYC,Women.NYC,1392,13
truTV,truTV,1389,3
Look Again,LAPD foundation & Look Again LA,1388,4
Leadership Institute,Leadership Institute,1383,21
World Animal Protection USA,World Animal Protection,1380,35
No Gay No Way,No Gay No Way,1377,3
OneUnited Bank,OneUnited Bank,1374,23
Compassion & Choices - New Jersey,Compassion and Choices New Jersey,1363,24
Klamath River Renewal Corporation,Klamath River Renewal Corporation,1362,5
National Union of Healthcare Workers,National Union of Healthcare Workers,1356,3
Gery Chico,Gery Chico for Mayor,1350,5
Stretch The Truth,Stretch The Truth,1346,24
Outrider Foundation,Outrider Foundation,1341,12
League of Conservation Voters,League of Conservation Voters,1336,5
Americans for Responsible Technology,Americans for Responsible Technology,1330,36
Tetra Pak - USA,Tetra Pak,1323,7
Hillsdale College Online Courses,Hillsdale College,1323,18
National Audubon Society,National Audubon Society,1314,20
Protect the Granite State,Protect the Granite State,1312,3
Monterey Bay Aquarium,Monterey Bay Aquarium,1311,15
Dysfunctional Veterans,Titon Marketing,1305,8
45th President Donald J. Trump,OuterGoods LLC,1299,84
Investineducation,Indiana State Teachers Association,1293,19
Young Invincibles,Young Invincibles,1293,6
Stand with Parkland,Stand With Parkland,1292,38
WhyHunger,WhyHunger,1288,46
Grow Louisiana Coalition,Grow Louisiana Coalition,1287,26
TIDAL,Tidal,1277,6
PBS Books,PBS and the Knight Foundation,1275,16
The Atlas Society,The Atlas Society,1268,25
Doris Day Animal Foundation (DDAF),Doris Day Animal Foundation,1267,1
Commonwise,Commonwise,1266,133
ACLJ,American Center for Law and Justice,1262,1
United to End Homelessness,United to End Homelessness,1255,90
Andrew Wilkow,CRTV,1253,30
Oregon Energy Savings,Oregon Energy Savings,1248,2
Louisiana Chemical Association,the Louisiana Chemical Association,1247,22
Climate Reality,The Climate Reality Project,1246,26
MoveOn,MoveOn.org Civic Action.,1244,231
Adam Schiff,Adam Schiff for Congress,1243,18
Oklahomans For Energy Options,American Policy Advocates,1239,4
Publicsquare.net,Public Square Net,1237,8
Hello Resistance,Hello Resistance,1237,7
Spectrum News NY1,Spectrum News,1231,24
Kansas State Treasurer Jake LaTurner,Kansas State Treasurer Jake LaTurner,1231,2
Axios,Axios,1230,10
Kansans for Energy Options,American Policy Advocates,1228,4
Citizens for Tobacco Rights,Citizens for Tobacco Rights,1225,4
Peter G. Peterson Foundation,Peter G. Peterson Foundation,1221,14
CHNGE,CHNGE,1221,10
