Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Ben Ferguson,Ben Ferguson Show,10598,19
Mercy Corps,Mercy Corps,10345,93
Compassion in World Farming (USA),CIWF,10299,29
Oceana,Oceana,10264,202
45 Hats,45 Hats,10226,177
Everytown for Gun Safety,Everytown for Gun Safety Action Fund,10120,83
Minnesotans for Line 3,Minnesotans for Line 3,9871,17
National Democratic Training Committee,the National Democratic Training Committee,9785,14
Union of Concerned Scientists,Union of Concerned Scientists,9652,46
The BL TV,The Beauty of Life,9578,61
NO New Oklahoma TAXES,No New Oklahoma Taxes,9332,5
United States Constitution,Keep and Bear,9307,64
Yosemite Conservancy,Yosemite Conservancy,9289,131
Women for Trump,Proud Right Winger,9137,89
We The People Holsters,WeThePeopleHolsters,9096,10
Cheddar,Cheddar,8862,5
Ben Shapiro,Daily Wire,8861,71
Friends of the Earth U.S.,Friends of the Earth,8816,94
Coalition to Protect America's Health Care,Coalition to Protect America's Health Care,8727,18
Federal Student Aid,U.S. Department of Education,8710,37
Thrasher Coffee,Thrasher Coffee,8679,41
Enbridge Line 3,Enbridge Line 3,8645,6
iAmerica Action,iAmerica Action,8645,12
IFAW,International Fund for Animal Welfare,8385,53
Left Action,LeftAction,8301,9
World Animal Protection US,World Animal Protection,8283,8
Make America Great Again - Republican,Agency Consulting LLC,8225,3
Ali Forney Center,Ali Forney Center,8206,39
Jewish Voice Ministries International,JVMI,7986,210
NumbersUSA,NumbersUSA,7953,2
Ready 4 Garcetti,Ready4Garcetti,7762,17
Nexamp,Nexamp,7729,43
Allied Progress,Allied Progress Action,7728,8
Cityteam,Cityteam,7671,47
ATTN:,These ads ran without a disclaimer,7660,1
Humane Society International,Humane Society International,7522,36
Eckerd Connects,Eckerd Connects,7513,7
Medi-Share,These ads ran without a disclaimer,7500,3
Conservation International,Conservation International,7495,117
Michael Bennet,Bennet for Colorado,7492,25
Hearing Aid News,Hearing Aid News,7421,16
Keep and Bear,Keep and Bear,7416,67
Goldman Sachs,These ads ran without a disclaimer,7400,14
Vera Institute of Justice,Vera Institute of Justice (501c3),7369,47
Brady Campaign,The Brady Campaign,7282,45
Wildlife Conservation Society,WCS,7238,44
Pacific Garden Mission,Pacific Garden Mission,7229,19
NFL,the NFL,7222,24
Spectrum News NY1,Spectrum News,7165,62
Home Energy Guide,Home Energy Guide,7160,274
PRJKT RUBY,PRJKT RUBY,7058,16
SmartNews,"SmartNews International, Inc.",6856,491
New Direction New Jersey,New Direction NJ,6827,3
Democratic Party,the Democratic National Committee,6705,2250
Indiana Senate Democratic Caucus,Indiana Senate Democratic Caucus,6590,6
People United for Privacy,People United for Privacy,6587,9
Building New York's Best,Building New York's Best,6558,84
Jay Sekulow,American Center for Law and Justice,6549,5
American AF,"AAF Nation, LLC",6522,132
World Jewish Congress,World Jewish Congress,6459,10
"I'll go ahead and keep my guns, Thanks",2A4LIFELLC,6453,5
"I'll go ahead and keep my guns, Thanks",STAND FLAG POLES,6346,4
Every State For Israel,Chosen People,6237,6
ADL - Anti-Defamation League,Anti-Defamation League,6165,153
Consumer Energy Alliance,Consumer Energy Alliance,5956,22
Human Rights Campaign,Human Rights Campaign,5843,50
UAW International Union,"the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW). Not authorized by any candidate.",5827,36
Ocean & Co.,Ocean And Co,5805,25
Republican Merchandise,Republican Merchandise,5796,23
Human Coalition,Human Coalition,5740,59
UnitedVoice.com,"Beachside Media, Inc.",5702,68
National Parks Conservation Association,National Parks Conservation Association,5672,90
NRA - National Rifle Association of America,NRA,5652,89
Republicans for the Rule of Law,Republicans for the Rule of Law,5604,5
Planted for People,America's Corn Farmers,5603,15
Axios,Axios Partner,5601,22
HIAS,HIAS,5525,51
New Jersey Education Association,the New Jersey Education Association.,5517,4
"Union Mission Ministries, Norfolk",Union Mission Norfolk,5494,24
AIPAC,AIPAC,5441,10
National Association of Manufacturers,National Association of Manufacturers,5435,2
BlacKkKlansman,These ads ran without a disclaimer,5412,4
Nine Line Apparel,Nine Line Apparel,5377,62
Define American,Define American,5305,9
Barnes & Noble,Barnes & Noble,5291,21
WaterAid America,WaterAid,5276,10
National Council on Aging,the National Council on Aging,5258,25
Military Wellness,Military Wellness Initiative,5245,13
Mercy For Animals,Mercy For Animals,5178,263
Phoenix Rescue Mission,Phoenix Rescue Mission,5164,9
NC Conservation Network,the North Carolina Conservation Network,5126,4
LG&E and KU,LG&E and KU,5123,7
Charlie Kirk,Charlie Kirk,5110,19
Congressional Black Caucus PAC,Congressional Black Caucus PAC,5106,3
Hello Resistance,Hello Resistance,5043,17
Peter G. Peterson Foundation,Peter G. Peterson Foundation,5041,32
Awareness Amongst Americans,Awareness Amongst Americans,5007,4
"Imprimis, a Publication of Hillsdale College",Hillsdale College,4967,29
Citizens for Tobacco Rights,Citizens for Tobacco Rights,4925,178
Tetra Pak - USA,Tetra Pak,4885,4
Amy Poehler's Smart Girls,Focus Features,4863,3
USA Proud Veterans,Proud USA Veterans Team,4812,5
United to End Homelessness,United to End Homelessness,4779,50
Family Survival,Family Survival,4779,19
We Raise Foundation,We Raise Foundation,4736,64
Participant Media,"Participant Media, LLC",4670,8
"Raja Krishnamoorthi - Congressman, IL-8",official funds authorized by the House of Representatives,4644,5
NILC Immigrant Justice Fund,NILC Immigrant Justice Fund,4641,2
Media Research Center,Media Research Center,4623,7
Light of Life Rescue Mission,Light of Life Mission,4580,12
"Central Union Mission, DC",Central Union Mission,4497,24
GreaterHalf.com,Greater Half,4455,23
Seattle's Union Gospel Mission,Seattle's Union Gospel Mission,4454,26
Prison Fellowship,Prison Fellowship,4446,5
National Health Insurance Savings,National Health Insurance Savings,4420,11
Greenpeace USA,Greenpeace USA,4413,36
World Vision USA,World Vision USA,4403,6
Conservative Gear,Conservative Gear,4389,36
Victory Disability,Victory Disability,4383,4
Service Pet Verified,Service Pet Verified,4373,42
Larry Elder,Citizens for Truth in Drug Pricing,4337,4
Financial Management for a better future,Financial Management For A Better Future,4327,2
AMERIPAC,AMERIPAC,4322,6
Trenton Don't Touch My Insurance Rates,Trenton Don’t Touch My Insurance,4279,36
Tiffany & Co.,Tiffany & Co.,4274,8
Joe Kennedy III,Joe Kennedy for Congress.,4238,321
Texans for Natural Gas,Texans for Natural Gas,4156,7
Winning For Women,"Winning For Women, Inc.",4151,52
DiversityInc,"DiversityInc Media, LLC",4094,37
Emerge America,Emerge America,4076,28
Chesapeake Bay Foundation,Chesapeake Bay Foundation,4041,27
Always On NY,New York State Laborers' Union,4034,16
ReBuild USA,ReBuild USA,4009,7
Campus Reform,Campus Reform,4005,2
It Gets Better Project,It Gets Better Project,3983,235
Fight For Reform,End Citizens United Nonfederal,3978,12
2nd Amendment Depot,2nd Amendment Depot,3944,117
Volunteers of America,Volunteers of America,3935,12
Elizabeth Esty,Friends of Elizabeth Esty,3935,9
Jeanne Shaheen,Shaheen for Senate,3921,4
Citizens Energizing Michigan's Economy,CITIZENS FOR ENERGIZING MICHIGAN'S ECONOMY,3894,11
CREDO Mobile,CREDO Mobile,3884,32
Conservation Voters of Pennsylvania,Conservation Voters of Pennsylvania,3873,10
SEAL PAC,SEAL PAC Supporting Electing American Leaders PAC,3754,9
"Zion Oil and Gas, Inc.",Zion Oil & Gas,3701,2
Young America's Foundation,Young America's Foundation,3688,26
Jeff Merkley,Jeff Merkley for Oregon,3685,759
OK United,Catalyst Oklahoma,3619,3
ACLU,the ACLU,3609,53
Climate Reality,The Climate Reality Project,3593,86
The Fighting Forces,The Fighting Forces,3591,73
Clean Virginia,Clean Virginia,3573,2
Community Coffee,"Community Coffee Company, L.L.C.",3549,4
Tactical Pro Supply,Tactical Pro Supply,3525,395
AMA Patients Action Network,American Medical Association,3515,19
Texas Public Policy Foundation,Texas Public Policy Foundation,3511,27
Ron Miscavige Blog,Ron Miscavige Blog,3500,1
NYC Mayor's Office,the City of New York.,3490,13
Save the Storks,Save The Storks,3474,13
Save the Storks,Save the Storks,3445,11
Quicken Loans,Quicken Loans,3427,8
LendingTree,These ads ran without a disclaimer,3419,16
Valley Air District,Valley Air District,3387,24
Sungrade Solar,Sungrade Solar,3384,9
Free Together,State Policy Network,3363,3
Senator Ron Wyden,Wyden for Senate.,3356,141
The Leadership Conference on Civil and Human Rights,The Leadership Conference on Civil and Human Rights,3354,27
Industry City,Industry City,3324,5
Patriot News Alerts,Patriot News Alerts,3281,9
Stop & Shop,Ahold USA,3270,3
Energy Transfer,Energy Transfer,3259,5
Blue Cross NC,Blue Cross NC,3258,19
All Pro Dad,Florida Coalition Against Domestic Violence,3247,8
Care Net,Care Net,3246,17
Home Saving Net,National Solar Rebate,3237,61
Convention of States,Convention of States Action,3237,9
Air Force One Experience,Air Force One Experience,3221,6
Great America PAC,Great America PAC,3212,19
The LIBRE Initiative,The LIBRE Initiative,3187,16
Premium Care For Seniors,Healthy Living Initiative,3182,64
Hugh Hewitt,Citizens for Truth in Drug Pricing,3161,3
Mike Gallagher,Citizens for Truth in Drug Pricing,3160,3
Strong Women Society,"Sky Took, LLC",3156,181
Proud To Be A Republican,Agency Consulting LLC,3136,3
North Shore Animal League America,North Shore Animal League America,3111,8
African Wildlife Foundation,African Wildlife Foundation,3064,24
Consumers for Sensible Energy,Consumers for Sensible Energy,3063,3
AARP Vermont,AARP Vermont,3054,1
Energy In Depth,Energy in Depth,3041,5
Dan McCready for Congress,McCready for Congress,3033,110
John 3:16 Mission,John 3:16 Mission,3026,11
Retirement News Today,Retirement News Today,3000,10
The Commonwealth Museum,Office of the Secretary of the Commonwealth,2992,1
Patagonia,Patagonia,2990,19
CREDO Mobile,"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.",2982,180
350.org,350,2964,24
Special Olympics,Special Olympics,2957,24
Rep. Pete Aguilar,official funds authorized by the House of Representatives.,2954,9
Lambda Legal,Lambda Legal,2930,6
Middlesex County NJ,Middlesex County NJ,2913,45
Team Trump 2020,I Love My Freedom,2899,11
"AARP Medicare Supplement Plans, insured by UnitedHealthcare Insurance Co.",UnitedHealthcare,2895,4
Enhance Our Energy Infrastructure,New Jersey Laborers-Employers Cooperation and Education Trust,2888,232
Sesame Workshop,Sesame Workshop,2880,6
Team Trump Fan Club,I Love My Freedom,2870,10
8 Billion Trees,8BillionTrees Inc,2847,24
No Nuke Bailout,Citizens Against Nuclear Bailouts,2842,14
Innocence Project,The Innocence Project,2823,34
NYC Pride,NYC Pride,2811,5
CBN News,"The Christian Broadcasting Network, Inc.",2810,78
TisBest Philanthropy,TisBest,2807,2
Minnesota Ag-Energy Alliance,Minnesota Ag Energy Alliance,2791,6
Congressman Jim Banks,Official Funds from the Office of Congressman Jim Banks,2745,15
Restore Public Trust,Restore Public Trust,2711,10
Retirement You Workshops,"Retirement You Workshops by A4 Digital, Inc.",2704,10
Everyone in LA,United Way of Greater L.A.,2699,11
Humane Society Legislative Fund,Humane Society Legislative Fund,2694,2
Nashville Rescue Mission,Nashville Rescue Mission,2690,10
Father Joe's Villages,Father Joe's Villages,2650,19
Til Valhalla Project,Til Valhalla Project,2647,25
Center for Union Facts,Center for Union Facts,2641,1
Advocate Alliance Group,Advocate Alliance Group,2629,1
I Am Essential,the I Am Essential Coalition,2621,80
The Voice of the Martyrs - USA,The Voice of the Martyrs - USA,2612,20
Gavin Newsom,Newsom for California Governor 2018,2600,49
SEIU Local 2015,SEIU Local 2015,2596,8
Rainforest Trust,Rainforest Trust,2582,2
Cover Virginia,Commonwealth of Virginia,2581,37
Polaris,Polaris,2564,13
Yellow Feather Fund,Sesame Workshop,2558,6
The Greater Boston Food Bank,The Greater Boston Food Bank,2549,5
American Cancer Society Cancer Action Network - ACS CAN,the American Cancer Society Cancer Action Network.,2538,17
Thad Michael is Senior Benefits,Thad Michael is Senior Benefits,2525,54
Goods Unite Us,"Goods Unite Us, Inc.",2511,11
Theodore Roosevelt Conservation Partnership,the Theodore Roosevelt Conservation Partnership,2507,10
American Friends Service Committee,The American Friends Service Committee (AFSC),2474,14
Howstuffworks,HowStuffWorks,2455,4
Brave Response,Brave Response,2444,3
First Lady Chirlane McCray,the City of New York,2409,12
National Women's Law Center,the National Women's Law Center,2405,26
Inauguration of Governor-Elect Michelle Lujan Grisham,Lujan Grisham Inaugural Committee,2401,4
Ohio Education Association,Ohio Education Association,2401,6
Marsy's Law for Pennsylvania,"Marsy’s Law for Pennsylvania, LLC",2395,6
Pennsylvania State Treasurer Joe Torsella,Pennsylvania Taxpayers Dollars,2393,9
All Pro Dad,Florida Department of Educations,2391,3
Mayor Bill de Blasio,the City of New York,2365,12
"New Orleans Abortion Fund, Inc.","New Orleans Abortion Fund, Inc.",2363,103
U.S. Chamber of Commerce,U.S. Chamber of Commerce,2350,20
Democrats,DCCC,2347,45
Medi-Share,Christian Care Ministry,2346,3
Mel Trotter Ministries,Mel Trotter Ministries,2337,22
Turning Point USA,Turning Point USA,2334,52
Grunt Style,Grunt Style,2332,8
Environmental Working Group,the Environmental Working Group,2326,37
Kansas State Treasurer Jake LaTurner,Kansas State Treasurer Jake LaTurner,2322,3
Military Officers Association of America (MOAA),Military Officers Association of America (MOAA),2310,15
Truth in Politics,"Truth In Politics, Inc.",2303,1
American Wild Horse Campaign,American Wild Horse Campaign,2302,6
Association of American Railroads,Association of American Railroads,2280,18
GreaterGood.org,GreaterGood,2273,15
Ounce of Prevention Fund,Ounce of Prevention Fund,2271,16
Delegate Jennifer B. Boysko,"Friends of Jennifer Boysko,",2269,4
US Lending Marketplace,US Lending Marketplace,2267,5
Illinois Policy,Illinois Policy,2251,15
Marsy's Law for Wisconsin,"Marsy’s Law for Wisconsin, LLC",2249,6
Marsy's Law for Idaho,"Marsy's Law for Idaho, L.L.C",2247,7
AT&T,These ads ran without a disclaimer,2246,1
STAND League,STAND League,2223,4
US Health Marketplace,Healthy Living Initiative,2206,5
Wisconsin Alliance for Women's Health,the Wisconsin Alliance for Women's Health,2201,117
Congressman Steven Palazzo,the Office of Congressman Steven Palazzo,2195,2
EMILY's List,EMILY's List,2192,116
Association for Accessible Medicines,Association for Accessible Medicines,2183,25
Stand for the 2nd Amendment,SFT2 Tactical Supply,2178,17
The Beer Institute,The Beer Institute,2177,12
Drug Policy Alliance,Drug Policy Alliance,2173,9
Premier Health,Premier Health,2160,2
SAMMinistries-Overcoming Homelessness,SAMMinistries,2160,7
New Jersey League of Conservation Voters,New Jersey League of Conservation Voters,2155,8
National Veteran Loan Programs,National Veteran Programs,2142,25
PrintedKicks,PrintedKicks,2126,58
NO MORE,NO MORE,2121,8
ACLJ,American Center for Law and Justice,2113,2
Invest in Education IN,Indiana State Teachers Association,2109,32
Rep. Darin LaHood,official funds authorized by the U.S. House of Representatives.,2091,22
NewDemPAC,the New Democrat Coalition Political Action Committee and not authorized by any candidate or candidate's committee.,2089,18
Daily Kos,Kos Media LLC.,2073,47
AARP AAPI Community,AARP,2072,3
NowThis Sports,The National Football League,2072,2
FinalStraw,FinalStraw,2070,17
Jane Velez-Mitchell,Jane Velez-Mitchell,2070,10
Children's Defense Fund,Children's Defense Fund,2069,40
Equality PAC,Equality PAC,2060,3
First Liberty,First Liberty Institute,2032,56
Topic,Topic,2026,61
Indiana Commission for Higher Education,Indiana Commission for Higher Education,2019,7
Vice Movie,These ads ran without a disclaimer,2014,10
Michigan Humane Society,Michigan Humane Society,2012,3
Jobs for Minnesotans,Jobs for Minnesotans,2005,18
Mary's Place,Mary's Place,2000,1
"The Citizens Foundation, USA",The Citizens Foundation - USA,1991,34
"Main Street Law Firm, PLLC","Main Street Law Firm, PLLC",1983,1
Patriot Depot,Patriot Depot,1978,161
Kirsten Gillibrand,Gillibrand for Senate,1975,9
"Congressman Roger Marshall, M.D.",the Office of Congressman Roger Marshall,1970,3
Relay Power,Relay Power,1962,3
Proud Right Winger,Proud Right Winger,1961,55
Shanti Bhavan Children's Project,Shanti Bhavan Children's Project,1959,9
Association of Young Americans,Association of Young Americans,1957,31
Neverthirst,Neverthirst,1942,16
Consumer Coalition of Oklahoma,"Consumer Coalition of Oklahoma, 1200 NW 63rd Street, Suite 5000, Oklahoma City, OK 73116",1922,2
Save BIG On Insurance,USAuto Insurance Program,1906,3
Leadership Institute,Leadership Institute,1902,32
The Commonwealth Fund,"The Commonwealth Fund, a nonpartisan organization",1897,10
Larry Elder,Salem Media Group,1897,4
Gospel for Asia,Gospel for Asia,1891,38
Congresswoman Norma Torres,Office of Congresswoman Norma Torres,1884,8
NowThis,NowThis,1879,42
Grameen Foundation,Grameen Foundation,1872,122
Alzheimer's Association - Northern California and Northern Nevada,Alzheimer's Association,1871,5
FreightWaves,FreightWaves,1869,4
Miami Rescue Mission,Miami Rescue Mission,1864,14
"Haven of Rest Ministries Akron,OH",Haven of Rest,1858,6
Spotsylvania Solar Energy Center,Sustainable Power Group,1856,4
AACR Foundation,The American Association for Cancer Research (AACR),1855,20
Concern Worldwide US,Concern Advertising,1853,57
CBS Sports,CBS Sports Digital,1845,2
Coverage of the Trump Presidency by The Epoch Times,The Epoch Times,1838,91
E. O. Wilson Biodiversity Foundation,E.O. Wilson Biodiversity Foundation,1834,196
Compassion International,Compassion International,1830,7
Campaign for Sustainable Rx Pricing,the Campaign for Sustainable Rx Pricing,1824,65
UNICEF USA,UNICEF USA,1810,26
Salt Lake Mitsubishi,Streamline Digital,1808,7
National Partnership for Women & Families,National Partnership for Women & Families,1807,32
UUSC: Unitarian Universalist Service Committee,Unitarian Universalist Service Committee,1800,62
Representative Kevin Hern,the funds authorized by the House of Representatives for the 1st District of Oklahoma,1796,6
CREDO Energy,"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, CREDO Mobile, Inc.",1795,37
Parks Project,Parks Project,1789,13
Seventh Generation,Seventh Generation,1787,1
U.S. Representative Val Demings,the Office of Congresswoman Demings,1781,7
Wellness.com,"Beachside Media, Inc.",1780,78
San Diego Organizing Project,San Diego Organizing Project,1779,6
Warrior 12,Warrior 12,1769,12
National Taxpayers Union,National Taxpayers Union,1764,15
American Forests,American Forests,1757,4
Sportsman's Art,the family of owners/operators of Sportsman's Art!,1751,1
Lakota People's Law Project,Lakota People's Law Project,1734,2
Our Health Oregon,Our Health Oregon,1732,6
Friends Committee on National Legislation,Friends Committee on National Legislation,1725,8
PCCC - BoldProgressives.org,the Progressive Change Campaign Committee PAC and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,1724,20
ASPCA,the ASPCA,1720,9
Modernize Texas Spirits,The Distilled Spirits Council,1719,4
Rainforest Action Network,Rainforest Action Network,1718,31
Catholic Charities of Saint Paul and Minneapolis,Catholic Charities of Saint Paul and Minneapolis,1710,8
New Health Plans,New Health Plans,1706,13
Texas Oil and Gas Association,Texas Oil and Gas Association,1705,5
War Against Racism,War Against Racism,1704,10
Phone2Action,Phone2Action,1684,144
Friends of Manufacturing,Friends of Manufacturing,1680,8
Columbia Bank,Columbia Bank,1671,4
PepsiCo,These ads ran without a disclaimer,1666,1
Concerned Women For America LAC,CONCERNED WOMEN FOR AMERICA,1664,20
Cornell Lab of Ornithology,The Cornell Lab of Ornithology,1652,56
March of Dimes,March of Dimes,1648,20
American Chemistry,American Chemistry Council,1645,4
Freethink,Freethink Media,1644,15
Texans for Traffic Relief,Texans for Traffic Relief,1639,30
BookTV,C-SPAN,1629,10
North Dakotans for Comprehensive Energy Solutions,North Dakotans for Comprehensive Energy Solutions,1628,4
Sherrod Brown,Friends of Sherrod Brown,1628,6
forhims,These ads ran without a disclaimer,1622,7
Toni for Chicago,Toni for Chicago.,1617,15
Tom Steyer,Tom Steyer,1617,2
Endangered Species Coalition,Endangered Species Coalition,1615,2
Dan Forest,Committee to Elect Dan Forest,1614,30
America with Eric Bolling,CRTV,1613,118
American Bridge,American Bridge 21st Century PAC.,1600,5
Power In Cooperation,ConocoPhillips Company,1595,22
Save the Redwoods League,Save the Redwoods League,1578,253
Olivela,Olivela,1576,28
LSS of Northern California,LSS of Northern California,1572,10
PennEast Pipeline,"PennEast Pipeline Company, LLC",1569,35
Hearing Aid Reviews,Hearing Aid Reviews,1567,14
stasher,stasher,1563,3
Airport Workers United,Service Employees International Union,1553,8
Downtown Rescue Mission,Downtown Rescue Mission,1552,20
POET,POET LLC.,1543,26
Rite Aid,Rite Aid,1541,1
Consumer Technology Association (CTA),Consumer Technology Association,1540,6
Maryland Food Bank,the Maryland Food Bank,1531,24
Giving Brush,Giving Brush LLC,1530,21
Cambria,Cambria,1525,2
TriMet,TriMet,1517,3
Jemar Tisby,Zondervan,1516,15
DJT Collector Club,I Love My Freedom,1515,31
Steve Bullock,Big Sky Values PAC,1514,6
Jewish Democratic Council of America,Jewish Democratic Council of America,1497,9
Oil Change International,Oil Change International,1496,3
Congressman Buddy Carter,by the Office of Congressman Buddy Carter,1490,4
Juno,Juno,1483,101
Seeker,Seeker,1477,4
John Catsimatidis,John Catsimatidis,1473,6
Citymeals on Wheels,Citymeals on Wheels,1461,9
TIAA,TIAA,1450,1
CNSNews.com,Media Research Center,1450,7
National Audubon Society,These ads ran without a disclaimer,1449,8
MRCTV,Media Research Center,1444,5
Liberty Travel,These ads ran without a disclaimer,1443,1
AFSCME Council 28 WFSE,AFSCME Council 28 (WFSE),1443,9
San Francisco-Marin Food Bank,San Francisco-Marin Food Bank,1441,7
The Golden Hammer,The Golden Hammer,1438,3
Mercy Home for Boys & Girls,Mercy Home for Boys & Girls,1429,36
Michigan Wildlife Council,Michigan Wildlife Council,1425,18
Hillsdale College Online Courses,Hillsdale College,1421,12
Friends of the Brooklyn Queens Connector,Friends of the Brooklyn Queens Connector,1420,1
Greater Chicago Food Depository,These ads ran without a disclaimer,1419,3
The Community FoodBank of New Jersey,Community FoodBank of New Jersey,1417,44
NewsBusters.org,Media Research Center,1405,3
Protect 30,Hawthorne Gardening Co.,1404,4
Freedom From Religion Foundation,Freedom From Religion Foundation,1397,1
Bay Area Rescue Mission,Bay Area Rescue Mission,1397,5
Erase The Hate,These ads ran without a disclaimer,1394,3
OneUnited Bank,OneUnited Bank,1384,34
Curzio Research,Curzio Research,1375,21
New Mexico Senate Democrats,New Mexico Senate Democrats,1372,12
Americans for Prosperity Illinois,Americans for Prosperity,1371,6
