Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Consumers Energy,These ads ran without a disclaimer,4416,111
APWU - The American Postal Workers Union,APWU - American Postal Workers Union,4367,1
NRA - National Rifle Association of America,NRA,4341,121
The Leadership Conference on Civil and Human Rights,The Leadership Conference on Civil and Human Rights,4340,47
NowThis Her,Planned Parenthood,4302,14
Cheddar,Cheddar,4298,11
Here TV,Here TV,4284,9
Association of American Railroads,Association of American Railroads,4266,33
NO New Oklahoma TAXES,No New Oklahoma Taxes,4213,4
Naked Turtle White Rum,Diageo,4202,4
Ohio Education Association,Ohio Education Association,4174,16
Farm Credit,Farm Credit Council,4167,91
Care2,These ads ran without a disclaimer,4091,13
Bill Gates,Bill Gates,4053,22
Leah Remini #AfterCash,LR Aftercash,4025,1
American Humane,American Humane,4003,3
Jim Webb for Bentonville Mayor,Jim Webb for Bentonville Mayor,3980,29
CREDO Mobile,CREDO Mobile,3978,38
Dump Mike Espy,NRSC and not authorized by any candidate or candidate's committee.,3963,56
GOP World,GOP Gifts,3954,29
People Power,the ACLU,3952,4
International Planned Parenthood Federation/Western Hemisphere Region,International Planned Parenthood Federation/Western Hemisphere Region,3932,16
Spotsylvania Solar Energy Center,Sustainable Power Group,3921,3
Get Old,Pfizer,3917,2
Turning Point USA,Turning Point USA,3909,205
Women for Trump,Proud Right Winger,3907,223
Make Comedy Great Again,CRTV LLC,3889,7
Jeff Merkley,Jeff Merkley for Oregon,3884,537
Brady Campaign,The Brady Campaign,3856,73
Pancreatic Cancer Action Network,Pancreatic Cancer Action Network,3837,27
State Representative Carol Alvarado,the Carol Alvarado Campaign,3817,6
St. Martin's Press,St. Martin's Press,3804,16
The Tylt,The Tylt,3801,1
Clergy Claims,These ads ran without a disclaimer,3799,16
GreaterHalf.com,Greater Half,3797,230
Out2Enroll,Out 2 Enroll,3771,42
Maryland Food Bank,the Maryland Food Bank,3758,43
Trenton Don't Touch My Insurance Rates,Trenton Don’t Touch My Insurance,3709,29
Consumer Energy Alliance,Consumer Energy Alliance,3702,24
Live Action,Live Action,3699,50
Advocates for Responsible Taxation -ART,Advocates for Responsible Taxation,3690,1
No Labels,No Labels. Not Authorized by Any Candidate or Candidate Committee.,3665,280
Conservative Gear,Conservative Gear,3656,51
Military Officers Association of America (MOAA),Military Officers Association of America (MOAA),3653,18
The International Fellowship of Christians and Jews,The International Fellowship of Christians and Jews,3645,101
Business Roundtable,Business Roundtable,3638,3
Care Net,Care Net,3615,29
African Wildlife Foundation,African Wildlife Foundation,3597,53
National Partnership for Women & Families,National Partnership for Women & Families,3553,42
The Christian Broadcasting Network,"The Christian Broadcasting Network, Inc.",3534,45
Make Penny Stocks Great Again,Link Media,3500,1
Meghan Trainor,These ads ran without a disclaimer,3472,4
WaterAid America,WaterAid,3444,37
Providence St. Joseph Health,Providence St Joseph Health,3420,10
Wildlife Conservation Society,WCS,3354,59
Nine Line Apparel,Nine Line Apparel,3351,36
ASMDSS,"ASMDSS, Inc",3338,59
IUOE Local 150,IUOE Local 150,3336,5
National Veteran Loan Programs,National Veteran Programs,3333,54
Plan International USA,Plan International USA,3317,55
Student Education Center,Student Education Center,3239,7
Fight Back,Fight Back Fund,3229,11
Free Together,State Policy Network,3228,4
First Liberty,First Liberty Institute,3219,37
African Community & Conservation Foundation,African Community & Conservation Foundation,3213,5
Campaign for Sustainable Rx Pricing,the Campaign for Sustainable Rx Pricing,3208,50
Alliance Defending Freedom,Alliance Defending Freedom,3205,42
Silicon Valley Rising,Silicon Valley Rising,3196,2
The Presidential Coalition,The Presidential Coalition,3191,6
Kamala Harris,Kamala Harris for Senate,3185,2252
350.org,350,3174,32
Bird + Stone,Bird + Stone,3167,26
ILGive,These ads ran without a disclaimer,3150,5
Israeli American Council - IAC,Israeli American Council (IAC),3136,34
US Lending Marketplace,US Lending Marketplace,3136,8
CBN News,"The Christian Broadcasting Network, Inc.",3134,78
Construimos,Construimos,3133,6
Human Rights Campaign,Human Rights Campaign,3125,20
Team Trump,Trump Make America Great Again Committee,3058,162
Premier Health,Premier Health,3026,5
Power Past Impossible,Power Past Impossible,3020,74
Texas Oil and Gas Association,Texas Oil and Gas Association,3019,125
Compassion International,Compassion International,3015,12
Crime Survivors for Safety and Justice,Alliance for Safety and Justice,3001,17
PepsiCo Recycling,PepsiCo Recycling,3000,4
NRA Women,NRA Women,2984,27
Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),2971,18
Working Families Party,Working Families Party,2940,35
Bloomberg Philanthropies,Bloomberg Philanthropies,2931,18
NYC Mayor's Office,the City of New York.,2918,20
Build the Wave,Build the Wave,2914,5
U.S. Chamber of Commerce,U.S. Chamber of Commerce,2912,1
"Access Reproductive Care-Southeast, Inc.","Access Reproductive Care-Southeast, Inc.",2898,34
Gordon Trey Bargas for Baton Rouge Constable,GTB for BR Constable,2885,3
Progressive Takeover,Progressive Takeover and not authorized by any candidate or candidate's committee.,2883,1
Minnesota Ag-Energy Alliance,Minnesota Ag Energy Alliance,2877,6
Stand Up America,Stand Up America,2865,546
AMA Patients Action Network,American Medical Association,2857,16
Michigan Talent Investment Agency,Michigan Talent Investment Agency,2847,9
Innocence Project,The Innocence Project,2835,34
Powerpac GA,PowerPAC Georgia,2828,2
Lambda Legal,Lambda Legal,2825,8
Cindy Hyde-Smith,CINDY HYDE-SMITH FOR US SENATE,2815,17
Conservative Corps,Brigade,2800,2
CUFI Action Fund,CUFI Action Fund,2774,4
National Democratic Training Committee,the National Democratic Training Committee,2773,23
Association of Young Americans,Association of Young Americans,2769,42
Tiffany & Co.,These ads ran without a disclaimer,2747,4
AACR Foundation,The American Association for Cancer Research (AACR),2745,45
ARISE,ARISE,2738,2
Conscious Step,Conscious Step,2727,13
CREDO Energy,"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, CREDO Mobile, Inc.",2716,53
FreightWaves,FreightWaves,2706,3
Klean Kanteen,Klean Kanteen,2700,28
Warrior 12,Warrior 12,2672,7
Andrew Wilkow,CRTV,2666,16
Stop The HIT,Stop The HIT Coalition,2636,46
Shanti Bhavan Children's Project,Shanti Bhavan Children's Project,2623,10
Kansas State Treasurer Jake LaTurner,Kansas State Treasurer Jake LaTurner,2620,6
Pennsylvania State Treasurer Joe Torsella,Pennsylvania Taxpayers Dollars,2611,9
Brewster Residents for Small Business,Adam Higgins,2609,5
MI Time to Care,"MI Time to Care, PO Box 1502, Royal Oak, MI 48068",2602,10
Building Financial Groundwork For The Future,Building Financial Groundwork For The Future,2599,10
Congressional Black Caucus PAC,Congressional Black Caucus PAC,2580,12
Spectrum News NY1,Spectrum News,2571,27
USA Energy Program,USA Energy Program,2567,113
Utah Violence & Injury Prevention Program,Utah Department of Health,2564,9
Save the Children Action Network,Save the Children Action Network,2564,33
North Dakotans for Comprehensive Energy Solutions,North Dakotans for Comprehensive Energy Solutions,2563,5
Marsy's Law for Wisconsin,"Marsy’s Law for Wisconsin, LLC",2554,4
Environmental Voter Project,Environmental Voter Project,2549,7
Family Protection Association,The Family Protection Association,2539,15
Smart Justice Georgia,ACLU of Georgia,2508,4
2nd Amendment For Life,2A4LIFE LLC,2505,6
Consumer Technology Association (CTA),Consumer Technology Association,2501,4
National Health Insurance Savings,National Health Insurance Savings,2501,8
Carly Fiorina,These ads ran without a disclaimer,2500,1
Phil Robertson "The Duck Commander",CRTV,2495,28
Pocket Politics,Kongregate,2488,7
AMERIPAC,AMERIPAC,2479,1
Oh Politics,OhPolitics Etsy Store,2476,58
Smart Health Choice,Smart Health Choice,2474,13
Anthem Blue Cross Medi-Cal,"Get help in another language Non-discrimination policy Privacy Policy Waste, Fraud & Abuse Terms of Use Anthem Blue Cross is the trade name of Blue Cross of California. Anthem Blue Cross and Blue Cross of California Partnership Plan, Inc. are independent licensees of the Blue Cross Association. ANTHEM is a registered trademark of Anthem Insurance Companies,",2472,4
ADL - Anti-Defamation League,Anti-Defamation League,2470,225
Save the Storks,Save the Storks,2461,23
Marsy's Law for Idaho,"Marsy's Law for Idaho, L.L.C",2434,9
Open The Books,OpenTheBooks,2432,10
National Park Foundation,National Park Foundation,2414,14
Americans For Healthcare Freedom,Americans for Government Accountability.,2409,6
DiversityInc,"DiversityInc Media, LLC",2397,49
SEIU Local 2015,SEIU Local 2015,2384,8
Cornell Lab of Ornithology,The Cornell Lab of Ornithology,2382,19
Educated Earthling,Educated Earthling,2369,106
Senate Leadership Fund,Senate Leadership Fund,2365,6
Conservative Christmas,Conservative Christmas,2359,34
No Nuke Bailout,Citizens Against Nuclear Bailouts,2331,22
Senator Ron Wyden,Wyden for Senate.,2329,145
UJA-Federation of New York,UJA-Federation of New York,2325,22
Mayor Bill de Blasio,the City of New York,2323,10
Stop Soldier Suicide,Stop Soldier Suicide a national veteran-founded-and-led 501(c)3 nonprofit,2321,14
Gavin Newsom,Newsom for California Governor 2018,2304,139
Congressional Black Caucus PAC (CBC PAC),Congressional Black Caucus PAC,2303,4
Kitchen Delight,These ads ran without a disclaimer,2293,71
Main Street Investors Coalition,Main Street Investors Coalition,2290,8
GT's Kombucha,GT's Living Foods,2281,2
Pathfinder International,Pathfinder International,2280,11
First Lady Chirlane McCray,the City of New York,2278,7
Trump Care 2019,SIVA Marketing,2275,2
The News and Why It Matters,TheBlaze,2275,98
Trusted Conservative,Liberty Digest,2270,6
Theodore Roosevelt Conservation Partnership,the Theodore Roosevelt Conservation Partnership,2266,154
Dr. Robert Jeffress,Pathway to Victory,2252,8
Proud To Be A Republican,Agency Consulting LLC,2251,9
Focus Texas,Focus Texas,2245,49
Cityteam,These ads ran without a disclaimer,2238,12
B Corporation,B Lab,2222,5
SELC,The Southern Environmental Law Center,2219,47
It Gets Better Project,It Gets Better Project,2209,24
Happy Earth Apparel,Happy Earth,2205,4
Helping Up Mission,One & All Agency,2201,14
Mercedes Monitor,Mercedes Monitor,2191,20
The Arc of the United States,The Arc,2189,38
Ohioans for Step Therapy Reform,Ohioans for Step Therapy Reform,2182,8
Indiana Commission for Higher Education,Indiana Commission for Higher Education,2163,7
"Open Progress - great causes, great candidates",Open Progress,2150,1
Shawnee Mission Health,Shawnee Mission Health,2141,8
RBG,Magnolia Pictures,2121,1
Bill Cassidy,Bill Cassidy for U.S. Senate,2120,2
American Bird Conservancy,American Bird Conservancy,2107,47
"Main Street Law Firm, PLLC","Main Street Law Firm, PLLC",2101,2
Brigade,Brigade,2100,3
Charlie Kirk,Charlie Kirk,2099,12
Conservation Minnesota,Conservation Minnesota,2073,10
AT&T,These ads ran without a disclaimer,2063,2
Liberty Watch Magazine,Liberty Watch Magazine,2050,3
Rainforest Action Network,Rainforest Action Network,2049,60
Catholic Charities of New York,Catholic Charities Archdiocese of New York,2022,46
Providing Hope Va,Providing Hope Va,2021,5
Topic,Topic,2018,30
Restore Public Trust,Restore Public Trust,2015,10
Goldman Sachs,These ads ran without a disclaimer,2002,3
MasterClass,MasterClass,2000,35
Mashable,AT&T Inc.,2000,1
Adobe After Effects,Adobe,2000,2
Collaborative for Student Success,Collaborative for Student Success,1983,3
Seeker,Seeker,1982,5
Blue Cross NC,Blue Cross NC,1979,14
Concealed Carry,Concealed Carry Inc,1975,7
World Animal Protection USA,World Animal Protection,1965,35
Audible,These ads ran without a disclaimer,1953,1
Save the Redwoods League,Save the Redwoods League,1947,158
Promise to Care,Massachusetts Senior Care Association,1940,4
AARP Arkansas,AARP Arkansas,1934,10
Home Improvement Deals,Home Improvement Deal,1931,17
Virginians for Better Transportation,the Virginia Transportation Construction Alliance,1919,8
Convention of States,Convention of States Action,1912,14
Tee Shirt Palace,Tee Shirt Palace,1908,15
On Your 6 Designs,On Your 6 Designs,1899,6
Columbia Bank,Columbia Bank,1899,9
Marsy's Law for Pennsylvania,"Marsy’s Law for Pennsylvania, LLC",1887,7
Brad Raffensperger,The Candidate,1882,2
Mejores ofertas solares,Mejores ofertas solares,1879,13
Smarter Faster,Axios Partner,1872,15
CHNGE,CHNGE,1871,30
Wind Solar Alliance,The Wind Energy Foundation,1867,4
Dave Thomas Foundation for Adoption,Dave Thomas Foundation for Adoption,1867,6
LG&E and KU,LG&E and KU,1865,2
Cover Virginia,Commonwealth of Virginia,1859,15
Safe Kids Worldwide,These ads ran without a disclaimer,1849,3
Know Your Vote Louisiana,Voters Organized To Educate,1845,2
Stand Together,These ads ran without a disclaimer,1842,11
Yosemite Conservancy,Yosemite Conservancy,1828,88
Beau Biden Foundation for the Protection of Children,Beau Biden Foundation for the Protection of Children,1828,10
Save Our Air Medical Resources,Save Our Air Medical Resources,1815,12
PrintedKicks,PrintedKicks,1815,118
CharterStrong,New Jersey Charter Schools Association,1813,14
Curzio Research,Curzio Research,1806,9
PolicyEd,Hoover Institution,1805,50
Joe Kennedy III,Joe Kennedy for Congress.,1804,330
Eric Bolling,CRTV,1804,6
Jobs for Minnesotans,Jobs for Minnesotans,1797,18
Pharmacists United for Truth and Transparency,Pharmacists United for Truth and Transparency,1789,40
Texas General Land Office,Texas General Land Office,1786,12
Coalition for Medicare Choices,The Coalition for Medicare Choices,1772,10
The Jim Jefferies Show,Comedy Central,1771,3
Texans for Natural Gas,Texans for Natural Gas,1756,65
Protect Our Workers' Earned Retirement Coalition,Protect Our Workers Earned Retirement,1749,10
Robert Reich,Inequality Media,1748,2
WorkingNation,WorkingNation,1736,3
Clean Ocean Movement,Clean Ocean Movement,1733,2
Operation Smile,Operation Smile,1732,36
Donald Trump For President 2020,Donald Trump Collectables,1731,12
Paycheckology,Paycheckology,1729,18
Physicians Grassroots Network,American Medical Association,1724,16
Nine Line Apparel,These ads ran without a disclaimer,1718,15
NACECME,"National Association for Continuing Education (NACE), The Accredited Provider of Continuing Medical Education with Commendation. All NACE certified education undergo multiple peer reviews to ensure, scientific accuracy, no bias, accurate publication  citations. NACE has a strict confilict of Interest Disclosure Policy available at all NACE Activities.",1706,2
Jane Velez-Mitchell,Jane Velez-Mitchell,1704,10
Congress of Tomorrow,Democracy Fund Voice.,1703,20
Backcountry Hunters & Anglers,Backcountry Hunters & Anglers,1703,16
Oklahomans For Energy Options,American Policy Advocates,1694,6
Making Every Vote Count,Making Every Vote Count,1693,39
Alzheimer's Association - Northern California and Northern Nevada,Alzheimer's Association,1690,22
The Atlas Society,The Atlas Society,1688,33
Rotary International,Rotary International,1687,5
Jay Inslee,"Jay Inslee for Washington (D) PO BOX 21067 Seattle, WA 98111",1685,11
Klamath River Renewal Corporation,Klamath River Renewal Corporation,1677,9
Dan Bongino,Dan Bongino,1675,3
