Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
MasterClass,MasterClass,5085,20
Family Survival,Family Survival,5058,29
AARP Washington,AARP Washington State,5051,5
Patriot Depot,Patriot Depot,5028,373
Human Coalition,Human Coalition,4891,87
Utah Violence & Injury Prevention Program,Utah Department of Health,4890,8
Advancing Democracy,Advancing Democracy,4851,23
Lumina Foundation,Lumina Foundation,4851,170
Bronx Zoo,Wildlife Conservation Society,4831,8
Providence St. Joseph Health,Providence St Joseph Health,4820,10
NRSC,NRSC,4781,27
Ohio Clean Energy Jobs Alliance,First Energy Solutions,4773,4
United to End Homelessness,United to End Homelessness,4763,98
Guns Down America,Guns Down,4741,18
Kamala Harris,Kamala Harris for Senate,4741,4532
Wounded Warrior Project,Wounded Warrior Project,4731,49
KevinMD.com,"KevinMD, LLC",4697,5
STAND League,STAND League,4683,5
National Wildlife Federation,National Wildlife Federation,4594,5
8 Billion Trees,8BillionTrees Inc,4555,58
I Make America,Association of Equipment Manufacturers,4545,20
Common Defense,Common Defense / Beyond the Choir Action Fund and not authorized by any candidate or candidate's committee.,4536,74
Prison Fellowship,Prison Fellowship,4518,6
45th President Donald J. Trump,OuterGoods LLC,4489,170
Pelican Institute for Public Policy,Pelican Institute for Public Policy,4453,3
Save the Storks,Save The Storks,4428,13
ACLU,the ACLU,4405,146
Union Gospel Mission of Portland,Union Gospel Mission Portland,4405,15
WaterAid America,WaterAid,4399,20
UnitedHealth Group,UnitedHealth Group,4378,4
Divide And Conquer: The Story Of Roger Ailes,Magnolia Pictures,4374,10
Everyone in LA,United Way of Greater L.A.,4340,20
Winning For Women,"Winning For Women, Inc.",4305,114
Stand Together,Stand Together,4236,11
National Audubon Society,National Audubon Society,4213,32
Jeanne Shaheen,Shaheen for Senate,4199,9
Hope for America,Puppy Dogs & Ice Cream Publishing,4176,232
Hugh Hewitt,Citizens for Truth in Drug Pricing,4166,3
Chesapeake Bay Foundation,Chesapeake Bay Foundation,4165,55
Mike Gallagher,Citizens for Truth in Drug Pricing,4157,3
Stand Up America,Stand Up America,4131,1050
DiversityInc,"DiversityInc Media, LLC",4130,48
Home Energy Guide,Home Energy Guide,4128,1111
Larry Elder,Citizens for Truth in Drug Pricing,4128,3
TisBest Philanthropy,TisBest,4111,4
AFSCME Council 28 WFSE,AFSCME Council 28 (WFSE),4096,11
Sportsman's Art,the family of owners/operators of Sportsman's Art!,4090,1
CUFI Action Fund,CUFI Action Fund,4058,2
Tiffany & Co.,Tiffany & Co.,4049,11
UAW International Union,"the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW). Not authorized by any candidate.",4004,9
Adam Ruins Everything,truTV,3981,26
US Lending Marketplace,US Lending Marketplace,3979,4
SEAL PAC,SEAL PAC Supporting Electing American Leaders PAC,3956,37
The LIBRE Initiative,The LIBRE Initiative,3954,12
Congressional Black Caucus PAC,Congressional Black Caucus PAC,3933,4
Wildlife Conservation Society,WCS,3932,41
Citizens Energizing Michigan's Economy,CITIZENS FOR ENERGIZING MICHIGAN'S ECONOMY,3914,13
International Planned Parenthood Federation/Western Hemisphere Region,International Planned Parenthood Federation/Western Hemisphere Region,3869,16
National Association of Manufacturers,National Association of Manufacturers,3868,6
Proud To Be A Republican,Agency Consulting LLC,3801,7
Strong Women Society,"Sky Took, LLC",3797,54
"Imprimis, a Publication of Hillsdale College",Hillsdale College,3774,40
Define American,Define American,3761,10
Fight Back,Fight Back Fund,3750,11
Brady Campaign,The Brady Campaign,3746,49
Alliance for Climate Education,Alliance for Climate Education,3741,36
Wind Solar Alliance,The Wind Energy Foundation,3735,2
seiu-uhw,Service Employees International Union-United Healthcare Workers West (SEIU-UHW),3734,8
Service Pet Verified,Service Pet Verified,3721,52
HIAS,HIAS,3714,61
Connect Americans Now,Connect Americans Now.,3656,9
Jeff Merkley,Jeff Merkley for Oregon,3651,686
MedicareSupplement.com,TZ Insurance Solutions,3645,231
Care Net,Care Net,3627,36
Spectrum News NY1,Spectrum News,3621,34
Barnes & Noble,Barnes & Noble,3617,20
PolicyEd,Hoover Institution,3589,65
Out2Enroll,Out 2 Enroll,3560,42
Pharmacists United for Truth and Transparency,Pharmacists United for Truth and Transparency,3556,20
Get Old,Pfizer,3553,4
National Veteran Loan Programs,National Veteran Programs,3540,37
Friends Committee on National Legislation,Friends Committee on National Legislation,3529,24
SC Club for Growth,SC Club for Growth,3527,46
CBS Sports,CBS Sports Digital,3500,1
Elizabeth Esty,Friends of Elizabeth Esty,3496,9
For Michigan's Future,For Our Future Action Fund,3477,14
Congressman Jason Smith,Congressman Jason Smith,3439,4
Denver Rescue Mission,Denver Rescue Mission,3423,7
American Debt Relief,These ads ran without a disclaimer,3399,3
RADIO.COM,Entercom Communications,3386,6
NYC Mayor's Office,the City of New York.,3379,29
Washingtonians for a Responsible Future,"Caring Across Generations, a managed project of Bend the Arc: A Jewish Partnership for Justice",3301,10
Beau Biden Foundation for the Protection of Children,Beau Biden Foundation for the Protection of Children,3289,41
Special Olympics,Special Olympics,3275,27
NRA - National Rifle Association of America,NRA,3232,69
Seeker,Seeker,3225,5
Penguin Kids,Penguin Young Readers,3223,42
Patients For Affordable Drugs NOW,Patients for Affordable Drugs NOW,3222,12
Restore Public Trust,Restore Public Trust,3212,15
No Nuke Bailout,Citizens Against Nuclear Bailouts,3208,14
Democratic Climate Action,the Democratic Governors Association,3207,10
Manhattan Neighborhood Network - MNN,Manhattan Neighborhood Network,3194,5
World Animal Protection US,World Animal Protection,3149,11
PETA (People for the Ethical Treatment of Animals),PETA,3129,119
Compassion International,Compassion International,3127,13
Freedom Media & Ethics,Freedom Magazine,3099,3
CBN News,"The Christian Broadcasting Network, Inc.",3084,78
Ligonier Ministries,Ligonier Ministries,3070,7
New Jersey Education Association,the New Jersey Education Association.,3056,5
APWU - The American Postal Workers Union,APWU - American Postal Workers Union,3040,2
Americans for Prosperity Foundation,Americans for Prosperity Foundation,3033,49
American Cancer Society Cancer Action Network - ACS CAN,the American Cancer Society Cancer Action Network.,3028,14
Olivela,Olivela,3019,53
North Dakotans for Comprehensive Energy Solutions,North Dakotans for Comprehensive Energy Solutions,2981,6
Axios,Axios Partner,2970,6
Home Saving Net,National Solar Rebate,2965,76
Free Together,State Policy Network,2948,4
Southern Poverty Law Center,Southern Poverty Law Center,2947,44
The Leadership Conference on Civil and Human Rights,The Leadership Conference on Civil and Human Rights,2943,6
Minnesota Ag-Energy Alliance,Minnesota Ag Energy Alliance,2931,6
National Partnership for Women & Families,National Partnership for Women & Families,2927,33
Pickup Please,These ads ran without a disclaimer,2908,28
Team Trump,Trump Make America Great Again Committee,2902,101
Turning Point USA,Turning Point USA,2869,102
CREDO Energy,"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, CREDO Mobile, Inc.",2868,49
Enhance Our Energy Infrastructure,New Jersey Laborers-Employers Cooperation and Education Trust,2868,232
Indiana Senate Democratic Caucus,Indiana Senate Democratic Caucus,2862,5
Military Officers Association of America (MOAA),Military Officers Association of America (MOAA),2849,24
Eckerd Connects,Eckerd Connects,2840,3
Jewish Democratic Council of America,Jewish Democratic Council of America,2839,5
US Solar Initiative,US Solar Initiative,2833,50
Warrior 12,Warrior 12,2829,10
New Direction New Jersey,New Direction NJ,2811,6
UnidosUS,UnidosUS,2805,4
Home Ownership Matters,the National Association of REALTORS®,2805,5
Texans for Natural Gas,Texans for Natural Gas,2800,13
Cover Virginia,Commonwealth of Virginia,2730,37
Jerusalem Prayer Team,Jerusalem Prayer Team and Friends of Zion,2712,30
The Fighting Forces,The Fighting Forces,2704,395
Rainforest Trust,Rainforest Trust,2701,2
Convention of States,Convention of States Action,2698,14
Energy In Depth,Energy in Depth,2692,5
President Donald Trump Fan Club,I Love My Freedom,2689,7
Point Source Youth,Point Source Youth,2686,10
Patagonia,Patagonia,2674,29
National Immigration Law Center,National Immigration Law Center,2637,8
One Fair Wage DC,One Fair Wage DC Committee,2629,4
Premium Care For Seniors,Healthy Living Initiative,2618,107
Crooked Media,Crooked Media,2614,58
Pennsylvania State Treasurer Joe Torsella,Pennsylvania Taxpayers Dollars,2609,9
I Am Essential,the I Am Essential Coalition,2607,42
Blue Cross NC,Blue Cross NC,2599,16
Discount Solar Programs USA,Discount Solar Programs USA,2563,4
National Women's Law Center,the National Women's Law Center,2533,21
Naked Turtle White Rum,These ads ran without a disclaimer,2519,24
Dan Newlin,Dan Newlin Injury Attorneys,2513,1
Live Action,Live Action,2510,24
Daley for Mayor,Bill Daley for Mayor,2505,9
Lambda Legal,Lambda Legal,2480,6
First Lady Chirlane McCray,the City of New York,2465,18
Truth in Politics,"Truth In Politics, Inc.",2454,1
Home Builders Association of Greater Austin,Home Builders Association of Greater Austin,2445,4
SELC,The Southern Environmental Law Center,2434,60
Organizing for Bernie,Organizing for Bernie and not authorized by any candidate or candidate’s committee Contributions to Organizing for Bernie are Not Deductible for Federal Tax Purposes,2426,68
Kirsten Gillibrand,Gillibrand for Senate,2418,47
Mayor Bill de Blasio,the City of New York,2411,20
Middlesex County NJ,Middlesex County NJ,2408,19
Comedy Central Stand-Up,Comedy Central,2403,5
NC Conservation Network,the North Carolina Conservation Network,2388,4
Dallas Safari Club,DSC Foundation,2366,6
Save the Storks,Save the Storks,2357,12
Gospel for Asia,Gospel for Asia,2354,42
Solar Programs In Ca Counties,Solar Programs In Ca Counties,2335,15
Virginians for Better Transportation,the Virginia Transportation Construction Alliance,2328,14
Progress North Carolina Action,Progress North Carolina Action,2323,9
Power of Wind,the American Wind Energy Association,2312,6
American Medical Association (AMA),American Medical Association,2297,3
Marsy's Law for Pennsylvania,"Marsy’s Law for Pennsylvania, LLC",2295,6
Marsy's Law for Wisconsin,"Marsy’s Law for Wisconsin, LLC",2290,7
Jemar Tisby,Zondervan,2276,15
Howstuffworks,HowStuffWorks,2264,4
Trump Care 2019,SIVA Marketing,2245,2
Marsy's Law for Idaho,"Marsy's Law for Idaho, L.L.C",2244,7
California Solar Rebates & Tax Credits,California Solar Rebates & Tax Credits,2240,96
Premier Health,Premier Health,2240,5
MinimumWage.com,the Employment Policies Institute,2236,4
Senior Healthcare Direct,MedicareBob,2235,4
AMA Patients Action Network,American Medical Association,2216,25
Beech-Nut,These ads ran without a disclaimer,2185,1
FCTRY,These ads ran without a disclaimer,2179,11
Reform Austin,"Reform Austin, Inc.",2178,85
John Catsimatidis,John Catsimatidis,2167,8
Humane Society Legislative Fund,Humane Society Legislative Fund,2161,2
Nine Line Apparel,Nine Line Apparel,2150,48
Ali Forney Center,Ali Forney Center,2133,12
Indiana Commission for Higher Education,Indiana Commission for Higher Education,2132,7
Carly Stein,Beekeeper's Naturals,2130,31
Plan International USA,Plan International USA,2130,82
Jobs for Minnesotans,Jobs for Minnesotans,2110,18
Utah Food Bank,Utah Food Bank,2108,11
"Main Street Law Firm, PLLC","Main Street Law Firm, PLLC",2100,2
Proud Right Winger,Proud Right Winger,2092,93
Hearing Aid Reviews,Hearing Aid Reviews,2090,27
ReBuild USA,ReBuild USA,2058,6
"Raja Krishnamoorthi - Congressman, IL-8",official funds authorized by the House of Representatives,2051,6
African Wildlife Foundation,African Wildlife Foundation,2041,22
Eurasia Group Foundation,Eurasia Group Foundation,2019,8
Precious Retirement Strategies,Precious Retirement Strategies,2012,16
Hers,These ads ran without a disclaimer,2010,20
Ohioans for Step Therapy Reform,Ohioans for Step Therapy Reform,1977,3
Connect Americans Now,Microsoft and approved by Connect Americans Now.,1976,7
Father Joe's Villages,Father Joe's Villages,1974,51
Trenton Don't Touch My Insurance Rates,Trenton Don’t Touch My Insurance,1974,29
Happy Earth Apparel,Happy Earth,1972,4
Collaborative for Student Success,Collaborative for Student Success,1962,3
"Congressman Roger Marshall, M.D.",the Office of Congressman Roger Marshall,1962,9
Erase The Hate,These ads ran without a disclaimer,1957,12
Daily Kos,Kos Media LLC.,1951,47
Fish Eye Guy Photography,Orvis,1950,2
PNW,Prophecy News Watch,1947,24
Civiqs,Civiqs,1945,9
3M,3M,1945,1
LG&E and KU,LG&E and KU,1933,2
Leadership Institute,Leadership Institute,1932,43
The News and Why It Matters,TheBlaze,1928,56
Association of Young Americans,Association of Young Americans,1923,31
Peter G. Peterson Foundation,Peter G. Peterson Foundation,1916,34
Conservation Voters of Pennsylvania,Conservation Voters of Pennsylvania,1912,15
SmartNews,"SmartNews International, Inc.",1909,400
Jack Burkman Radio,Jack Burkman,1899,29
Stop The HIT,Stop The HIT Coalition,1883,21
Consumer Technology Association (CTA),Consumer Technology Association,1878,10
America with Eric Bolling,CRTV,1877,117
County Solar Programs,County Solar Programs,1873,14
AARP New Jersey,AARP New Jersey,1862,3
The BL TV,The Beauty of Life,1851,4
Earth Tomorrow,Earth Tomorrow Inc,1847,14
Physicians Grassroots Network,American Medical Association,1841,14
All Pro Dad,Florida Department of Educations,1837,3
Phone2Action,Phone2Action,1837,157
Valley Air District,Valley Air District,1834,32
Senator Ron Wyden,Wyden for Senate.,1809,144
New Way California,New Way California,1806,20
Seventh Generation,Seventh Generation,1806,1
OHCAP - Ohio Coalition for Affordable Prescriptions,the Ohio Coalition for Affordable Prescriptions,1802,3
Joe Kennedy III,Joe Kennedy for Congress.,1796,336
Sungrade Solar,Sungrade Solar,1795,4
Save Our Air Medical Resources,Save Our Air Medical Resources,1794,12
Hearing Aid News,Hearing Aid News,1789,13
AARP Vermont,AARP Vermont,1789,1
CREDO Mobile,CREDO Mobile,1786,27
Citizens for a Secure and Safe America,Citizens for a Secure & Safe America Educational Committee,1780,23
"Union Mission Ministries, Norfolk",Union Mission Norfolk,1779,11
Charlie Kirk,Charlie Kirk,1776,11
"Milbank, Tweed, Hadley & McCloy LLP",Milbank Law,1768,9
NowThis Sports,The National Football League,1753,2
Monique Burr Foundation,Monique Burr Foundation,1736,15
War Against Racism,War Against Racism,1728,19
New Mexico Oil & Gas,New Mexico Oil & Gas Association,1727,38
Road to Repair,ELEC825,1723,3
Helping Up Mission,One & All Agency,1722,8
NYC Pride,NYC Pride,1690,6
Facing History and Ourselves,Facing History and Ourselves,1688,81
Planted for People,America's Corn Farmers,1676,5
Air Force One Experience,Air Force One Experience,1674,9
Sam Graves,the Office of Congressman Sam Graves,1668,1
Illinois Farm Bureau,Illinois Farm Bureau,1656,8
Maryland Food Bank,the Maryland Food Bank,1640,23
Protect The Harvest,Protect The Harvest,1636,9
AMERIPAC,AMERIPAC,1623,1
We The People Holsters,WeThePeopleHolsters,1616,78
Environmental Working Group,the Environmental Working Group,1610,197
TriMet,TriMet,1609,3
Lincoln Land Wind,Lincoln Land Wind,1607,58
Ellis Air Conditioning and Refrigeration,Ellis Air,1602,2
Klamath River Renewal Corporation,Klamath River Renewal Corporation,1602,9
Solar Programs In AZ Counties,Solar Programs In AZ Counties,1600,39
Michigan Humane Society,Michigan Humane Society,1600,2
Compassion Experience,"Compassion International, Inc.",1599,4
Seth Moulton,Seth Moulton for Congress,1593,2
"Zito Media - High Speed Internet, Digital Cable TV, & Digital Voice","Zito Media. We are a Cable, Phone and Internet Provider. Pricing, equipment availability, services available, and internet speeds vary based on location.",1592,44
stasher,stasher,1584,6
LifeStraw,LifeStraw®,1582,112
Consumers Energy,Consumers Energy,1573,171
Mazie Hirono,Friends of Mazie Hirono,1573,24
Donald Trump For President 2020,Donald Trump Collectables,1568,7
Engineers Labor Employer Cooperative ELEC,ELEC825,1568,1
CREDO Mobile,"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.",1552,176
WEAC,Wisconsin Education Association Council,1552,24
Colorado Lottery,Colorado Lottery,1543,4
Open Doors USA,Open Doors USA,1536,71
Arizona Game & Fish Department,Arizona Game and Fish Department,1536,19
Root-Pike Watershed Initiative Network,Root-Pike Watershed Initiative Network,1532,1
Jay Inslee,"Jay Inslee for Washington (D) PO BOX 21067 Seattle, WA 98111",1527,8
Human Rights Watch,Human Rights Watch,1525,139
GOP World,GOP Gifts,1520,21
Breaking Patriot News,Breaking Patriot News,1519,5
Financial Management for a better future,Financial Management For A Better Future,1513,5
It Gets Better Project,It Gets Better Project,1510,155
Modernize Texas Spirits,The Distilled Spirits Council,1510,20
Citizens for Tobacco Rights,Citizens for Tobacco Rights,1509,192
Progressive Caucus,Progressive Caucus PAC,1504,5
B Corporation,B Lab,1501,12
political.law,Political dot Law,1500,1
University Hospitals,University Hospitals,1500,3
Student Education Center,Student Education Center,1500,1
The Atlas Society,The Atlas Society,1496,24
UNICEF USA,These ads ran without a disclaimer,1495,2
EarthX,EarthX,1488,23
Congressman Buddy Carter,by the Office of Congressman Buddy Carter,1480,4
