Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
National Domestic Workers Alliance,National Domestic Workers Alliance,17575,202
Holmes & Watson,These ads ran without a disclaimer,17323,3
First Quote Medicare,FirstQuoteMedicare,17000,26
FWD.us,FWD.us,16719,889
United States Constitution,Keep and Bear,15642,51
Judicial Watch,Judicial Watch,15550,69
Cory Booker,Cory Booker for Senate,15393,16
CreditRepair.com,CreditRepair,15042,92
Instant HealthQuotes,Instant HealthQuotes,15000,10
Microsoft,Microsoft,14988,89
Chad Benson Show,Chad Benson,14927,238
Tiffany & Co.,Tiffany & Co.,14762,8
Stop the Corridor,"Stop the Corridor, PO Box 98, Westbrook ME 04098",14023,12
Pfizer,Pfizer,13910,53
FinalStraw,FinalStraw,13836,18
Conservative Gear,Conservative Gear,13816,304
XTO Energy,XTO Energy,13811,27
Michigan One Fair Wage,Michigan One Fair Wage,13517,10
Thad Michael is Senior Benefits,Thad Michael is Senior Benefits,13462,264
I Love My Freedom,I Love My Freedom,13231,128
Participant Media,"Participant Media, LLC",13121,8
EZ Insure,"Benepath, Inc.",13097,8
"Law Offices of Spar & Bernstein, P.C.","Law Offices of Spar & Bernstein, P.C.",12830,6
IFAW,International Fund for Animal Welfare,12601,315
The Nib,The Nib,12596,95
Parks Project,Parks Project,12577,58
Keep and Bear,Keep and Bear,12549,101
Concealed Club,Concealed Club,12534,75
Georgia Republican Party,"The Georgia Republican Party, Inc.",12433,9
FAIR,Federation for American Immigration Reform,12254,13
Erase The Hate,"NBCUniversal Media, LLC",12063,61
Friends of the IDF (FIDF),Friends of the IDF,12016,174
AARP Advocates,AARP,11980,3
Thrasher Coffee,Thrasher Coffee,11879,41
Ocean Conservancy,Ocean Conservancy,11861,1354
Oxfam,Oxfam America,11766,103
Save the Children US,Save the Children US,11759,21
NowThis Her,Planned Parenthood,11613,16
Consumer Action for a Strong Economy,Consumer Action for a Strong Economy,11598,96
National Democratic Training Committee,the National Democratic Training Committee,11520,53
California League of Conservation Voters,California League of Conservation Voters,11365,9
New Jersey Citizen Action,New Jersey Citizen Action,11323,30
Compare Medicare Quotes,"Benepath, Inc.",11287,16
League of Conservation Voters,League of Conservation Voters,11279,31
Ben Ferguson,Ben Ferguson Show,11232,19
Patriot News Alerts,Patriot News Alerts,11216,9
NRATV,NRATV,11148,50
Avocado Green Mattress,Avocado Green Mattress,11080,4
AIPAC,AIPAC,11000,19
New Health Plans,New Health Plans,10854,33
Mercy Corps,Mercy Corps,10790,73
United States Holocaust Memorial Museum,the United States Holocaust Memorial Museum,10690,86
Hope for America,Puppy Dogs & Ice Cream Publishing,10647,175
CRTV,CRTV,10524,99
John Legere,T-Mobile,10315,16
Friends of the Earth U.S.,Friends of the Earth,10304,60
WomanUp,Woman Up,10174,14
Michael Knowles,Daily Wire,10123,142
Minnesotans for Line 3,Minnesotans for Line 3,10079,17
Stand for the 2nd Amendment,SFT2 Tactical Supply,10060,274
Oceana,Oceana,9948,174
Solar Programs In Ca Counties,Solar Programs In Ca Counties,9910,51
National Geographic Society,National Geographic Society,9628,68
Advocate Alliance Group,Advocate Alliance Group,9627,6
Action Against Hunger USA,Action Against Hunger,9545,15
FCTRY,FCTRY,9460,7
Women for Trump,Proud Right Winger,9420,250
NICA - National Infusion Center Association,National Infusion Center Association,9346,213
Texas Public Policy Foundation,Texas Public Policy Foundation,9339,63
Nuclear Powers PA,Nuclear Powers Pennsylvania,9333,16
Federal Student Aid,U.S. Department of Education,9315,32
Rory Lancman for Queens District Attorney,Rory Lancman for Queens District Attorney,9263,3
Wholesome Culture,Wholesome Culture,9256,70
Family Survival,Family Survival,9059,36
Humane Society International,Humane Society International,9041,18
Consumer Protection Coalition,Paid for by the Consumer Protection Coalition,8942,13
Americans for Prosperity,Americans for Prosperity,8834,68
Kialo,Kialo,8702,36
US Health Marketplace,Healthy Living Initiative,8537,12
Emerge America,Emerge America,8535,17
NRDC,NRDC,8480,69
Always On NY,New York State Laborers' Union,8422,15
Every State For Israel,Chosen People,8373,10
WaterAid America,WaterAid,8155,28
realtor.com Pro,These ads ran without a disclaimer,8101,4
Progressive Turnout Project,Progressive Turnout Project,8037,15
Climate Reality,The Climate Reality Project,7957,78
Service Pet Verified,Service Pet Verified,7823,66
Brave Response,Brave Response,7813,20
SeaWorld San Diego,These ads ran without a disclaimer,7743,1
Investment Advisory Group,Investment Advisory Group,7612,16
Civiqs,Civiqs,7597,177
Tactical Pro Supply,Tactical Pro Supply,7557,380
Oh Politics,OhPolitics Etsy Store,7490,52
45th President Donald J. Trump,OuterGoods LLC,7347,126
People Power,the ACLU,7275,4
RALI Minnesota,Rx Abuse Leadership Initiative,7208,3
Michael Bennet,Bennet for Colorado,7159,30
Americans for Tax Reform,Americans for Tax Reform,7037,13
National Health Insurance Savings,National Health Insurance Savings,6931,37
End Family Fire,End Family Fire with Facebook Ad Credits,6843,9
Abortion On Our Own Terms,Abortion On Our Own Terms,6772,90
Enbridge Line 3,Enbridge Line 3,6767,10
Conservation International,Conservation International,6758,114
Union of Concerned Scientists,Union of Concerned Scientists,6691,58
Grunt Style,Grunt Style,6575,8
Family Protection Association,The Family Protection Association,6469,197
Compassion in World Farming (USA),CIWF,6367,21
45 Hats,45 Hats,6331,174
Brad Raffensperger,Brad for Georgia SOS,6322,2
Consumer Energy Alliance,Consumer Energy Alliance,6321,22
World Food Program USA,World Food Program USA,6315,114
Southern Poverty Law Center,Southern Poverty Law Center,6295,45
Cheddar,Cheddar,6249,7
TIDAL,Tidal,6236,4
NO New Oklahoma TAXES,No New Oklahoma Taxes,6213,3
Environmental Defense Fund,Environmental Defense Fund,6183,270
NC Conservation Network,the North Carolina Conservation Network,6177,4
Reason To Believe,Reason To Believe PAC,6139,6
Providing Hope Va,Providing Hope Va,6076,2
Proud Right Winger,Proud Right Winger,6072,155
NowThis,NowThis,6070,24
Republicans for the Rule of Law,Republicans for the Rule of Law,6063,14
Sportsman's Art,the family of owners/operators of Sportsman's Art!,6054,1
MedicareSupplement.com,TZ Insurance Solutions,5984,342
WhosLiable,Mitchell at Law,5926,33
SmartNews,"SmartNews International, Inc.",5917,398
Building New York's Best,Building New York's Best,5893,133
Enroll2019,SIVA Marketing,5761,8
Mary's Place,Mary's Place,5697,7
Human Coalition,Human Coalition,5665,60
Patriot Depot,Patriot Depot,5627,466
Americans For Healthcare Freedom,Americans for Government Accountability.,5607,19
Bird + Stone,Bird + Stone,5528,42
Colorado Counties Solar Programs,Colorado Counties Solar Program,5515,55
Ron DeSantis,the Republican Party of Florida.,5400,5
Covenant House International,Covenant House International,5344,114
Nevada Health Link,Nevada Health Link,5292,9
Goldman Sachs,Goldman Sachs,5273,12
CUFI Action Fund,CUFI Action Fund,5243,2
Providence St. Joseph Health,Providence St Joseph Health,5237,11
Home Energy Guide,Home Energy Guide,5221,605
Michigan Families for Opportunity,Michigan Families for Opportunity,5176,318
Solar Rebate,National Solar Rebate,5154,90
Center for Biological Diversity,Center for Biological Diversity,5130,46
Jay Inslee,"Jay Inslee for Washington (D) PO BOX 21067 Seattle, WA 98111",5085,10
Ocean & Co.,Ocean And Co,5066,26
The BL Stories,The Beauty of Life,4990,7
Get Old,Pfizer,4979,4
Utah Violence & Injury Prevention Program,Utah Department of Health,4924,9
Fair Fight Georgia,Fair Fight Action,4897,8
Spotsylvania Solar Energy Center,Sustainable Power Group,4861,1
Strong Women Society,"Sky Took, LLC",4856,142
PNC,PNC Financial Services,4854,20
TisBest Philanthropy,TisBest,4839,2
National Veteran Loan Programs,National Veteran Programs,4770,66
Global Financial Advisory,Global Financial Advisory,4735,11
Premier Health,Premier Health,4721,6
Jay Sekulow,American Center for Law and Justice,4675,9
Theodore Roosevelt Conservation Partnership,the Theodore Roosevelt Conservation Partnership,4668,509
Association for Accessible Medicines,Association for Accessible Medicines,4621,93
Anthem Blue Cross Medi-Cal,"Get help in another language Non-discrimination policy Privacy Policy Waste, Fraud & Abuse Terms of Use Anthem Blue Cross is the trade name of Blue Cross of California. Anthem Blue Cross and Blue Cross of California Partnership Plan, Inc. are independent licensees of the Blue Cross Association. ANTHEM is a registered trademark of Anthem Insurance Companies,",4578,7
Hefty,Hefty,4577,2
PETA (People for the Ethical Treatment of Animals),PETA,4559,115
National Council on Aging,the National Council on Aging,4521,30
Save the Storks,Save The Storks,4420,13
California Solar Rebates & Tax Credits,California Solar Rebates & Tax Credits,4420,99
Organizing for Bernie,Organizing for Bernie and not authorized by any candidate or candidate’s committee Contributions to Organizing for Bernie are Not Deductible for Federal Tax Purposes,4419,95
Ben Shapiro,Daily Wire,4409,91
Yosemite Conservancy,Yosemite Conservancy,4385,163
Ligonier Ministries,Ligonier Ministries,4374,2
I Make America,Association of Equipment Manufacturers,4353,20
The BL TV,The Beauty of Life,4345,14
Student Education Center,Student Education Center,4258,5
Define American,Define American,4250,14
United to End Homelessness,United to End Homelessness,4190,143
"Mark Hyman, MD",These ads ran without a disclaimer,4182,10
Friends Committee on National Legislation,Friends Committee on National Legislation,4169,114
NumbersUSA,NumbersUSA,4166,1
Educated Earthling,Educated Earthling,4159,304
Home Professionals,Home Professionals,4140,1688
California Water Service,California Water Service,4114,28
Turning Point USA,Turning Point USA,4054,126
Retired Republicans,Agency Consulting LLC,4053,6
Mercy For Animals,Mercy For Animals,4053,191
Citizens Energizing Michigan's Economy,CITIZENS FOR ENERGIZING MICHIGAN'S ECONOMY,4022,6
SEAL PAC,SEAL PAC Supporting Electing American Leaders PAC,4014,12
People United for Privacy,People United for Privacy,3971,9
Wildlife Conservation Society,WCS,3963,49
"Imprimis, a Publication of Hillsdale College",Hillsdale College,3949,41
Discover Charter Schools,Discover Charter Schools,3930,10
Stand Up America,Stand Up America,3908,924
International Planned Parenthood Federation/Western Hemisphere Region,International Planned Parenthood Federation/Western Hemisphere Region,3868,16
Hello Resistance,Hello Resistance,3866,16
Kansas State Treasurer Jake LaTurner,Kansas State Treasurer Jake LaTurner,3865,6
Ohio Education Association,Ohio Education Association,3852,6
The BL,The Beauty of Life,3850,17
Bill Gates,Bill Gates,3839,19
Military Officers Association of America (MOAA),Military Officers Association of America (MOAA),3836,18
Florida Georgia Line,TOMS,3833,8
Georgia Strong,Engaged Georgia Action,3815,8
B Corporation,B Lab,3791,7
Sungrade Solar,Sungrade Solar,3786,13
US Lending Marketplace,US Lending Marketplace,3780,4
Patagonia,Patagonia,3774,35
Winning For Women,"Winning For Women, Inc.",3765,65
Congressional Black Caucus PAC,Congressional Black Caucus PAC,3762,6
Dennis Prager,Job Creators Network (“JCN”),3761,5
Care Net,Care Net,3737,34
Live Action,Live Action,3722,326
World Animal Protection USA,World Animal Protection,3718,23
Jeanne Shaheen,Shaheen for Senate,3692,20
Brady Campaign,The Brady Campaign,3682,49
Spectrum News NY1,Spectrum News,3643,13
Out2Enroll,Out 2 Enroll,3632,42
Reimagine STL,Reimagine STL,3630,30
Stand for Children Massachusetts,"Stand for Children, Inc.",3598,8
Campaign for Sustainable Rx Pricing,the Campaign for Sustainable Rx Pricing,3591,58
Barnes & Noble,Barnes & Noble,3588,16
No Labels,No Labels. Not Authorized by Any Candidate or Candidate Committee.,3575,326
Cotopaxi,These ads ran without a disclaimer,3565,5
Great America PAC,Great America PAC,3563,15
Farm Credit,Farm Credit Council,3533,14
Jeff Merkley,Jeff Merkley for Oregon,3516,543
ACLU,the ACLU,3491,40
Beau Biden Foundation for the Protection of Children,Beau Biden Foundation for the Protection of Children,3477,21
No Nuke Bailout,Citizens Against Nuclear Bailouts,3451,18
2nd Amendment Depot,2nd Amendment Depot,3414,166
National Partnership for Women & Families,National Partnership for Women & Families,3389,33
DiversityInc,"DiversityInc Media, LLC",3369,49
ACTwireless,ACTwireless,3359,27
President Donald Trump Fan Club,I Love My Freedom,3336,14
Goldman Sachs,These ads ran without a disclaimer,3269,3
Solar Solutions,"Solar Solutions A Solar Energy Company Based In Los Angeles, CA.",3238,9
AARP Washington,AARP Washington State,3226,5
Center for Union Facts,Center for Union Facts,3209,1
AARP AAPI Community,AARP,3194,2
NYC Mayor's Office,the City of New York.,3180,16
KevinMD.com,"KevinMD, LLC",3143,5
Fight Back,Fight Back Fund,3087,11
CBN News,"The Christian Broadcasting Network, Inc.",3086,78
Verkada,Verkada,3083,19
Texas Oil and Gas Association,Texas Oil and Gas Association,3073,64
Pelican Institute for Public Policy,Pelican Institute for Public Policy,3038,4
Guns Down America,Guns Down,3028,57
Kirsten Gillibrand,Gillibrand for Senate,3026,60
GOP World,GOP Gifts,3025,24
GreaterHalf.com,Greater Half,3015,82
Adam Ruins Everything,truTV,3002,12
FRC Action,Family Research Council Action,3000,5
The Nature Conservancy,The Nature Conservancy,2993,40
The Voter Participation Center,the Voter Participation Center,2992,1
Joe Kennedy III,Joe Kennedy for Congress.,2988,341
The LIBRE Initiative,The LIBRE Initiative,2955,12
National Audubon Society,National Audubon Society,2941,20
Proud To Be A Republican,Agency Consulting LLC,2941,3
Wholesome Culture,These ads ran without a disclaimer,2924,45
Invest in Education IN,Indiana State Teachers Association,2896,71
UNICEF USA,UNICEF USA,2890,17
Minnesota Ag-Energy Alliance,Minnesota Ag Energy Alliance,2879,6
Business Roundtable,Business Roundtable,2856,4
Pharmacists United for Truth and Transparency,Pharmacists United for Truth and Transparency,2847,20
The Leadership Conference on Civil and Human Rights,The Leadership Conference on Civil and Human Rights,2845,12
Environmental Working Group,the Environmental Working Group,2839,128
The Wilderness Society,The Wilderness Society,2838,62
Earth Tomorrow,Earth Tomorrow Inc,2783,10
Axios,Axios Partner,2780,14
"Main Street Law Firm, PLLC","Main Street Law Firm, PLLC",2770,6
MasterClass,MasterClass,2753,20
Restore Public Trust,Restore Public Trust,2738,10
CARE Action,CARE,2659,79
AMA Patients Action Network,American Medical Association,2654,24
Fight for $15 Wisconsin,Fight for $15,2642,16
Stanford Health Care,Stanford Health Care,2609,17
Consumers Energy,Consumers Energy,2597,99
Chesapeake Bay Foundation,Chesapeake Bay Foundation,2590,31
CREDO Energy,"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, CREDO Mobile, Inc.",2583,37
African Wildlife Foundation,African Wildlife Foundation,2571,48
Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),2564,17
US Solar Initiative,US Solar Initiative,2562,20
Catalyst Voices,Catalyst,2551,12
Pennsylvania State Treasurer Joe Torsella,Pennsylvania Taxpayers Dollars,2536,9
World Vision USA,World Vision USA,2534,4
National Women's Law Center,the National Women's Law Center,2527,9
AT&T,These ads ran without a disclaimer,2523,1
Team Trump,Trump Make America Great Again Committee,2510,122
Father Joe's Villages,Father Joe's Villages,2508,35
State Representative Carol Alvarado,the Carol Alvarado Campaign,2502,5
First Lady Chirlane McCray,the City of New York,2494,6
Olivela,Olivela,2474,54
The News and Why It Matters,TheBlaze,2466,94
Advancing Democracy,Advancing Democracy,2464,10
Cover Virginia,Commonwealth of Virginia,2463,46
David Straz for Mayor,"David Straz for Mayor, Non-Partisan",2458,7
Mayor Bill de Blasio,the City of New York,2457,8
Chuck Eaton,Chuck Eaton for Public Service Commission,2441,2
Lumina Foundation,Lumina Foundation,2414,151
Conservative Corps,Brigade,2388,2
Hearing Loss Association,Hearing Loss Association,2381,36
Make Penny Stocks Great Again,Link Media,2380,1
Stop The HIT,Stop The HIT Coalition,2364,27
Trenton Don't Touch My Insurance Rates,Trenton Don’t Touch My Insurance,2360,29
Catholic Relief Services,Catholic Relief Services,2338,14
ATTN:,ATTN:,2335,3
Wounded Warrior Project,Wounded Warrior Project,2329,49
PolicyEd,Hoover Institution,2312,40
Warrior 12,Warrior 12,2306,9
Convention of States,Convention of States Action,2305,7
Discount Solar Programs USA,Discount Solar Programs USA,2301,4
Stand Together,Stand Together,2300,32
No Kid Hungry,No Kid Hungry,2299,137
Truth in Politics,"Truth In Politics, Inc.",2290,1
Elizabeth Esty,Friends of Elizabeth Esty,2287,11
Open The Books,OpenTheBooks,2279,54
Conservation Voters of Pennsylvania,Conservation Voters of Pennsylvania,2278,11
Trump Care 2019,SIVA Marketing,2266,2
Smarter Faster,Axios Partner,2255,7
Outrider Foundation,Outrider Foundation,2250,16
Save the Storks,Save the Storks,2236,19
Plan International USA,Plan International USA,2218,38
Synovia Solutions,Synovia Solutions,2215,11
Happy Earth Apparel,Happy Earth,2205,4
Daily Kos,Kos Media LLC.,2196,41
NRA - National Rifle Association of America,NRA,2191,104
Facing History and Ourselves,Facing History and Ourselves,2180,160
Indiana Commission for Higher Education,Indiana Commission for Higher Education,2163,7
PRJKT RUBY,PRJKT RUBY,2161,47
Association of American Railroads,Association of American Railroads,2153,9
Home Improvement Deals,Home Improvement Deal,2142,17
New Health Plans,Shop Insurance Plans,2140,9
Ohioans for Step Therapy Reform,Ohioans for Step Therapy Reform,2125,3
Smart Health Choice,Smart Health Choice,2118,9
North Dakotans for Comprehensive Energy Solutions,North Dakotans for Comprehensive Energy Solutions,2112,5
Seventh Generation,Seventh Generation,2111,3
Right Now MN,Right Now MN,2097,3
Concerned Women For America LAC,CONCERNED WOMEN FOR AMERICA,2086,46
Eurasia Group Foundation,Eurasia Group Foundation,2084,8
Ohio Clean Energy Jobs Alliance,First Energy Solutions,2077,4
Jewish Democratic Council of America,Jewish Democratic Council of America,2056,12
Klean Kanteen,Klean Kanteen,2052,14
Louisiana Secretary of State Kyle Ardoin,Kyle Ardoin for Secretary of State,2049,17
Planned Parenthood Texas Votes,Planned Parenthood Texas Votes PAC,2041,6
The Leadership Conference on Civil and Human Rights,The Leadership Conference Education Fund,2041,14
Hugh Hewitt,Citizens for Truth in Drug Pricing,2038,3
Upworthy,Good Media Group,2038,47
Dennis Prager,Citizens for Truth in Drug Pricing,2033,3
SC Club for Growth,SC Club for Growth,2031,51
Michael Medved,Citizens for Truth in Drug Pricing,2030,3
Seeker,Seeker,2026,5
Larry Elder,Citizens for Truth in Drug Pricing,2024,3
Share Better,ShareBetter,2023,1
Mike Gallagher,Citizens for Truth in Drug Pricing,2023,3
Kansans for Energy Options,American Policy Advocates,2021,3
Nine Line Apparel,Nine Line Apparel,2017,25
Naked Turtle White Rum,Diageo,2011,9
High Ground Action Fund,High Ground Action Fund,2010,9
RBG,Magnolia Pictures,2004,1
Miguel Romero 2020,Amigos de Miguel Romero,2000,2
Open Progress - democracy one voter at a time,Open Progress,2000,10
Smart Justice Georgia,ACLU of Georgia,1992,4
Robert Reich,Inequality Media,1991,2
Nuclear Matters,Nuclear Matters,1989,2
Eckerd Connects,Eckerd Connects,1976,3
Senior Health News,Beanstalk Media,1951,24
Donald Trump Dog Poop Bags,Donald Trump Dog Poop Bags,1932,4
The Atlas Society,The Atlas Society,1930,34
Protect the Voice of Shareholders,Protect the Voice of Shareholders,1913,9
Association of American Educators,Association of American Educators,1906,2
Collaborative for Student Success,Collaborative for Student Success,1905,6
Howstuffworks,HowStuffWorks,1896,6
Association of Young Americans,Association of Young Americans,1894,25
Mejores ofertas solares,Mejores ofertas solares,1882,14
stasher,stasher,1881,10
American Friends Service Committee,The American Friends Service Committee (AFSC),1875,22
Marsy's Law for Wisconsin,"Marsy’s Law for Wisconsin, LLC",1865,7
Charlie Kirk,Charlie Kirk,1864,11
Larry Elder,Job Creators Network (“JCN”),1863,3
Marsy's Law for Idaho,"Marsy's Law for Idaho, L.L.C",1860,8
Democratic Climate Action,the Democratic Governors Association,1858,10
Human Rights Watch,Human Rights Watch,1849,119
Audible,These ads ran without a disclaimer,1847,1
Common Defense,Common Defense / Beyond the Choir Action Fund and not authorized by any candidate or candidate's committee.,1839,32
Our Public Lands,The National Wildlife Federation,1837,34
LG&E and KU,LG&E and KU,1828,2
Continental Divide Trail Coalition,Continental Divide Trail Coalition,1820,4
Jemar Tisby,Zondervan,1819,26
Jefferson County Teachers Association (JCTA),Jefferson County Teachers Association,1814,13
Just Energy United States,Just Energy Group Inc.,1806,12
Physicians Grassroots Network,American Medical Association,1805,17
Spectrum News Buffalo,Spectrum News,1798,2
National Committee to Preserve Social Security and Medicare,National Committee to Preserve Social Security & Medicare,1788,32
Brigade,Brigade,1774,3
Michigan League of Conservation Voters,Michigan League of Conservation Voters,1773,13
Your Obamacare Quote .com,"Fiorella Insurance Agency, Inc.",1772,4
Save Our Air Medical Resources,Save Our Air Medical Resources,1770,12
MoveOn,"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",1764,5
Free Together,State Policy Network,1745,2
Backcountry Hunters & Anglers,Backcountry Hunters & Anglers,1718,16
Better Care for Florida,Better Care for Florida,1717,4
America with Eric Bolling,CRTV,1693,42
Affordable Medicare,Affordable Medicare,1691,7
Monique Burr Foundation,Monique Burr Foundation,1679,9
That Life Shop,That Life Shop,1678,38
Jobs for Minnesotans,Jobs for Minnesotans,1663,18
AARP Arkansas,AARP Arkansas,1661,10
Marsy's Law for Pennsylvania,"Marsy’s Law for Pennsylvania, LLC",1659,6
Maryland Food Bank,the Maryland Food Bank,1655,17
SELC,The Southern Environmental Law Center,1640,28
National Union of Healthcare Workers,National Union of Healthcare Workers,1629,10
Virginians for Better Transportation,the Virginia Transportation Construction Alliance,1621,11
Stephanie Gharakhanian For ACC,Stephanie Gharakhanian Campaign,1619,7
Walton Family Foundation,Walton Family Foundation,1617,3
Compassion & Choices - New Jersey,Compassion and Choices New Jersey,1613,31
Rainforest Action Network,Rainforest Action Network,1612,28
Solar Programs In AZ Counties,Solar Programs In AZ Counties,1609,40
Klamath River Renewal Corporation,Klamath River Renewal Corporation,1601,5
Concealed Carry,Concealed Carry Inc,1595,5
AACR Foundation,The American Association for Cancer Research (AACR),1584,26
ReThink Energy NJ,ReThink Energy New Jersey,1579,69
Conservative Tribune,Conservative Tribune,1571,27
Alliance for Climate Education,Alliance for Climate Education,1567,31
Arizona Game & Fish Department,Arizona Game and Fish Department,1563,19
MoveOn,MoveOn.org Civic Action.,1563,248
Water.org,These ads ran without a disclaimer,1561,2
John K. Delaney,Friends of John Delaney,1560,4
Conscious Step,Conscious Step,1555,8
Whistleblower Aid,Whistleblower Aid,1554,1
Everyone in LA,United Way of Greater L.A.,1553,10
I Am Essential,the I Am Essential Coalition,1548,42
CREDO Mobile,"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.",1546,203
Donald Trump For President 2020,Donald Trump Collectables,1539,4
Environmental Voter Project,Environmental Voter Project,1537,10
B Corporation,These ads ran without a disclaimer,1536,1
Tiffany & Co.,These ads ran without a disclaimer,1531,4
The Power of Minnesota,Power of Minnesota,1529,7
8 Billion Trees,8BillionTrees Inc,1520,5
"Zito Media - High Speed Internet, Digital Cable TV, & Digital Voice","Zito Media. We are a Cable, Phone and Internet Provider. Pricing, equipment availability, services available, and internet speeds vary based on location.",1511,46
Modernize Texas Spirits,The Distilled Spirits Council,1508,19
AMERIPAC,AMERIPAC,1507,1
Breaking Patriot News,Breaking Patriot News,1504,5
Daley for Mayor,Bill Daley for Mayor,1502,7
SEIU District 1199,SEIU District 1199 WV-KY-OH,1502,13
Peter G. Peterson Foundation,Peter G. Peterson Foundation,1490,27
Travis Allen,TAKE BACK CALIFORNIA PAC,1476,3
Ethos Research,Ethos Research,1471,14
Stand with Parkland,Stand With Parkland,1470,14
Lafayette Parish Sheriff's Office,Lafayette Parish Sheriff's Office,1469,14
Leadership Institute,Leadership Institute,1463,22
War Against Racism,War Against Racism,1463,11
Ana Hernandez for Texas Senate,the Ana Hernandez Campaign,1463,4
AFT - American Federation of Teachers,"AFT - American Federation of Teachers, not authorized by any candidate or candidates committee.",1462,15
Oregon Forests Forever,Paid for by Oregon Forests Forever,1461,7
Link TV,Link TV,1455,10
Paycheckology,Paycheckology,1454,14
Lincoln Land Wind,Lincoln Land Wind,1449,47
Re-Elect Mayor Ollie Tyler Campaign,The Ollie Tyler Campaign,1439,19
Baker Kurrus for Mayor,Baker Kurrus for Mayor,1432,25
Hillsdale College Online Courses,Hillsdale College,1425,24
Planned Parenthood Advocates of Michigan,"Planned Parenthood of Advocates of Michigan | PO Box 15041, Lansing, MI 48901",1424,3
Congressman Buddy Carter,by the Office of Congressman Buddy Carter,1421,4
Grow Louisiana Coalition,Grow Louisiana Coalition,1420,31
Gospel for Asia,Gospel for Asia,1418,5
Enhance Our Energy Infrastructure,New Jersey Laborers-Employers Cooperation and Education Trust,1408,222
Michigan Talent Investment Agency,Michigan Talent Investment Agency,1400,7
Hillsdale College,Hillsdale College,1400,32
American Medical Association (AMA),American Medical Association,1397,1
Austin Firefighters Association,Austin Firefighters Association PAC,1393,5
Brian Kemp,Kemp for Governor,1389,2
Publicsquare.net,Public Square Net,1387,10
Choice Regional Health Network,CHOICE Regional Health Network,1382,7
